"rownum","Id","Tag","Stat1","Stat2","Stat3","Stat4"
0,"fire","Fire",515,9019,10230,10686
1,"cold","Cold",516,9020,10231,10687
2,"lightning","Lightning",517,9021,10232,10688
3,"chaos","Chaos",518,9022,10233,10689
4,"spell","Spell",520,"","",""
5,"projectile","Projectile",519,9030,"",""
6,"bow","Bow",522,9024,"",""
7,"melee","Melee",521,9023,"",""
8,"minion","Minion",523,9018,"",""
9,"strength","",754,9026,"",10691
10,"dexterity","",755,9027,"",10692
11,"intelligence","",756,9028,"",10693
12,"aura","Aura",1059,9025,"",""
13,"attack","Attack","","","",""
14,"area","AoE",7898,9029,"",""
15,"duration","Duration",7897,"","",""
16,"support","Support",2216,2429,"",""
17,"curse","Curse",2021,"","",17340
18,"chaining","Chaining","","","",""
19,"totem","Totem","","","",10695
20,"trap","Trap",7989,"","",""
21,"mine","Mine","","","",""
22,"movement","Movement",1256,"","",""
23,"cast","Cast","","","",""
24,"vaal","Vaal",2137,"","",10694
25,"grants_active_skill","","","","",""
26,"trigger","Trigger","","","",""
27,"warcry","Warcry",3163,"","",""
28,"golem","Golem",3167,"","",""
29,"low_max_level","","","","",""
30,"channelling","Channelling","","","",""
31,"herald","Herald",6135,"","",""
32,"brand","Brand","","","",""
33,"physical","Physical","","",10234,10690
34,"guard","Guard","","","",""
35,"travel","Travel","","","",""
36,"strike","Strike","","","",""
37,"blink","Blink","","","",""
38,"nova","Nova","","","",""
39,"banner","","","","",""
40,"slam","Slam","","","",""
41,"stance","Stance","","","",""
42,"hex","Hex",13064,"","",""
43,"mark","Mark","","","",""
44,"orb","Orb","","","",""
45,"random_element","Prismatic","","","",""
46,"arcane","Arcane","","","",""
47,"critical","Critical","","","",""
48,"exceptional","Exceptional","","","",""
49,"link","Link","","","",17767
50,"blessing","Blessing","","","",""
51,"awakened","","","","",""
