"rownum","Mod","Type","bool"
0,31065,2,""
1,31066,2,""
2,31067,2,""
3,31068,2,""
4,31069,2,""
5,31070,2,""
6,31071,2,""
7,31072,2,""
8,31073,2,""
9,31074,2,""
10,31075,2,""
11,31076,2,""
12,31077,1,""
13,31078,1,""
14,31079,1,""
15,31080,1,""
16,31081,1,""
17,31082,1,""
18,31083,1,""
19,31084,1,""
20,31085,1,""
21,31086,1,""
22,31087,1,""
23,31088,1,""
24,31089,1,""
25,31090,0,""
26,31091,0,""
27,31092,0,""
28,31093,0,""
29,31094,0,""
30,31095,0,""
31,31096,0,""
32,31097,0,""
33,31098,0,""
34,31099,0,""
35,31100,0,""
36,31101,0,""
37,31102,0,""
38,31103,0,""
39,31104,2,""
40,31105,2,""
41,31106,2,""
42,31107,2,""
43,31108,2,""
44,31109,2,""
45,31110,2,""
46,31111,2,""
47,31112,2,""
48,31113,2,""
49,31114,2,""
50,31115,2,""
51,31117,2,""
52,31119,1,""
53,31120,1,""
54,31121,1,""
55,31122,1,""
56,31123,1,""
57,31124,1,""
58,31125,1,""
59,31126,1,""
60,31127,1,""
61,31128,1,""
62,31129,1,""
63,31130,1,""
64,31131,1,""
65,31133,0,""
66,31134,0,""
67,31135,0,""
68,31136,0,""
69,31137,0,""
70,31138,0,""
71,31139,0,""
72,31140,0,""
73,31141,0,""
74,31142,0,""
75,31143,0,""
76,31144,2,1
77,31145,2,1
78,31146,2,1
79,31147,2,1
80,31148,2,1
81,31149,2,1
82,31150,2,1
83,31151,2,1
84,31152,2,1
85,31153,2,1
86,31154,2,1
87,31155,2,1
88,31156,2,1
89,31157,2,1
90,31158,2,1
91,31159,2,1
92,31160,1,""
93,31161,1,""
94,31162,1,""
95,31163,1,""
96,31164,1,""
97,31165,1,""
98,31166,1,""
99,31167,1,""
100,31168,1,""
101,31169,1,""
102,31170,1,""
103,31171,1,""
104,31172,1,""
105,31173,1,""
106,31174,1,""
107,31175,1,""
108,31177,1,""
109,31178,1,""
110,31180,1,""
111,31181,1,""
112,31182,1,""
113,31183,1,""
114,31184,1,""
115,31186,2,1
116,31187,2,1
117,31189,2,1
118,31190,2,1
119,31191,2,1
120,31192,2,1
121,31193,2,1
122,31194,0,""
123,31195,0,""
124,31196,0,""
125,31197,0,""
126,31198,0,""
127,31199,0,""
128,31200,0,1
129,31227,2,1
130,31228,2,1
131,31229,2,1
132,31230,2,1
133,31231,2,1
134,31232,2,1
135,31233,2,1
136,31234,2,1
137,31235,2,1
138,31236,2,1
139,31237,2,1
140,31238,2,1
141,31239,2,1
142,31240,2,1
143,31241,2,1
144,31242,2,1
145,31243,2,1
146,31244,2,1
147,31245,2,1
148,31246,1,""
149,31247,1,""
150,31248,1,""
151,31249,1,""
152,31250,1,""
153,31251,1,""
154,31252,1,""
155,31253,1,""
156,31254,1,""
157,31255,1,""
158,31256,1,""
159,31257,1,""
160,31258,1,""
161,31259,1,""
162,31260,1,""
163,31261,1,""
164,31262,1,""
165,31263,1,""
166,31264,1,""
167,31266,1,""
168,31267,1,""
169,31268,1,""
170,31269,1,""
171,31270,1,""
172,31271,1,""
173,31272,1,""
174,31273,1,""
175,31274,2,1
176,31275,2,1
177,31276,2,1
178,31277,2,1
179,31278,2,1
180,31279,2,1
181,31280,2,1
182,31281,2,1
183,31282,0,""
184,31284,0,""
185,31285,0,""
186,31286,0,""
187,31287,0,""
188,31288,0,1
189,31313,1,""
190,31314,1,""
191,31315,1,""
192,31316,2,1
193,31317,2,1
194,31318,2,1
195,31319,0,""
196,31320,0,""
197,31321,0,""
198,31322,0,1
199,31323,0,1
200,31324,0,1
201,31325,1,""
202,31326,1,""
203,31327,1,""
204,31328,2,1
205,31329,2,1
206,31330,2,1
207,31331,0,""
208,31332,0,""
209,31333,0,""
210,31334,0,1
211,31335,0,1
212,31336,0,1
213,31201,1,""
214,31202,2,""
215,31203,1,""
216,31204,2,""
217,31205,1,""
218,31206,2,""
219,31207,1,""
220,31208,2,""
221,31209,1,""
222,31210,2,""
223,31211,1,""
224,31212,2,""
225,31213,1,""
226,31214,2,""
227,31215,1,""
228,31216,2,""
229,31217,1,""
230,31218,2,""
231,31219,1,""
232,31220,2,""
233,31221,1,""
234,31222,2,""
235,31223,1,""
236,31224,2,""
237,31225,1,""
238,31226,2,""
239,31289,1,""
240,31290,2,""
241,31291,1,""
242,31292,2,""
243,31293,1,""
244,31294,2,""
245,31295,1,""
246,31296,2,""
247,31297,1,""
248,31298,2,""
249,31299,1,""
250,31300,2,""
251,31301,1,""
252,31302,2,""
253,31303,1,""
254,31304,2,""
255,31305,1,""
256,31306,2,""
257,31307,1,""
258,31308,2,""
259,31309,1,""
260,31310,2,""
261,31311,1,""
262,31312,2,""
