"rownum","BaseItemTypesKey","HeistAreasKey","i32"
0,10116,0,45
1,10117,1,0
2,10118,2,0
3,10119,3,0
4,10138,0,0
5,10120,4,0
6,10121,5,0
7,10122,6,45
8,10123,7,0
9,10124,8,0
10,10139,1,0
11,10140,8,0
12,10141,1,0
13,10142,7,0
14,10143,3,0
15,10144,0,0
16,10145,5,0
17,10146,2,0
18,10147,2,0
19,10148,7,0
20,10149,8,0
21,10150,3,0
22,10151,0,0
23,10152,0,0
24,10153,2,0
25,10154,7,0
26,10155,4,0
27,10156,7,0
28,10157,7,0
29,10158,0,0
30,10159,1,0
31,10160,1,0
32,10161,3,0
33,10162,1,0
34,10163,7,0
35,10164,1,0
36,10165,8,0
37,10166,8,0
38,10167,2,81
39,10168,8,0
40,10169,8,0
41,10170,8,0
42,10171,8,81
