"rownum","Type","Items"
0,0,"[9898,9900,9899,9901]"
1,1,"[9868,9869,9870,9871,9872,9873]"
2,2,"[9878,9879,9882,9881,9880]"
3,3,"[9887,9888,9889]"
4,4,"[9925,9927,9926]"
5,5,"[9932,9933,9934,9935]"
6,6,"[9940,9941,9942,9943,9944]"
7,7,"[9949,9950,9952,9951]"
8,8,"[9966,9967,9968,9969,9970]"
9,9,"[9918,9919,9920]"
10,10,"[10029,10030,10031,10032,10033]"
11,11,"[9983,9984,9985,9986,9987]"
12,12,"[9910,9911,9913,9912]"
13,14,"[9988,9989,9990]"
14,15,"[10034,10035,10036,10037,10038,10039,10040,10041,10042,10043,10044]"
15,16,"[10024,10025,10026,10027,10028]"
16,23,"[10014,10015,10016,10018,10017]"
17,17,"[10000,10001,10002]"
18,18,"[10003,10005,10004]"
19,19,"[9997,9998,9996,9999]"
20,20,"[10010,10011,10013,10012]"
21,13,"[10019,10020,10021,10022,10023]"
22,21,"[9991,9992,9994,9993,9995]"
23,24,"[9957,9958,9959,9961,9960]"
24,22,"[10006,10007,10008,10009]"
25,25,"[10045,10046,10047,10048,10049,10050,10051]"
