"rownum","TaggedStat","rid","[rid]","rid","rid"
0,16134,24,[],"",""
1,16135,9014,[],"",""
2,16241,"",[447],"",""
3,16248,"",[450],"",""
4,16260,"",[],1,""
5,16261,"",[],2,""
6,16262,"",[],4,""
7,16263,"",[],11,""
8,16264,"",[],9,""
9,16265,"",[],10,""
10,16266,"",[],23,""
11,16323,11,[],"",""
12,16324,10,[],"",""
13,16325,16258,[],"",""
14,16326,1748,[],"",""
15,16327,7634,[],"",""
16,16247,"",[],"",1
17,16253,"",[],"",8
18,16254,"",[],"",2
19,16290,"",[],"",3
20,16291,"",[],"",4
21,16292,"",[],"",5
22,16293,"",[],"",6
23,16294,"",[],"",7
24,16295,"",[],"",9
25,16296,"",[],"",10
26,16297,"",[],"",11
27,16298,"",[],"",12
28,16299,"",[],"",13
29,16300,"",[],"",14
30,16301,"",[],"",15
31,16302,"",[],"",16
32,16303,"",[],"",17
33,16304,"",[],"",18
34,16305,"",[],"",19
35,16306,"",[],"",20
36,16307,"",[],"",21
37,16308,"",[],"",22
38,16309,"",[],"",23
39,16411,2396,[],"",""
