"rownum","ModsKey","i32","i32","i32","i32","i32","bool","bool"
0,20323,0,11,100,1,6,1,1
1,20324,0,50,100,3,6,1,1
2,20375,0,11,100,1,6,1,1
3,20379,0,11,100,1,6,1,1
4,20380,0,11,100,1,6,1,1
5,20381,0,11,100,1,6,1,1
6,20382,0,11,100,1,6,1,1
7,20387,0,11,100,1,6,1,1
8,20390,150,11,100,1,3,1,1
9,20391,150,25,100,4,5,1,1
10,20392,75,68,100,6,7,1,1
11,20393,150,11,100,1,3,1,1
12,20394,150,25,100,4,5,1,1
13,20395,75,68,100,6,7,1,1
14,20396,150,11,100,1,3,1,1
15,20397,150,25,100,4,5,1,1
16,20398,75,68,100,6,7,1,1
17,20389,75,68,100,3,6,1,1
18,20399,150,40,100,1,3,1,1
19,20400,75,68,100,4,5,1,1
20,20388,37,68,100,6,7,1,1
21,20377,0,11,100,1,3,1,1
22,20401,0,25,100,4,5,1,1
23,20402,0,68,100,6,7,1,1
24,20403,0,68,100,6,7,1,1
25,20383,0,11,100,1,3,1,1
26,20404,0,25,100,4,5,1,1
27,20405,0,68,100,6,7,1,1
28,20378,150,11,100,1,3,1,1
29,20406,75,40,100,4,5,1,1
30,20407,37,68,100,6,7,1,1
31,20384,150,11,100,1,6,1,1
32,20385,75,68,100,4,7,1,1
33,20408,150,68,100,3,7,1,1
