"rownum","Item","TriggeredQuestFlag","rid","i32","rid","[rid]","bool","bool","rid","i32","rid","Script","rid"
0,10310,2284,"",225,"",[],"","","",1344,"","",""
1,10311,1870,"",351,"",[],"","","",1344,"","",""
2,10312,1869,"",352,"",[],"","","",1344,"","",""
3,10325,2301,"",979,"",[],"",1,888,1344,"","",""
4,10326,2302,"",980,"",[],"",1,888,1344,"","",""
5,10327,2303,"",981,"",[],"",1,888,1344,"","",""
6,10328,2304,"",982,"",[],"",1,888,1344,"","",""
7,6390,2583,"",1156,"",[],"","",903,1344,"","",""
8,6391,2584,"",1157,"",[],"","",904,1344,"","",""
9,6392,2594,"",1160,"",[],"","",905,1344,"","",""
10,10869,953,"",207,"",[],"",1,890,1344,"","",""
11,10871,954,"",212,"",[],"",1,6146,1344,"","",""
12,10873,955,"",323,"",[],"",1,891,1344,"","",""
13,10875,956,"",328,"",[],"",1,6147,1344,"","",""
14,6294,2007,"",662,"",[],"","",886,662,900,"skill_book",""
15,6295,2008,"",663,"",[],"","",886,663,900,"skill_book",""
16,6296,2009,"",664,"",[],"","",886,664,900,"skill_book",""
17,6297,2010,"",665,"",[],"","",886,665,900,"skill_book",""
18,6298,2012,"",675,"",[],"","",886,675,900,"skill_book",""
19,6299,2013,"",676,"",[],"","",886,676,900,"skill_book",""
20,6393,1518,1516,1344,1516,[],"","",906,1344,"","sentinel_controller",""
21,11007,2160,"",416,"",[],"","",908,1344,"","",""
