"rownum","BaseItemTypesKey","ModsKeys","AchievementItemsKey","MapFragmentFamilies","bool","bool","bool","bool","bool","bool","i32","i32","i32","bool"
0,7676,[8296],"[1583,7005]",138,"","","","",1,"",1,100,1,""
1,7677,[8296],"[1583,7005]",138,"","","","",1,"",1,100,1,""
2,7678,[8296],"[1583,7005]",138,"","","","",1,"",1,100,1,""
3,7679,[8296],"[1583,7005]",138,"","","","",1,"",1,100,1,""
4,7681,[8297],[1583],138,"","","","",1,"",1,100,1,""
5,7682,[8297],[1583],138,"","","","",1,"",1,100,1,""
6,7683,[8297],[1583],138,"","","","",1,"",1,100,1,""
7,7684,[8297],[1583],138,"","","","",1,"",1,100,1,""
8,7691,[8300],[],138,"","","","",1,"",1,100,1,""
9,7692,[8300],[],138,"","","","",1,"",1,100,1,""
10,7693,[8300],[],138,"","","","",1,"",1,100,1,""
11,7694,[8300],[],138,"","","","",1,"",1,100,1,""
12,7696,[8301],[],138,"","","","",1,"",1,100,1,""
13,7697,[8301],[],138,"","","","",1,"",1,100,1,""
14,7698,[8301],[],138,"","","","",1,"",1,100,1,""
15,7699,[8301],[],138,"","","","",1,"",1,100,1,""
16,7701,[8302],[],138,"","","","",1,"",1,100,1,""
17,7702,[8302],[],138,"","","","",1,"",1,100,1,""
18,7703,[8302],[],138,"","","","",1,"",1,100,1,""
19,7704,[8302],[],138,"","","","",1,"",1,100,1,""
20,7706,[8303],[],138,"","","","",1,"",1,100,1,""
21,7707,[8303],[],138,"","","","",1,"",1,100,1,""
22,7708,[8303],[],138,"","","","",1,"",1,100,1,""
23,7709,[8303],[],138,"","","","",1,"",1,100,1,""
24,7711,[8304],[],138,"","","","","","",1,100,1,""
25,9864,[18446],[7006],1,1,"","","","","",1,100,1,""
26,9865,[18447],[7006],1,1,"","","","","",1,100,1,""
27,9866,[18448],[7006],1,1,"","","","","",1,100,1,""
28,9867,[18449],"[7006,7144]",1,1,"","","","","",1,100,1,""
29,9868,[18450],[],24,1,"","","","","",1,100,4,""
30,9869,[18451],[],25,1,"","","","","",1,100,1,""
31,9870,[18452],[],26,1,"","","","","",1,100,1,""
32,9871,[18453],[],27,1,"","","","","",1,100,2,""
33,9872,[18454],[],28,1,"","","","","",1,100,1,""
34,9873,[18455],[],135,1,"","","","","",1,100,1,""
35,9874,[18456],[7006],2,1,"","","","","",1,100,1,""
36,9875,[18457],[7006],2,1,"","","","","",1,100,1,""
37,9876,[18458],[7006],2,1,"","","","","",1,100,1,""
38,9877,[18459],"[7006,7145]",2,1,"","","","","",1,100,1,""
39,9878,[18460],[],29,1,"","","","","",1,100,2,""
40,9879,[18461],[],30,1,"","","","","",1,100,1,""
41,9882,[18462],[],31,1,"","","","","",1,100,2,""
42,9881,[18463],[],32,1,"","","","","",1,100,1,""
43,9880,[18464],[],33,1,"","","","","",1,100,1,""
44,9883,[18465],[7006],3,1,"","","","","",1,100,1,""
45,9884,[18466],[7006],3,1,"","","","","",1,100,1,""
46,9885,[18467],[7006],3,1,"","","","","",1,100,1,""
47,9886,[18468],"[7006,7146]",3,1,"","","","","",1,100,1,""
48,9887,[18469],[],3,1,"","","","","",1,100,2,""
49,9888,[18470],[],101,1,"","","","","",1,100,1,""
50,9889,[18471],[],102,1,"","","","","",1,100,1,""
51,9890,[18472],[7006],0,1,"","","","","",1,100,1,""
52,9891,[18473],[7006],0,1,"","","","","",1,100,1,""
53,9892,[18474],[7006],0,1,"","","","","",1,100,1,""
54,9893,[18475],"[7006,7147]",0,1,"","","","","",1,100,1,""
55,9894,[18476],[7006],0,1,"","","","","",1,100,1,""
56,9895,[18477],[7006],0,1,"","","","","",1,100,1,""
57,9896,[18478],[7006],0,1,"","","","","",1,100,1,""
58,9897,[18479],[7006],0,1,"","","","","",1,100,1,""
59,9898,[18480],[],125,1,"","","","","",1,100,1,""
60,9900,[18481],[],122,1,"","","","","",1,100,1,""
61,9899,[18482],[],123,1,"","","","","",1,100,2,""
62,9901,[18483],[],124,1,"","","","","",1,100,1,""
63,9902,[18484],[7006],4,1,1,"","","","",1,100,1,""
64,9903,[18485],[7006],4,1,1,"","","","",1,100,1,""
65,9904,[18486],[7006],4,1,1,"","","","",1,100,1,""
66,9905,[18487],"[7006,7148]",4,1,1,"","","","",1,100,1,""
67,9906,[18488],[7006],5,1,"",1,"","","",1,100,1,""
68,9907,[18489],[7006],5,1,"",1,"","","",1,100,1,""
69,9908,[18490],[7006],5,1,"",1,"","","",1,100,1,""
70,9909,[18491],"[7006,7149]",5,1,"",1,"","","",1,100,1,""
71,9910,[18492],[],20,1,1,"","","","",1,100,1,""
72,9911,[18493],[],21,1,"",1,"","","",1,100,1,""
73,9913,"[18494,18495,18496,18497]",[],22,1,"","","","",1,1,100,1,""
74,9912,[18498],[],23,1,"","","","","",1,100,1,""
75,9914,[18499],[7006],0,1,"","","","","",1,100,1,""
76,9915,[18500],[7006],0,1,"","","","","",1,100,1,""
77,9916,[18501],[7006],0,1,"","","","","",1,100,1,""
78,9917,[18502],"[7006,7150]",0,1,"","","","","",1,100,1,""
79,9918,[18503],[],121,1,"","","","","",1,100,1,""
80,9919,[18504],[],119,1,"","","","","",1,100,1,""
81,9920,[18505],[],120,1,"","","","","",1,100,1,""
82,9921,[18506],[7006],6,1,"","","","","",1,100,1,""
83,9922,[18507],[7006],6,1,"","","","","",1,100,1,""
84,9923,[18508],[7006],6,1,"","","","","",1,100,1,""
85,9924,[18509],"[7006,7151]",6,1,"","","","","",1,100,1,""
86,9925,[18510],[],70,1,"","","","","",1,100,2,""
87,9927,[18511],[],71,1,"","","","","",1,100,1,""
