"rownum","BuffDefinitions","[i32]","StatsKeys","i32","[i32]","i32","i32","[i32]"
0,858,[],"[476,446]",0,[],0,0,[]
1,877,[],"[6226,6230]",0,[],1,0,[]
2,903,[],[345],25,"[1,2,0]",2,0,[]
3,905,"[1,1]",[476],0,[],3,0,[]
4,907,[],"[173,172,6234,1113]",0,[],4,0,[]
5,909,[],"[24,476,70,177]",0,[],5,0,[]
6,1088,[],"[24,70,216,177,476]",0,[],6,0,[]
7,902,[],"[6365,6366,6367]",0,[],7,0,[]
8,1148,[1],[],30,[2],8,0,[]
9,1263,[],[],0,[],9,0,[]
10,1310,[],"[177,70]",0,[],10,0,[]
11,1389,[],[24],0,[],11,0,[]
12,1400,[],"[716,24]",0,[],12,0,[]
13,1426,[],"[43,44,610,4987,476]",0,[],13,0,[]
14,1427,[],"[50,51,7409,476]",0,[],14,0,[]
15,1428,[],"[57,58,7410,476,658]",0,[],15,0,[]
16,1429,[],"[28,29,476,1902]",0,[],16,0,[]
17,1437,[],[140],0,[],17,0,[]
18,1441,[],[1951],200,"[2,9,13]",18,100,[]
19,1441,[],[1951],200,"[2,9,13]",19,85,[]
20,1441,[],[1951],200,"[2,9,13]",20,70,[]
21,1441,[],[1951],200,"[2,9,13]",21,55,[]
22,1441,[],[1951],200,"[2,9,13]",22,35,[]
23,1413,[],"[5860,5861,5863,5864,345]",74,"[2,9,10]",23,0,[]
24,1414,[],"[5860,5861,5863,5864,345]",55,"[2,9,10]",24,0,[]
25,1452,[],"[5860,5861,5863,5864,345]",74,"[2,9,18]",25,0,[]
26,1453,[],"[5860,5861,5863,5864,345]",55,"[2,9,18]",26,0,[]
27,910,[],"[24,476,70,177,3408]",0,[],28,0,[]
28,906,"[1,1,1]",[476],0,[],29,0,[]
29,908,[],"[173,172,6234,1113,10604]",0,[],30,0,[]
30,904,[],[345],35,"[1,0]",31,0,[]
31,911,[],"[594,658]",0,[],32,0,[]
32,1644,[],[1950],23,"[2,4,9]",33,0,[]
33,1644,[],[1950],11,"[2,4,9]",34,0,[]
34,1704,[],"[476,151,153]",16,"[2,10]",35,0,[]
35,1707,[],[345],0,[],36,0,[]
36,1724,[-8],[1954],120,"[2,9,10]",37,0,[]
37,1728,[],[476],28,"[1,9,14]",38,0,[]
38,1706,[],[345],120,"[0,1,2,9]",39,0,[]
39,1735,[],"[139,138]",0,[],40,0,[]
40,1644,[],[1950],23,"[2,3,9]",41,0,[]
41,1644,[],[1950],11,"[2,3,9]",42,0,[]
42,1763,[],[2561],14,[2],43,0,[]
43,1764,[],[2561],14,[2],44,0,[400]
44,1791,[],[],0,[],45,0,[]
45,1855,[],[1948],150,"[2,9,13]",46,55,[]
46,1961,[],"[3339,1952,17032]",38,"[2,13]",47,25,[]
47,1981,[],"[70,216,214,15454]",0,[],48,0,[]
48,1414,[],"[5860,5861,5863,5864,345]",48,"[2,9,10]",49,0,[]
49,2090,[],[1954],15,"[2,9]",50,0,[]
50,2231,[],[],0,[],51,0,[]
51,2189,[],[8402],31,"[2,14]",52,0,[]
52,2190,[],"[1051,139]",32,"[1,14]",53,0,[]
53,2191,[],[452],25,"[2,14]",54,0,[]
54,232,[30],[],0,[],55,0,[]
55,2199,[100],[],0,[],56,0,[]
56,212,"[20,20,20]",[],30,[1],57,0,[]
57,2240,[1000],[],0,[],58,0,[]
58,2243,[100],[],40,"[1,14]",59,0,[]
59,2244,[100],[],40,"[1,14]",60,0,[]
60,1485,[],[],40,"[2,14]",61,0,"[13,50]"
61,2255,[-75],[],60,"[2,14]",62,0,[]
62,1067,[-100],[],30,"[1,14]",63,0,[]
63,2270,[40],[],20,"[2,4,9]",64,0,[]
64,1413,[],"[5860,5861,5863,5864,345]",37,"[2,9,10]",65,0,[]
65,1414,[],"[5860,5861,5863,5864,345]",28,"[2,9,10]",66,0,[]
66,1452,[],"[5860,5861,5863,5864,345]",37,"[2,9,18]",67,0,[]
67,1453,[],"[5860,5861,5863,5864,345]",28,"[2,9,18]",68,0,[]
68,2318,[],"[45,46,66,67]",80,[1],69,0,[]
69,2326,[],[],0,[],70,0,[]
70,2327,[],"[66,67]",80,[1],71,0,[]
71,955,"[20,20,20,20,20]",[],0,[],72,0,[]
72,2330,[],[452],25,"[2,14]",73,0,[]
73,2331,[30],[],80,[1],74,0,[]
74,2339,[],[25],60,[1],75,0,[]
75,2352,[20],[],80,[1],76,0,[]
76,1793,[10],[],0,[],1000,0,"[1,50]"
77,2385,[],[345],35,"[1,0,9]",77,0,[]
