"rownum","Id","ModsKey0","ModsKey1","ModsKey2","bool"
0,"Resist1",3143,3216,3303,1
1,"Resist2",3144,3217,3304,1
2,"Resist3",3145,3218,3305,1
3,"Resist4",3146,3219,3306,1
4,"Resist5",3147,3220,3307,1
5,"Resist6",3148,3221,3308,1
6,"Resist7",3149,3222,3309,1
7,"Resist8",3150,3223,3310,1
8,"Resist9",8727,8729,8731,""
9,"Resist10",8728,8730,8732,""
10,"Resist11",8765,8767,8769,""
11,"Resist12",8766,8768,8770,""
12,"Resist13",8876,8878,8880,""
13,"Resist14",8877,8879,8881,""
14,"Resist15",8912,8914,8916,""
15,"Resist16",8913,8915,8917,""
16,"Resist17",17989,17992,17995,""
17,"Resist18",17990,17993,17996,""
18,"Resist19",17991,17994,17997,""
19,"Resist20",3372,3373,3374,""
20,"Resist21",18818,18819,18820,""
21,"Resist22",9676,9677,9678,1
22,"Resist23",14283,14284,14285,1
23,"Resist24",3369,3370,3371,""
24,"Resist25",18815,18816,18817,""
25,"Resist26",15230,15233,15236,1
26,"Resist27",15231,15234,15237,1
27,"Resist28",15232,15235,15238,1
28,"Resist29",16360,16369,16378,""
29,"Resist30",21049,21118,21189,1
30,"Resist31",21050,21119,21190,1
31,"Resist32",21341,21353,21325,1
32,"Resist33",21342,21354,21326,1
33,"Resist34",21343,21355,21327,1
34,"Resist35",3366,3367,3368,""
35,"Resist36",18812,18813,18814,""
36,"Resist37",16428,16438,16448,1
37,"Resist38",22473,22476,22479,1
38,"Resist39",22474,22477,22480,1
39,"Resist40",22475,22478,22481,1
40,"Resist41",22546,22551,22556,1
41,"Resist42",22547,22552,22557,1
42,"Resist43",22548,22553,22558,1
43,"Resist44",22549,22554,22559,1
44,"Resist45",22550,22555,22560,1
45,"Resist46",25297,25238,25171,1
46,"Resist47",13876,13879,13882,1
47,"Resist48",13877,13880,13883,1
48,"Resist49",13878,13881,13884,1
49,"Resist50",9684,9685,9686,1
