"rownum","Id","i32","rid","rid","rid","i32"
0,"A1_Weapons",0,0,35,63,-1
1,"A2_Weapons",3,1,36,64,-1
2,"A3_Weapons",5,2,37,65,-1
3,"A4_Weapons",7,3,38,66,-1
4,"A5_Weapons",9,4,39,67,-1
5,"A6_Weapons",11,5,40,68,-1
6,"A7_Weapons",13,6,41,69,-1
7,"A8_Weapons",15,7,42,70,-1
8,"A9_Weapons",17,8,43,71,-1
9,"A10_Weapons",19,9,44,72,-1
10,"Epilogue_Weapons",21,10,45,73,-1
11,"A1_Magic",1,11,46,74,-1
12,"A2_Magic",2,12,47,75,-1
13,"A3_Magic",4,13,48,76,-1
14,"A4_Magic",6,14,49,77,-1
15,"A5_Magic",8,15,50,78,-1
16,"A6_Magic",10,16,51,79,-1
17,"A7_Magic",12,17,52,80,-1
18,"A8_Magic",14,18,53,81,-1
19,"A9_Magic",16,19,54,82,-1
20,"A10_Magic",18,20,55,83,-1
21,"Epilogue_Magic",20,21,56,84,-1
22,"Cadiro",-1,25,25,25,-1
23,"Einhar",-1,26,26,26,-1
24,"EndlessDelve",-1,29,29,29,-1
25,"EndlessHeistContracts",23,34,34,34,-1
26,"ExpeditionDealer",-1,32,61,61,-1
27,"ExpeditionGambler",-1,31,60,60,-1
28,"ExpeditionHaggler",-1,30,59,59,-1
29,"ExpeditionSaga",-1,33,62,62,-1
30,"Kirac",-1,27,58,58,-1
31,"Siosa",-1,23,57,57,-1
32,"Whakano",22,28,28,28,-1
33,"A6_LillyRoth",29,24,22,22,-1
34,"A10_LillyRoth",33,24,22,22,-1
35,"Epilogue_LillyRoth",34,24,22,22,-1
36,"Azmeri_Warden",-1,85,85,85,-1
37,"Azmeri_VoodooShaman",-1,86,86,86,-1
38,"Azmeri_Primalist",-1,87,87,87,-1
39,"Azmeri_UniqueDealer",-1,88,88,88,-1
40,"Azmeri_UniqueDealerMaps",-1,89,88,88,-1
41,"Necropolis_GraveKeeper",-1,90,90,90,-1
42,"MTXCart_SnakeOilVendor",-1,91,91,91,-1
43,"Village_Gamble",-1,92,92,92,-1
