"rownum","ChestsKey","SpawnWeight","i32","bool","bool","SpawnWeightIncrease","SpawnWeightHardmode","bool","bool"
0,259,81,5,"",1,15465,0,1,""
1,261,0,5,"","","",0,"",""
2,262,599,15,"",1,"",0,"",""
3,263,565,12,"",1,"",0,"",""
4,264,14,5,"",1,"",0,1,""
5,265,20,5,"",1,"",0,1,""
6,266,12,5,1,1,15466,0,1,""
7,267,10,5,1,1,15466,0,1,""
8,268,8,5,1,1,15466,0,1,""
9,269,6,5,1,1,15466,0,1,""
10,270,0,5,"","","",0,"",""
11,271,0,5,1,1,"",0,"",""
12,272,0,5,"",1,"",0,"",""
13,273,25,5,"",1,16983,0,1,""
14,274,0,5,"","","",0,"",""
15,275,104,5,"",1,"",0,1,""
16,276,167,10,"",1,"",0,"",""
17,277,0,10,"","","",0,"",""
18,278,112,10,"",1,"",0,1,""
19,279,0,10,"","","",0,"",""
20,280,1563,5,"",1,"",0,"",""
21,281,0,5,"","","",0,"",""
22,282,39,5,1,1,15467,0,1,""
23,284,0,5,"","","",0,"",""
24,498,0,5,"","","",0,"",""
25,260,0,5,"",1,"",0,"",""
26,1660,0,5,1,1,"",0,"",""
27,1661,0,10,1,1,"",0,"",""
28,1662,0,10,1,1,"",0,"",""
29,283,0,5,1,1,"",0,"",""
30,2382,0,5,1,"","",0,"",""
31,2383,0,5,1,1,"",0,"",""
32,286,0,5,"",1,15465,10,1,""
33,287,0,15,"",1,"",100,"",""
34,288,0,12,"",1,"",100,"",""
35,289,0,5,"",1,"",10,"",""
36,290,0,5,"",1,"",5,1,""
37,291,0,5,1,1,15466,4,1,""
38,292,0,5,1,1,15466,3,1,""
39,293,0,5,1,1,15466,2,1,""
40,294,0,5,1,1,15466,1,1,""
41,295,0,5,"",1,16983,10,1,""
42,296,0,5,"",1,"",10,1,""
43,297,0,10,"",1,"",60,"",""
44,298,0,10,"",1,"",40,"",""
45,299,0,5,"",1,"",500,"",""
46,2405,0,5,"",1,"",0,"",1
