"rownum","string_0","[rid]_8","[rid]_24","[rid]_40","[rid]_56","[rid]_72","rid_88","rid_104","rid_120","rid_136","rid_152","rid_168","rid_184","rid_200","rid_216","rid_232","rid_248","rid_264","rid_280","rid_296","rid_312","rid_328","rid_344","rid_360","rid_376","rid_392","rid_408","rid_424","string_440","rid_448","i32_464","bool_468","rid_469","rid_485","i32_501","i32_505","bool_509","rid_510","rid_526"
0,"MainHandAttack","[269,270]","[257,258]","[261,262]","[253,254]","[265,266]",22098,594,18603,2756,"","","",292,18763,14636,11335,18633,945,1073,14595,275,17927,17933,17932,280,454,469,"main hand",2,0,1,22378,22382,1,0,"",22103,538
1,"MainHandFakeHitForAilments","[269,270]","[257,258]","[261,262]","[253,254]","[265,266]",22098,594,18603,2756,"","","","","","","","","","","","","","","","","","","main hand fake hit ailment",2,0,1,"","",-16843010,-16843010,1,22103,538
2,"OffHandAttack","[271,272]","[259,260]","[263,264]","[255,256]","[267,268]",22099,595,18603,2756,"","","",293,18764,14636,11335,18633,945,1073,14595,276,17927,17933,17932,281,455,470,"off hand",2,1,1,22379,22383,3,0,"",22104,539
3,"OffHandFakeHitForAilments","[271,272]","[259,260]","[263,264]","[255,256]","[267,268]",22099,595,18603,2756,"","","","","","","","","","","","","","","","","","","off hand fake hit ailment",2,1,1,"","",-16843010,-16843010,1,22104,539
4,"Spell","[251,252]","[245,246]","[247,249]","[243,244]","[248,250]",22100,596,8891,2756,14102,17009,14104,102,197,"",11335,18633,945,1073,14595,2233,"","","",104,14517,2280,"spell",3,2,"",22380,22384,5,0,"","",540
5,"SpellFakeHitForAilments","[251,252]","[245,246]","[247,249]","[243,244]","[248,250]",22100,596,8891,2756,"","","","","","","","","","","","","","","","","","","spell fake hit ailment",3,2,"","","",-16843010,-16843010,1,"",540
6,"Secondary","[715,716]","[719,720]","[721,722]","[717,718]","[723,724]",22101,725,8891,2756,"","","",102,197,"","","","","","","","","","",104,14517,2280,"secondary damage",4,3,"",22381,22385,7,0,"","",726
7,"SecondaryFakeHitForAilments","[715,716]","[719,720]","[721,722]","[717,718]","[723,724]",22101,725,8891,2756,"","","","","","","","","","","","","","","","","","","secondary fake hit ailment",4,3,"","","",-16843010,-16843010,1,"",726
8,"SecondaryWithMainHandDefence","[715,716]","[719,720]","[721,722]","[717,718]","[723,724]",22101,725,8891,2756,"","","",292,197,14636,11335,18633,945,1073,14595,275,17927,17933,17932,280,454,469,"secondary main hand",4,3,"",22381,22385,7,0,"","",726
9,"SecondaryWithOffHandDefence","[715,716]","[719,720]","[721,722]","[717,718]","[723,724]",22101,725,8891,2756,"","","",293,197,14636,11335,18633,945,1073,14595,276,17927,17933,17932,281,455,470,"secondary off hand",4,3,"",22381,22385,7,0,"","",726
10,"SecondaryWithSpellDefence","[715,716]","[719,720]","[721,722]","[717,718]","[723,724]",22101,725,8891,2756,14102,17009,14104,102,197,"",11335,18633,945,1073,14595,2233,"","","",104,14517,2280,"secondary spell",4,3,"",22381,22385,7,0,"","",726
11,"Thorns","[20371,20372]","[20375,20376]","[20377,20378]","[20373,20374]","[20379,20380]",22102,20381,8891,2756,"","","",102,197,"","","","","","","","","","",104,14517,2280,"thorns",41,4,"",22381,22385,7,0,"","",20384
