"rownum","Id","UnavailablePin","AvailablePin","ActivePin","FailedPin","CompletePin"
0,"DefaultMap",8648,8649,8650,8649,8652
1,"DefaultTower",8653,8654,8655,8654,8657
2,"BaseCamp",8658,8658,8658,8658,8658
3,"CorruptedMap",8664,8665,8666,8665,8668
4,"CorruptedTower",8669,8670,8671,8670,8673
5,"CleansedTower",8674,8675,8676,8675,8657
6,"UniqueMap",9189,9186,9185,9188,9187
7,"CorruptedUniqueMap",9189,9186,9185,9188,9187
8,"IronCitadel",8689,8678,8679,8680,8681
9,"CorruptedIronCitadel",8690,8683,8684,8685,8686
10,"CopperCitadel",8687,8678,8679,8680,8681
11,"CorruptedCopperCitadel",8688,8683,8684,8685,8686
12,"StoneCitadel",8691,8678,8679,8680,8681
13,"CorruptedStoneCitadel",8692,8683,8684,8685,8686
14,"UniqueMapWildwood",9194,9191,9190,9193,9192
15,"UniqueMapMegalith",9199,9196,9195,9198,9197
16,"UniqueMapLake",9209,9206,9205,9208,9207
17,"UniqueMapSelenite",9204,9201,9200,9203,9202
18,"UniqueMapVault",9214,9211,9210,9213,9212
19,"UniqueMapCastaway",9219,9216,9215,9218,9217
