"rownum","Mod","Categories","DestroyAchievements"
0,4484,[3],[]
1,4491,[3],[]
2,4490,[3],[]
3,4498,[3],[]
4,4485,[0],[]
5,4486,[2],[]
6,4487,[0],[]
7,4496,[0],[]
8,4488,[2],[]
9,4489,[0],[]
10,4497,[0],[]
11,4495,[0],[]
12,4499,[0],[]
13,4483,[0],[]
14,4492,[3],[]
15,4493,[3],[]
16,4494,[3],[]
17,4500,[0],[]
18,4501,[0],[]
19,4502,[0],[]
20,4450,[0],[]
21,4451,[0],[]
22,4452,[0],[]
23,4453,[0],[]
24,4454,[0],[]
25,4455,[0],[]
26,4456,[0],[]
27,4457,[0],[]
28,4458,[0],[]
29,4459,[0],[]
30,4460,[0],[]
31,4461,[1],[]
32,4462,[0],[]
33,4463,[0],[]
34,4464,[0],[]
35,4465,[1],[]
36,4466,[0],[]
37,4467,[0],[]
38,4468,[0],[]
39,4469,[0],[]
40,4470,[0],[]
41,4471,[0],[]
42,4472,[0],[]
43,4473,[0],[]
44,4474,[0],[]
45,4475,[0],[]
46,4476,[0],[]
47,4477,[0],[]
48,4478,[0],[]
49,4479,[0],[]
50,4480,[0],[]
51,4481,[0],[]
52,4482,[0],[]
53,13493,[0],[]
