"rownum","rid_0","EPKFiles","bool_32"
0,17354,"[""Metadata/Effects/Microtransactions/Character_FX/threadofhope/chafx_threadofhope.epk""]",""
1,17369,"[""Metadata/Effects/Microtransactions/Misc/gunpowder_leg/gunpowder_trail.epk""]",""
2,17378,"[""Metadata/Effects/misc/polarity/red_polarity.epk"",""Metadata/Effects/misc/polarity/blue_polarity.epk""]",1
3,17404,"[""Metadata/Effects/Microtransactions/foot_prints/DynamiteLegAttachment/DynamiteLegAttachment.epk""]",""
4,17512,"[""Metadata/Effects/Microtransactions/foot_prints/lunar/player_trail.epk""]",""
5,22119,"[""Metadata/Effects/Spells/monsters_effects/monster_mods/tormented_spirits/touched/epk/vivid_skin_01.epk""]",1
6,22120,"[""Metadata/Effects/Spells/monsters_effects/monster_mods/tormented_spirits/touched/epk/primal_skin_01.epk""]",1
7,22121,"[""Metadata/Effects/Spells/monsters_effects/monster_mods/tormented_spirits/touched/epk/wild_skin_01.epk""]",1
8,22122,"[""Metadata/Effects/Spells/monsters_effects/monster_mods/tormented_spirits/touched/epk/sacred_skin_01.epk""]",1
9,22123,"[""Metadata/Effects/Spells/monsters_effects/monster_mods/tormented_spirits/possession/epk/vivid_skin_01.epk""]",1
10,22124,"[""Metadata/Effects/Spells/monsters_effects/monster_mods/tormented_spirits/possession/epk/primal_skin_01.epk""]",1
11,22125,"[""Metadata/Effects/Spells/monsters_effects/monster_mods/tormented_spirits/possession/epk/wild_skin_01.epk""]",1
12,22126,"[""Metadata/Effects/Spells/monsters_effects/monster_mods/tormented_spirits/possession/epk/sacred_skin_01.epk""]",1
