"rownum","Mod","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Visual","TextStyles","bool_56","bool_57","bool_58"
0,3961,"Extra Fire Damage","Dégâts de feu supplémentaires","Extra Feuerschaden","追加火ダメージ","추가 화염 피해","Dano de Fogo Adicional","Дополнительный урон от огня","Daño de fuego extra","เสริมความเสียหาย ไฟ","額外火焰傷害","",[],"","",1
1,3962,"Extra Fire Damage","Dégâts de feu supplémentaires","Extra Feuerschaden","追加火ダメージ","추가 화염 피해","Dano Extra de Fogo","Дополнительный урон от огня","Daño de fuego adicional","เสริมความเสียหาย ไฟ","額外火焰傷害","",[],"","",1
2,3963,"Extra Cold Damage","Dégâts de froid supplémentaires","Extra Kälteschaden","追加冷気ダメージ","추가 냉기 피해","Dano de Gelo Adicional","Дополнительный урон от холода","Daño de hielo extra","เสริมความเสียหาย น้ำแข็ง","額外冰冷傷害","",[],"","",1
3,3964,"Extra Cold Damage","Dégâts de froid supplémentaires","Extra Kälteschaden","追加冷気ダメージ","추가 냉기 피해","Dano Extra de Gelo","Дополнительный урон от холода","Daño de hielo adicional","เสริมความเสียหาย น้ำแข็ง","額外冰冷傷害","",[],"","",1
4,3965,"Extra Lightning Damage","Dégâts de foudre supplémentaires","Extra Blitzschaden","追加雷ダメージ","추가 번개 피해","Dano de Raio Adicional","Дополнительный урон от молнии","Daño de rayo extra","เสริมความเสียหาย สายฟ้า","額外閃電傷害","",[],"","",1
5,3966,"Extra Lightning Damage","Dégâts de foudre supplémentaires","Extra Blitzschaden","追加雷ダメージ","추가 번개 피해","Dano Extra de Raio","Дополнительный урон от молнии","Daño de rayo adicional","เสริมความเสียหาย สายฟ้า","額外閃電傷害","",[],"","",1
6,3967,"Hasted","Véloce","Beschleunigt","迅速","가속","Acelerado","Ускоренный","Acelerado","ว่องไว","急速","",[],"","",1
7,3968,"Hasted","Véloce","Beschleunigt","迅速","가속","Acelerado","Ускоренный","Acelerado","ว่องไว","急速","",[],"","",1
8,3969,"Extra Crits","Critiques supplémentaires","Extra kritische Treffer","追加クリティカル","추가 치명타","Críticos Adicionais","Дополнительные критические удары","Críticos adicionales","เสริมคริติคอล","額外暴擊","",[],"","",1
9,3970,"Extra Crits","Critiques supplémentaires","Extra kritische Treffer","追加クリティカル","추가 치명타","Críticos Extras","Дополнительные критические удары","Críticos adicionales","เสริมคริติคอล","額外暴擊","",[],"","",1
10,3971,"Stuns","Étourdit","Betäubt","スタン","기절","Atordoa","Оглушает","Aturde","สร้างสถานะ สตัน","暈眩","",[],"","",1
11,3972,"Stuns","Étourdit","Betäubt","スタン","기절","Atordoamentos","Оглушает","Aturde","สร้างสถานะ สตัน","暈眩","",[],"","",1
12,3973,"Armoured","Blindé","Gepanzert","重装甲","장갑을 두른","Encouraçado","Бронированный","Blindado","หุ้มเกราะ","額外護甲值","",[],"","",1
13,3974,"Armoured","Blindé","Gepanzert","重装甲","장갑을 두른","Encouraçado","Бронированный","Blindado","หุ้มเกราะ","裝甲的","",[],"","",1
14,3975,"Evasive","Évasif","Ausweichend","高回避力","회피하는","Evasivo","Уклоняющийся","Evasivo","หลบหลีก","額外閃避值","",[],"","",1
15,3976,"Evasive","Évasif","Ausweichend","高回避力","회피하는","Evasivo","Уклоняющийся","Evasivo","หลบหลีก","閃避的","",[],"","",1
16,3977,"Extra Energy Shield","Bouclier d'énergie supplémentaire","Extra Energieschild","追加エナジーシールド","추가 에너지 보호막","Escudo de Energia Adicional","Дополнительный энергетический щит","Escudo de energía adicional","เสริมโล่พลังงาน","額外能量護盾","",[],"","",1
17,3978,"Extra Energy Shield","Bouclier d'énergie supplémentaire","Extra Energieschild","追加エナジーシールド","추가 에너지 보호막","Escudo de Energia Extra","Дополнительный энергетический щит","Escudo de energía adicional","เสริมโล่พลังงาน","額外能量護盾","",[],"","",1
18,3979,"Always Poisons","Empoisonne toujours","Vergiftet immer","常に毒付与","항상 중독 유발","Sempre Envenena","Всегда отравляет","Siempre envenena","สร้างสถานะ พิษ เสมอ","必定中毒","",[],"","",1
19,3980,"Always Poisons","Empoisonne toujours","Vergiftet immer","常に毒付与","항상 중독 유발","Sempre Envenena","Всегда отравляет","Siempre envenena","สร้างสถานะ พิษ เสมอ","必定中毒","",[],"","",1
20,3981,"Always Bleeds","Inflige toujours le Saignement","Verursacht immer Bluten","常に出血付与","항상 출혈 유발","Sempre Sangra","Всегда накладывает кровотечение","Siempre aplica sangrado","สร้างสถานะ เลือดไหล เสมอ","必定流血","",[],"","",1
21,3982,"Always Bleeds","Inflige toujours le Saignement","Verursacht immer Bluten","常に出血付与","항상 출혈 유발","Sempre Sangra","Всегда накладывает кровотечение","Siempre aplica sangrado","สร้างสถานะ เลือดไหล เสมอ","必定流血","",[],"","",1
22,3983,"Periodically unleashes Fire","Libère périodiquement du Feu","Entfesselt regelmäßig Feuer","定期的に火を放つ","주기적으로 화염 방출","Libera Fogo Periodicamente","Периодически высвобождает огонь","Lanza fuego periódicamente","ปล่อย ไฟ เป็นระยะ","週期性創造燃燒地面",73,[],"","",""
23,3984,"Periodically unleashes Fire","Libère périodiquement du Feu","Entfesselt regelmäßig Feuer","定期的に火を放つ","주기적으로 화염 방출","Libera Fogo Periodicamente","Периодически высвобождает огонь","Lanza fuego periódicamente","ปลดปล่อย ไฟ เป็นระยะ","週期性釋放火焰",73,[],"","",""
24,3985,"Burning Ground on Death","Sol brûlant en mourant","Brennender Boden bei Tod","死亡時に燃焼領域を生成","사망 시 용암 지대","Solo Incendiado ao Morrer","Горящая земля при смерти","Suelo incendiado al morir","สร้าง พื้นลุกไหม้ เมื่อตาย","死亡時燃燒地面","",[],"","",""
25,3986,"Periodically unleashes Ice","Libère périodiquement de la Glace","Entfesselt regelmäßig Eis","定期的に氷を放つ","주기적으로 얼음 방출","Libera Gelo Periodicamente","Периодически высвобождает лёд","Lanza hielo periódicamente","ปล่อย น้ำแข็ง เป็นระยะ","週期性創造傷害性冰緩地面",75,[],"","",""
26,3987,"Periodically unleashes Ice","Libère périodiquement de la Glace","Entfesselt regelmäßig Eis","定期的に氷を放つ","주기적으로 얼음 방출","Libera Gelo Periodicamente","Периодически высвобождает лёд","Lanza hielo periódicamente","ปลดปล่อย น้ำแข็ง เป็นระยะ","週期性釋放寒冰",75,[],"","",""
27,3988,"Chilled Ground on Death","Sol frigorifiant en mourant","Unterkühlender Boden bei Tod","死亡時に冷却領域を生成","사망 시 얼음 지대","Solo Congelado ao Morrer","Замёрзшая земля при смерти","Suelo escarchado al morir","สร้าง พื้นหนาวเย็น เมื่อตาย","死亡時冰緩地面","",[],"","",""
28,3989,"Periodically unleashes Lightning","Libère périodiquement de la Foudre","Entfesselt regelmäßig Blitze","定期的に雷を放つ","주기적으로 번개 방출","Libera Raio Periodicamente","Периодически высвобождает молнию","Lanza rayos periódicamente","ปล่อย สายฟ้า เป็นระยะ","週期性創造感電地面",74,[],"","",""
29,3990,"Periodically unleashes Lightning","Libère périodiquement de la Foudre","Entfesselt regelmäßig Blitze","定期的に雷を放つ","주기적으로 번개 방출","Libera Raio Periodicamente","Периодически высвобождает молнию","Lanza rayos periódicamente","ปลดปล่อย สายฟ้า เป็นระยะ","週期性釋放閃電",74,[],"","",""
30,3991,"Shocked Ground on Death","Sol électrocutant en mourant","Schockender Boden bei Tod","死亡時に感電領域を生成","사망 시 감전 지대","Solo Eletrizado ao Morrer","Заряженная земля при смерти","Suelo electrificado al morir","สร้าง พื้นช็อค เมื่อตาย","死亡時感電地面","",[],"","",""
31,3992,"Increased Stun Threshold","Seuil d'Étourdissement augmenté","Erhöhte Betäubungsschwelle","スタン閾値増加","기절 한계치 증가","Resistência-limite de Atordoamento Aumentada","Повышенный порог оглушения","Umbral de aturdimiento aumentado","เพิ่มความยากในการติดสถานะ สตัน","暈眩門檻增加","",[],"","",1
32,3993,"Increased Stun Threshold","Seuil d'Étourdissement augmenté","Erhöhte Betäubungsschwelle","スタン閾値増加","기절 한계치 증가","Ponto de Atordoamento Aumentado","Повышенный порог оглушения","Umbral de aturdimiento aumentado","เพิ่มความยากในการติดสถานะ สตัน","暈眩門檻增加","",[],"","",1
33,3994,"Stun Resistant","Résistant à l'Étourdissement","Widersteht Betäubung","スタン耐性","기절 저항","Resistente a Atordoamento","Сопротивляется оглушению","Resistente al aturdimiento","ต้านทาน สตัน","暈眩抵抗","",[],"","",1
34,3995,"Stun Resistant","Résistant à l'Étourdissement","Betäubungswiderstand","スタン耐性","기절 저항","Resistente a Atordoamentos","Сопротивляется оглушению","Resistente al aturdimiento","ต้านทาน สตัน","暈眩抵抗","",[],"","",1
