"rownum","BaseItemType","StatsMartialWeapon","StatsValuesMartialWeapon","StatsArmour","StatsValuesArmour","Rank","StatsCasterWeapon","StatsValuesCasterWeapon","StatsAllEquipment","StatsValuesAllEquipment"
0,515,"[47,48]","[4,6]",[138],[10],0,[18104],[8],[],[]
1,505,"[47,48]","[7,11]",[138],[12],15,[18104],[10],[],[]
2,525,"[47,48]","[13,16]",[138],[14],30,[18104],[12],[],[]
3,516,"[54,55]","[3,5]",[140],[10],0,[18105],[8],[],[]
4,506,"[54,55]","[6,10]",[140],[12],15,[18105],[10],[],[]
5,526,"[54,55]","[9,15]",[140],[14],30,[18105],[12],[],[]
6,517,"[61,62]","[1,10]",[142],[10],0,[18106],[8],[],[]
7,507,"[61,62]","[1,20]",[142],[12],15,[18106],[10],[],[]
8,527,"[61,62]","[1,30]",[142],[14],30,[18106],[12],[],[]
9,518,[27],[15],[756],[15],0,[25],[20],[],[]
10,508,[27],[20],[756],[20],15,[25],[25],[],[]
11,528,[27],[25],[756],[25],30,[25],[30],[],[]
12,519,[3012],[200],[117],[20],0,[127],[25],[],[]
13,509,[3012],[250],[117],[30],15,[127],[30],[],[]
14,529,[3012],[300],[117],[40],30,[127],[35],[],[]
15,520,[3015],[150],[121],[15],0,[121],[25],[],[]
16,510,[3015],[200],[121],[25],15,[121],[30],[],[]
17,530,[3015],[250],[121],[35],30,[121],[35],[],[]
18,521,[99],[10],[439],[15],0,[132],[12],[],[]
19,511,[99],[20],[439],[18],15,[132],[15],[],[]
20,531,[99],[30],[439],[21],30,[132],[18],[],[]
21,522,[101],[8],[124],[12],0,[124],[16],[],[]
22,512,[101],[16],[124],[15],15,[124],[20],[],[]
23,532,[101],[24],[124],[18],30,[124],[24],[],[]
24,523,[18767],[20],[18752],[30],0,[19348],[10],[],[]
25,513,[18767],[25],[18752],[40],15,[19348],[12],[],[]
26,533,[18767],[30],[18752],[50],30,[19348],[14],[],[]
27,524,[560],[50],[10808],[8],0,[545],[16],[],[]
28,514,[560],[80],[10808],[10],15,[545],[20],[],[]
29,534,[560],[110],[10808],[12],30,[545],[24],[],[]
30,594,[5152],[15],[144],[11],0,[],[],[],[]
31,595,[2763],[15],[20260],[10],0,[],[],[],[]
32,596,[3209],[2],[118],[2],0,[],[],[],[]
33,597,[6005],[2],[122],[2],0,[],[],[],[]
34,598,[5731],[30],[135],[5],0,[],[],[],[]
35,599,[18228],[30],[947],[1],0,[],[],[],[]
36,600,[18417],[20],[948],[1],0,[],[],[],[]
37,601,[18229],[30],[949],[1],0,[],[],[],[]
38,602,[19713],[15],[20034],[5],0,[],[],[],[]
39,603,[3972],[15],[9984],[15],0,[],[],[],[]
40,604,[71],[5],[18672],[-10],0,[],[],[],[]
41,605,[386],[12],[97],[10],0,[],[],[],[]
42,606,[20822],[20],[20822],[20],0,[],[],[],[]
43,607,[20823],[20],[20823],[20],0,[],[],[],[]
44,608,[20824],[20],[20824],[20],0,[],[],[],[]
45,547,[22130],[10],[22128],[10],0,[],[],[],[]
46,548,[19427],[10],"[20394,20395]","[1,100]",0,[],[],[],[]
47,549,[20267],[8],[6007],[8],0,[],[],[],[]
48,550,[22131],[10],[3463],[-10],0,[],[],[],[]
49,535,[],[],[],[],0,[],[],[563],[6]
50,536,[],[],[],[],15,[],[],[563],[8]
51,537,[],[],[],[],30,[],[],[563],[10]
52,538,[],[],[],[],0,[],[],[569],[6]
53,539,[],[],[],[],15,[],[],[569],[8]
54,540,[],[],[],[],30,[],[],[569],[10]
55,541,[],[],[],[],0,[],[],[566],[6]
56,542,[],[],[],[],15,[],[],[566],[8]
57,543,[],[],[],[],30,[],[],[566],[10]
58,544,"[32,33]","[3,4]","[20388,20389]","[6,9]",0,[],[],[],[]
