"rownum","Id","Label","ImplicitStats","ConstantStats","ConstantStatsValues","BaseEffectiveness","IncrementalEffectiveness","DamageIncrementalEffectiveness","IgnoredStats","bool_100"
0,"MeleePlayer","",[605],[16248],[10],1,0.055,0,[],""
1,"MeleeUnarmedPlayer","",[605],[16248],[10],1,0.055,0,[],""
2,"MeleeQuarterstaffPlayer","",[605],[16248],[10],1,0.055,0,[],""
3,"MeleeFlailPlayer","",[605],[16248],[10],1,0.055,0,[],""
4,"Melee1HSwordPlayer","",[605],[16248],[10],1,0.055,0,[],""
5,"MeleeSwordSwordPlayer","",[605],"[16248,9703]","[10,-30]",1,0.055,0,[],""
6,"Melee2HSwordPlayer","",[605],[16248],[10],1,0.055,0,[],""
7,"Melee1HAxePlayer","",[605],[16248],[10],1,0.055,0,[],""
8,"MeleeAxeAxePlayer","",[605],"[16248,9703]","[10,-30]",1,0.055,0,[],""
9,"Melee2HAxePlayer","",[605],[16248],[10],1,0.055,0,[],""
10,"Melee1HMacePlayer","",[605],[16248],[10],1,0.055,0,[],""
11,"MeleeMaceMacePlayer","","[605,1117]","[16248,9703]","[10,-30]",1,0.055,0,[],""
12,"Melee2HMacePlayer","",[605],[16248],[10],1,0.055,0,[],""
13,"MeleeClawPlayer","",[605],[16248],[10],1,0.055,0,[],""
14,"MeleeClawClawPlayer","",[605],"[16248,9703]","[10,-30]",1,0.055,0,[],""
15,"MeleeDaggerPlayer","",[605],[16248],[10],1,0.055,0,[],""
16,"MeleeDaggerDaggerPlayer","",[605],"[16248,9703]","[10,-30]",1,0.055,0,[],""
17,"MeleeSpearPlayer","",[605],"[16248,1228]","[15,4]",1,0.055,0,[],""
18,"MeleeSpearOffHandPlayer","",[605],[16248],[15],1,0.055,0,[],""
19,"MeleeBowPlayer","","[488,4430,6490,10056,854,18585,18673,18349]","[18578,18639,20364]","[-70,160,60]",1,0.055,0,[],""
20,"MeleeCrossbowPlayer","","[488,18349,18435,4430,6490,10056,18473,9016,8811,18585]","[18434,18481,18488,18489,18490,18506,18578,18639,20364]","[90,10,2,8,300,0,-70,160,60]",1,0.055,0,[],""
21,"PlaytestAttack",33,[605],[16248],[10],1,0,0,[],""
22,"PlaytestSlam","",[605],"[16248,17726]","[10,25]",1,0,0,[],""
23,"PlaytestSpell",3,"[488,4430,10056,18585,6490,18673]",[],[],1,0,0,[],""
24,"PlaytestSpellExplosion",5,[605],[17726],[7],1,0,0,[],""
25,"FireboltPlayer",3,"[488,4430,10056,18585,6490,18673]","[18578,18639,20364,11455,22461]","[-70,160,60,100,25]",2.8,0.14,0.0068,[],""
26,"FireboltExplosionPlayer",5,"[605,20688]",[17726],[7],1,0.055,0,[],""
27,"CommandCompanionPlayer",85,"[18536,18585,18879]","[18578,18639,20364]","[-70,160,60]",1,0.055,0,[],""
28,"CommandUnloadAmmoPlayer","","[18536,18585,18879,2899]","[18578,18639,20364,18408]","[-70,160,60,7]",1,0.055,0,[],""
29,"IceNovaPlayer","","[605,104,18585]","[17957,17956,17958,17726,7974,16697,18578,18639,20364]","[50,-90,20,32,1,100,-70,160,60]",1.46,0.14,0.0068,[],""
30,"LeapSlamPlayer","","[605,9330,1986,19830]","[18477,16610,16248,17518,16614,16633,18428,17726,1896]","[1,650,5,15,500,30,500,25,-30]",0,0.0927,0,[],""
31,"ShieldChargePlayer",38,"[605,9347,1986,21715,22501]","[17726,18258,349,18649,452,18712,18713,18718,18719,18730]","[24,1300,5000,120,80,0,400,10,-20,0]",1.21,0.2735,0,[],""
32,"DetonateDeadPlayer","","[605,18585,22152]","[17726,18578,18639,20364,18873,18951]","[26,-70,160,60,26,400]",6,0.05,0.0025,[],""
33,"RaiseZombiePlayer",79,"[18585,20352]","[447,18419,159,18840,18578,18639,20364,18947,18949,20481,349]","[1,25,10,0,-70,160,80,25,100,30,20000]",0,0.0927,0,[],""
34,"FlickerStrikePlayer","","[1842,1986,17980,605]",[17979],[2],0,0.0927,0,[],""
35,"SparkPlayer","","[488,17912,4430,6490,10056,18585]","[349,17527,11385,18578,18639,20364,21638]","[2000,20,1009,-70,160,60,660]",1.14,0.14,0.0045,[],""
36,"UniqueEarthboundTriggeredSparkPlayer","","[488,17912,4430,6490,10056,18585]","[349,17527,11385,18578,18639,20364,21638,20768]","[2000,20,1009,-70,160,60,660,100]",1.14,0.14,0.0045,[],""
37,"SummonSpectrePlayer",79,"[18410,20352]","[18411,22320,22321,22322]","[12000,100,30,100]",0,0.0927,0,[],""
38,"FrostWallPlayer","","[1986,605,18585]","[498,349,17726,18578,18639,20364,18418]","[150,8000,20,-70,160,60,50]",2.28,0.14,0.0055,[],""
39,"ShockNovaPlayer","","[605,18585,17723]","[18578,18639,20364,17945]","[-70,160,60,100]",1.306,0.14,0.0068,[],""
40,"TemporalChainsPlayer","","[2899,18585]","[18413,18578,18639,20364]","[1500,-70,160,60]",0,0.0927,0,[],""
41,"EnfeeblePlayer","","[2899,18585]","[18413,18578,18639,20364]","[1500,-70,160,60]",0,0.0927,0,[],""
42,"SnipersMarkPlayer","","[2899,18585]","[349,18578,18639,20364,20629]","[8000,-70,160,60,1]",0,0.0927,0,[],""
43,"VulnerabilityPlayer","","[2899,18585]","[18413,18578,18639,20364]","[1500,-70,160,60]",0,0.0927,0,[],""
44,"LightningWarpPlayer","","[1986,605,17952,18585]","[17726,3093,18578,18639,20364]","[40,10000,-70,160,60]",4.09,0.14,0.0082,[],""
45,"ArmourBreakerPlayer","","[104,605,9244]","[1228,16248,9703]","[2,17,40]",1,0.055,0,[],""
46,"FirestormPlayer",80,"[1986,605,18585,2279,22152]","[599,11753,349,17726,17729,18578,18639,20364,21132,22466]","[100,1,6000,10,56,-70,160,60,150,5]",1.1,0.14,0.0068,[],""
47,"FallingThunderPlayer",2,[605],"[1102,16248,18227,17726]","[60,21,120,40]",0.62,0.055,0,[],""
