"rownum","rid_0","rid_16"
0,9414,0
1,9415,31
2,14461,8
3,14462,9
4,14463,10
5,14464,11
6,14465,12
7,14466,13
8,14467,14
9,14468,15
10,14469,16
11,14470,17
12,14471,18
13,14855,19
14,14856,20
15,14857,21
16,14858,22
17,14859,23
18,14860,24
19,14861,25
20,14862,26
21,14863,27
22,14864,28
23,14865,29
24,15288,30
25,14025,31
26,14026,32
27,14027,33
28,14028,34
29,14029,35
30,14030,36
31,14031,37
32,14032,38
33,14033,39
34,14034,40
35,14035,41
36,14036,42
37,14037,43
38,15064,44
39,15065,45
40,15066,46
41,15067,47
42,15068,48
43,15069,49
44,15070,50
45,15071,51
46,15072,52
47,15073,53
48,15074,54
49,15075,55
50,15076,56
51,6775,57
