"rownum","Id","AOFiles","LoopAnimationIds","ImpactAnimationIds","ProjectileSpeed","bool_60","i32_61","bool_65","bool_66","InheritsFrom","i32_75","i32_79","i32_83","i32_87","i32_91","bool_95","bool_96","[string]_97","string_113","i32_121","i32_125","i32_129","i32_133","rid_137","rid_153","i32_169","i32_173","i32_177","i32_181","i32_185","[string]_189","bool_205","[i32]_206","string_222","rid_230","rid_246","rid_262","bool_278","string_279","rid_287","string_303","rid_311","string_327","[string]_335","[string]_351"
0,"Metadata/Projectiles/Fireball","[""Metadata/Effects/Spells/fire_fireball/ao/rig.ao""]","[""projectile""]","[""impact""]",1040,"",2,"","","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,7652,"",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
1,"Metadata/Projectiles/DragonFireball","[""Metadata/Effects/Microtransactions/Spells/fireball/dragon_fireball/dragonball.ao""]","[""fire""]","[""fire_explode""]",1040,"",2,"","","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
2,"Metadata/Projectiles/GoldenFireball","[""Metadata/Effects/Spells/fireball/golden/rig.ao""]","[""fireball""]","[""fireball_explode""]",1040,"",2,1,"","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
3,"Metadata/Projectiles/PyroFireball","[""Metadata/Effects/Spells/monsters_effects/act3/pyro/fireball.ao""]","[""fireball_loop""]","[""fireball_explode""]",1040,"",2,"","","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
4,"Metadata/Projectiles/PyroPoisonFireball","[""Metadata/Effects/Spells/monsters_effects/act3/pyro/fireball_poison.ao""]","[""fireball_loop""]","[""fireball_explode""]",1040,"",2,"","","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
5,"Metadata/Projectiles/PhoenixFireball","[""Metadata/Effects/Spells/monsters_effects/Phoenix/projectile/projectile_fire.ao""]","[""projectile_travel""]","[""projectile_end""]",1040,1,2,"","","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
6,"Metadata/Projectiles/StygianFireball","[""Metadata/Effects/Microtransactions/Spells/fireball/stygian/rig.ao""]","[""fireball""]","[""fireball_explode""]",1040,"",2,"","","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
7,"Metadata/Projectiles/SandSpitter","[""Metadata/Effects/Spells/sandspitterprojectile/rig.ao""]","[""flying""]","[""impact""]",1688,"",2,1,"","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
8,"Metadata/Projectiles/SandSpitterFire","[""Metadata/Effects/Spells/monsters_effects/sandspitter_elemental/fire.ao""]","[""sandspitter_ele""]","[""sandspitter_ele_impact""]",1170,"",2,"","","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
9,"Metadata/Projectiles/SandSpitterCold","[""Metadata/Effects/Spells/monsters_effects/sandspitter_elemental/ice.ao""]","[""sandspitter_ele""]","[""sandspitter_ele_impact""]",1170,"",2,"","","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
10,"Metadata/Projectiles/SandSpitterLightning","[""Metadata/Effects/Spells/monsters_effects/sandspitter_elemental/lightning.ao""]","[""sandspitter_ele""]","[""sandspitter_ele_impact""]",1170,"",2,"","","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
11,"Metadata/Projectiles/SandSpitterChaos","[""Metadata/Effects/Spells/monsters_effects/sandspitter_elemental/chaos.ao""]","[""sandspitter_ele""]","[""sandspitter_ele_impact""]",1170,"",2,"","","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
12,"Metadata/Projectiles/SeaWitch","[""Metadata/Effects/Spells/wave/rig.ao""]","[""wave""]",[],300,1,2,"","","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
13,"Metadata/Projectiles/Scavenger","[""Metadata/Effects/Spells/monsters_effects/scavenger_rock/rig.ao""]","[""rock_travel""]","[""rock_explode""]",1000,"",2,1,"","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],1,[],"","","","","","","","","","",[],[]
14,"Metadata/Projectiles/SkeletonProjectileFire","[""Metadata/Effects/Spells/raise_skeleton_02/skeleproj_fire.ao""]","[""loop""]","[""end""]",700,"",2,"","","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
15,"Metadata/Projectiles/SkeletonProjectileCold","[""Metadata/Effects/Spells/raise_skeleton_02/skeleproj_ice.ao""]","[""loop""]","[""end""]",700,"",2,"","","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
16,"Metadata/Projectiles/SkeletonProjectileLightning","[""Metadata/Effects/Spells/raise_skeleton_02/skeleproj_lightning.ao""]","[""loop""]","[""end""]",700,"",2,"","","Metadata/Projectiles/Projectile",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],"","","","","","","","","","",[],[]
17,"Metadata/Projectiles/Spark","[""Metadata/Effects/Spells/lightning_spark/spark_projectile.ao""]","[""projectile_01""]","[""impact_01""]",1000,1,1,1,"","Metadata/Projectiles/ProjectileGround",-16843010,-16843010,-16843010,-16843010,2,"","",[],"",0,0,0,0,"","",0,0,100,100,5,"[""expire_01""]","",[],"","","","","","","","","","",[],[]
