"rownum","BuffDefinitions","[i32]_16","StatsKeys","i32_48","i32_52","i32_56","[i32]_60","[rid]_76","[i32]_92","bool_108"
0,797,[],"[466,435]",0,0,0,[],[],[],""
1,816,[],[],0,1,0,[],[],[],""
2,843,[],[338],25,2,0,[],[],"[1,2,3]",""
3,845,"[1,1]",[466],0,3,0,[],[],[],""
4,847,[],"[167,166,5915,1114]",0,4,0,[],[],[],""
5,849,[],"[24,466,70,171]",0,5,0,[],[],[],""
6,1021,[],"[24,70,210,171,466]",0,6,0,[],[],[],""
7,842,[],"[6041,6042,6043]",0,7,0,[],[],[],""
8,1081,[1],[],30,8,0,[],[],[3],""
9,1192,[],[],0,9,0,[],[],[],""
10,1239,[],"[171,70]",0,10,0,[],[],[],""
11,1316,[],[24],0,11,0,[],[],[],""
12,1327,[],"[728,24]",0,12,0,[],[],[],""
13,1363,[],[134],0,17,0,[],[],[],""
14,1367,[],[1943],200,18,100,[],[],"[3,10]",""
15,1367,[],[1943],200,19,85,[],[],"[3,10]",""
16,1367,[],[1943],200,20,70,[],[],"[3,10]",""
17,1367,[],[1943],200,21,55,[],[],"[3,10]",""
18,1367,[],[1943],200,22,35,[],[],"[3,10]",""
19,1339,[],"[5672,5673,5675,5676,338]",74,23,0,[],[],"[3,10,11]",""
20,1340,[],"[5672,5673,5675,5676,338]",55,24,0,[],[],"[3,10,11]",""
21,1378,[],"[5672,5673,5675,5676,338]",74,25,0,[],[],"[3,10,18]",""
22,1379,[],"[5672,5673,5675,5676,338]",55,26,0,[],[],"[3,10,18]",""
23,850,[],"[24,466,70,171,3305]",0,28,0,[],[],[],""
24,846,"[1,1,1]",[466],0,29,0,[],[],[],""
25,848,[],"[167,166,5915,1114,9990]",0,30,0,[],[],[],""
26,844,[],[338],35,31,0,[],[],"[1,2]",""
27,851,[],"[584,648]",0,32,0,[],[],[],""
28,1567,[],[1942],23,33,0,[],[],"[3,5,10]",""
29,1567,[],[1942],11,34,0,[],[],"[3,5,10]",""
30,1625,[],"[466,145,147]",16,35,0,[],[],"[3,11]",""
31,1628,[],[338],0,36,0,[],[],[],""
32,1645,[-8],[1946],120,37,0,[],[],"[3,10,11]",""
33,1649,[],[466],28,38,0,[],[],"[2,10,14]",""
34,1627,[],[338],120,39,0,[],[],"[1,2,3,10]",""
35,1656,[],"[133,132]",0,40,0,[],[],[],""
36,1567,[],[1942],23,41,0,[],[],"[3,4,10]",""
37,1567,[],[1942],11,42,0,[],[],"[3,4,10]",""
38,1688,[],[2521],14,43,0,[],[],[3],""
39,1689,[],[2521],14,44,0,[400],[],[3],""
40,1715,[],[],0,45,0,[],[],[],""
41,1788,[],[1940],150,46,55,[],[],"[3,10]",""
42,1892,[],"[3243,1944]",38,47,28,[],[],[3],""
43,1913,[],"[70,210,208,14786]",0,48,0,[],[],[],""
44,1340,[],"[5672,5673,5675,5676,338]",48,49,0,[],[],"[3,10,11]",""
45,2029,[],[1946],15,50,0,[],[],"[3,10]",""
46,441,[1],[],0,51,0,[],[],[],""
47,1725,[10],[],0,1000,0,"[1,50]",[],[],""
48,2006,"[20,10]",[],0,1001,0,[],[],"[1,2,3]",""
49,2274,"[-20,30]",[],0,1003,0,[],[],[],""
50,2285,[],[22492],0,1004,0,[],[],[],""
51,2287,[0],"[18526,19539]",0,1005,0,[],[18986],[],""
52,500,[],[],25,1006,0,[],[],[3],""
53,2135,[],[],30,1007,0,[],[],"[24,14]",""
54,2136,[6000],[],30,1008,0,[],[],"[14,8]",""
55,2134,[],[346],30,1009,0,[],[],[3],""
56,2136,[180],[],30,1010,0,[],[],"[14,2]",""
57,111,[50],[],42,1011,0,[],[],[3],""
58,103,[40],[],50,1012,0,[],[],"[1,2]",""
59,105,"[25,25]",[],50,1013,0,[],[],"[1,2]",""
60,108,[30],[],25,1014,0,[],[],"[1,2]",""
61,107,[35],[],50,1015,0,[],[],"[1,2]",""
62,1893,"[25,40,-60]",[],32,1016,0,[],[],[3],""
63,1409,[],[],30,1017,0,"[6,-30]",[],[3],""
64,1891,[-3],[],36,1018,0,[],[],"[3,5]",""
65,111,[50],[],42,1019,0,[],[],[3],""
66,103,[40],[],50,1020,0,[],[],"[1,2]",""
67,105,"[25,25]",[],50,1021,0,[],[],"[1,2]",""
68,108,[30],[],25,1022,0,[],[],"[1,2]",""
69,107,[35],[],50,1023,0,[],[],"[1,2]",""
70,1893,"[25,40,-60]",[],32,1024,0,[],[],[3],""
71,1409,[],[],30,1025,0,"[6,-30]",[],[3],""
72,1891,[-3],[],36,1026,0,[],[],"[3,5]",""
73,1892,[],"[3243,1944]",38,1027,28,[],[],[3],""
74,105,"[12,12]",[],50,1028,0,[],[],"[1,2]",""
75,108,[10],[],50,1029,0,[],[],"[1,2]",""
76,1893,"[10,40,-20]",[],32,1030,0,[],[],[3],""
