"rownum","Id","StoredItem","XOffset","YOffset","FirstSlotIndex","Width","Height","bool_44","string_45","i32_53","[rid]_57"
0,"Metadata/Items/MapFragments/CurrencyRitualBossFragment",730,428,85,0,1,1,1,"yRitualBossFragment",0,[]
1,"Metadata/Items/Currency/OmenOnRegalPrefix",3291,173,255,1,1,1,1,"yRitualBossFragment",0,[]
2,"Metadata/Items/Currency/OmenOnRegalSuffix",3292,258,255,2,1,1,1,"yRitualBossFragment",0,[]
3,"Metadata/Items/Currency/OmenOnVaalRemoveDoNothingOutcome",3293,428,255,3,1,1,1,"yRitualBossFragment",0,[]
4,"Metadata/Items/Currency/OmenOnAlchemyMaximumPrefixes",3289,598,255,4,1,1,1,"yRitualBossFragment",0,[]
5,"Metadata/Items/Currency/OmenOnAlchemyMaximumSuffixes",3290,683,255,5,1,1,1,"yRitualBossFragment",0,[]
6,"Metadata/Items/Currency/OmenOnExaltAddPrefixes",3295,173,425,6,1,1,1,"yRitualBossFragment",0,[]
7,"Metadata/Items/Currency/OmenOnExaltAddSuffixes",3296,258,425,7,1,1,1,"yRitualBossFragment",0,[]
8,"Metadata/Items/Currency/OmenOnExaltAddTwoMods",3294,343,425,8,1,1,1,"yRitualBossFragment",0,[]
9,"Metadata/Items/Currency/OmenOnAnnulRemovePrefixes",3298,513,425,9,1,1,1,"yRitualBossFragment",0,[]
10,"Metadata/Items/Currency/OmenOnAnnulRemoveSuffixes",3299,598,425,10,1,1,1,"yRitualBossFragment",0,[]
11,"Metadata/Items/Currency/OmenOnAnnulRemoveTwoMods",3297,683,425,11,1,1,1,"yRitualBossFragment",0,[]
12,"Metadata/Items/Currency/OmenOnChaosPrefix",3287,173,595,12,1,1,1,"yRitualBossFragment",0,[]
13,"Metadata/Items/Currency/OmenOnChaosSuffix",3288,258,595,13,1,1,1,"yRitualBossFragment",0,[]
14,"Metadata/Items/Currency/OmenOnChaosLowestLevelMod",3286,343,595,14,1,1,1,"yRitualBossFragment",0,[]
15,"Metadata/Items/Currency/OmenOnLowLifeFullyHeal",3284,513,595,15,1,1,1,"yRitualBossFragment",0,[]
16,"Metadata/Items/Currency/OmenOnDeathPreventExpLoss",3285,598,595,16,1,1,1,"yRitualBossFragment",0,[]
17,"Metadata/Items/Currency/OmenOnLowLifeRecoverCharges",3283,683,595,17,1,1,1,"yRitualBossFragment",0,[]
18,"Metadata/Items/Currency/OmenTormentedMonsterReleased",3302,298,765,18,1,1,1,"yRitualBossFragment",0,[]
19,"Metadata/Items/Currency/OmenShrineAdditionalEffect",3300,383,765,19,1,1,1,"yRitualBossFragment",0,[]
20,"Metadata/Items/Currency/OmenStrongboxOpenableAgain",3301,468,765,20,1,1,1,"yRitualBossFragment",0,[]
21,"Metadata/Items/Currency/OmenRogueExileSummonsPartyMember",3303,553,765,21,1,1,1,"yRitualBossFragment",0,[]
