"rownum","BaseItemType","SkillsGranted","IsWeapon"
0,1927,[297],1
1,1928,[383],1
2,1929,[382],1
3,1930,[39],1
4,1931,[4],1
5,1932,[131],1
6,1933,[328],1
7,1934,[121],1
8,1935,[297],1
9,1936,[297],1
10,1937,[297],1
11,1938,[79],1
12,1939,[297],1
13,1940,[309],1
14,1941,[324],1
15,1942,[201],1
16,1943,[309],1
17,1944,[389],1
18,1945,[117],1
19,1946,[105],1
20,1947,[122],1
21,1948,[309],1
22,1949,[205],1
23,1950,[25],1
24,1951,[181],1
25,1952,[85],1
26,2236,[320],""
27,2237,[320],""
28,2238,[320],""
29,2239,[320],""
30,2240,[320],""
31,2241,[320],""
32,2242,[320],""
33,2243,[320],""
34,2244,[320],""
35,2245,[320],""
36,2246,[320],""
37,2247,[320],""
38,2248,[320],""
39,2249,[320],""
40,2250,[320],""
41,2251,[320],""
42,2252,[320],""
43,2253,[320],""
44,2254,[320],""
45,2255,[320],""
46,2256,[320],""
47,2257,[320],""
48,2258,[320],""
49,2259,[320],""
50,2260,[320],""
51,2261,[320],""
52,2262,[320],""
53,2263,[320],""
54,2264,[320],""
55,2265,[320],""
56,2266,[320],""
57,2267,[320],""
58,2268,[320],""
59,2269,[320],""
60,2270,[320],""
61,2585,[320],""
62,2586,[320],""
63,2587,[320],""
64,2588,[320],""
65,2589,[320],""
66,2590,[320],""
67,2591,[320],""
68,2592,[320],""
69,2593,[320],""
70,2594,[320],""
71,2595,[320],""
72,2596,[320],""
73,2597,[320],""
74,2598,[320],""
75,2599,[320],""
76,2600,[320],""
77,2601,[320],""
78,2602,[320],""
79,2689,[320],""
80,2690,[320],""
81,2691,[320],""
82,2692,[320],""
83,2693,[320],""
84,2694,[320],""
85,2695,[320],""
86,2696,[320],""
87,2697,[320],""
88,1980,[361],1
89,1981,[41],1
90,1982,[361],1
91,1983,[386],1
92,1984,[361],1
93,1985,[58],1
94,1986,[59],1
95,1987,[60],1
96,1988,[361],1
97,1989,[361],1
98,1990,[361],1
99,1991,[361],1
100,1992,[361],1
101,1993,[361],1
102,1994,[361],1
103,2271,[730],""
104,2272,[730],""
105,2273,[730],""
106,2274,[730],""
107,2275,[730],""
108,2276,[730],""
109,2277,[730],""
110,2278,[730],""
111,2279,[730],""
112,2280,[730],""
113,2281,[730],""
114,2282,[730],""
115,2283,[730],""
116,2603,[730],""
117,2604,[730],""
118,2605,[730],""
119,2606,[730],""
120,2607,[730],""
121,2608,[730],""
122,2698,[730],""
123,2699,[730],""
124,2700,[730],""
125,1995,[61],1
126,1953,[746],1
