"rownum","string_0","[rid]_8","i32_24","i32_28","rid_32"
0,"storm_rain_ground_object",[57],3,0,""
1,"earthshatter_spike",[57],3,0,""
2,"earthshatter_spike",[57],3,1,""
3,"earthshatter_spike",[57],3,2,""
4,"earthshatter_spike",[57],3,3,""
5,"earthshatter_spike_ancestral",[57],3,0,11244
6,"earthshatter_spike_ancestral",[57],3,1,11244
7,"earthshatter_spike_ancestral",[57],3,2,11244
8,"earthshatter_spike_ancestral",[57],3,3,11244
9,"flame_wall",[65],3,0,""
10,"flame_wall",[65],3,1,""
11,"flame_wall",[65],3,2,""
12,"flame_wall",[65],3,3,""
13,"flame_wall",[632],3,4,""
14,"toxic_rain_spore",[40],3,0,""
15,"toxic_rain_spore",[40],3,1,""
16,"toxic_rain_spore",[40],3,2,""
17,"toxic_rain_spore",[40],3,3,""
18,"toxic_rain_spore",[40],3,4,""
19,"toxic_rain_spore",[40],3,5,""
20,"toxic_rain_spore",[40],3,6,""
21,"toxic_rain_spore",[40],3,7,""
22,"toxic_rain_spore",[423],3,1000,""
23,"hydrosphere_sphere",[423],3,0,""
24,"hydrosphere_sphere",[423],3,1,""
25,"fire_wake_spear_wake",[128],3,0,""
26,"fire_wake_spear_wake",[128],3,1000,""
27,"fire_wake_spear_wake",[401],3,1001,""
28,"ring_of_ice_statue",[320],3,0,""
29,"frost_wall_segment",[18],3,0,""
30,"frost_wall_segment",[417],3,1,""
31,"frost_wall_segment",[418],3,2,""
32,"volcano_geyser",[381],3,0,""
33,"bladestorm_object",[384],3,0,""
34,"bladestorm_object",[384],3,1,""
35,"perma_frost_wall_segment",[150],3,0,""
36,"tempest_bell",[395],3,0,""
37,"tempest_bell",[396],3,1,""
38,"ice_ambush_wall",[397],3,0,""
39,"lightning_rod_pillar",[403],3,0,""
40,"lightning_rod_pillar",[635],3,1,""
41,"poisonbloom_arrow_bloom",[414],3,0,""
42,"poison_vine_arrow_plant",[416],3,0,""
43,"volcanic_slam_crack",[419],3,0,""
44,"spearstorm",[432],3,0,""
45,"spearstorm",[686],3,2,""
46,"shield_barricade_segment",[466],3,0,""
47,"solar_orb_orb",[415],3,0,""
48,"solar_orb_orb",[415],3,1,""
49,"sigil_of_power_effect",[64],3,0,""
50,"sigil_of_power_effect",[64],3,1,""
51,"war_banner",[499],3,0,""
52,"defiance_banner",[500],3,0,""
53,"dread_banner",[501],3,0,""
54,"stormblast_rod",[518],3,0,""
55,"stormblast_rod",[643],3,2,""
56,"tornado_shot_tornado",[531],3,0,""
57,"storm_caller_invis_object",[555],3,0,""
58,"storm_caller_invis_object",[555],3,1,""
59,"windstorm",[118],3,0,""
60,"spear_mine",[614],3,0,""
61,"overcharged_spear_stuck",[622],3,0,""
62,"overcharged_spear_stuck",[623],3,1,""
63,"overcharged_spear_stuck",[624],3,2,""
64,"caltrop",[642],3,0,""
65,"spear_wall",[653],3,0,""
66,"permafrost_shard",[655],3,0,""
67,"hoarfrost",[19],3,0,""
68,"glacial_lance_mine",[680],3,0,""
69,"windstorm",[118],3,1,""
