"rownum","rid_0","[rid]_16"
0,2391,"[13947,13950,13953,13955,13957]"
1,2392,"[13960,13963,13966,13968,13970]"
2,2393,"[13973,13976,13979,13981,13983]"
3,2394,"[13986,13989,13992,13994,13996]"
4,2395,"[13999,14002,14005,14007,14009]"
5,2396,"[14012,14015,14018,14020,14022]"
6,2397,"[14025,14028,14031,14033,14035]"
7,2398,"[14038,14041,14044,14046,14048]"
8,2399,"[14051,14054,14057,14059,14061]"
9,2400,"[14064,14067,14070,14072,14074]"
10,2401,"[14077,14080,14083,14085,14087]"
11,2402,[14090]
12,2403,[14103]
13,2404,"[14116,14119,14122,14124,14126]"
14,2405,"[14129,14132,14135,14137,14139]"
15,2406,"[14142,14145,14150,14152,14154]"
16,2407,[14157]
17,2408,"[14173,14176,14179,14181,14183]"
18,2409,"[14188,14191,14194,14196,14198]"
19,2410,"[14203,14206,14209,14211,14213]"
20,2411,"[14218,14220,14222,14224,14226]"
21,2412,"[14233,14235,14237,14239,14241]"
22,2413,"[14246,14248,14250,14252,14254]"
23,2414,"[14259,14261,14263,14265,14267]"
24,2415,"[14270,14272,14274,14276,14278]"
25,2416,"[14281,14283,14285,14287,14289]"
26,2417,"[14292,14294,14296,14297,14298]"
27,2418,"[14300,14302,14304,14305,14306]"
28,2419,"[14308,14310,14312,14313,14314]"
29,2420,"[14316,14318,14320,14321,14322]"
30,2421,"[14324,14326,14328,14329,14330]"
31,2422,"[14332,14334,14336,14337,14338]"
32,2423,"[14340,14341,14342,14343,14344]"
33,2424,"[14346,14347,14348,14349,14350]"
34,2425,"[14352,14353,14354,14355,14356]"
35,2426,"[14358,14360,14362,14363,14364]"
36,2427,"[14366,14368,14370,14371,14372]"
37,2428,"[14374,14376,14378,14379,14380]"
38,2429,"[14382,14383,14384,14385,14386]"
39,2430,"[14388,14389,14390,14391,14392]"
40,2431,"[14394,14395,14396,14397,14398]"
41,2432,"[14400,14403,14406,14408,14410]"
42,2433,"[14413,14415,14417,14419,14421]"
43,2434,"[14424,14426,14428,14430,14432]"
44,2435,"[14435,14438,14441,14443,14445]"
45,2436,"[14448,14451,14454,14456,14458]"
46,2437,[14461]
47,2438,[14483]
48,2439,[14493]
49,2440,[14504]
