"rownum","EffectBaseType","VisualEffect","VisualIdentity","Stats","ItemClasses","[rid]_80","bool_96","[i32]_97","[i32]_113","bool_129","[rid]_130","bool_146","[rid]_147","[rid]_163","[rid]_179","[rid]_195","rid_211","bool_227","rid_228","rid_244","bool_260","i32_261","i32_265","i32_269","i32_273","i32_277"
0,124,12,"",[],"[37,6,7,8,9,11,12,13,14,15,16,17,32,57,26]",[],"",[],"[2,5,37,40,43,46]","",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
1,125,2,"",[],"[37,6,7,8,9,11,12,13,14,15,16,17,32,57,26]",[],"",[],"[2,5,37,40,43,46]","",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
2,126,1,"",[],"[37,6,7,8,9,11,12,13,14,15,16,17,32,57,26]",[],"",[],"[2,5,37,40,43,46]","",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
3,127,13,"",[],"[37,6,7,8,9,11,12,13,14,15,16,17,32,57,26]",[],"",[],"[2,5,37,40,43,46]","",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
4,128,0,"",[],"[37,6,7,8,9,11,12,13,14,15,16,17,32,57,26]",[],"",[],"[2,5,37,40,43,46]","",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
5,129,14,"",[],"[37,6,7,8,9,11,12,13,14,15,16,17,32,57,26]",[],"",[],"[2,5,37,40,43,46]","",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
6,130,3,"",[],"[37,6,7,8,9,11,12,13,14,15,16,17,32,57,26]",[],"",[],"[2,5,37,40,43,46]","",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
7,131,4,"",[],"[37,6,7,8,9,11,12,13,14,15,16,17,32,57,26]",[],"",[],"[2,5,37,40,43,46]","",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
8,132,5,"",[],"[37,6,7,8,9,11,12,13,14,15,16,17,32,57,26]",[],"",[],"[2,5,37,40,43,46]","",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
9,133,6,"",[],"[37,6,7,8,9,11,12,13,14,15,16,17,32,57,26]",[],"",[],"[2,5,37,40,43,46]","",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
10,134,7,"",[],"[37,6,7,8,9,11,12,13,14,15,16,17,32,57,26]",[],"",[],"[2,5,37,40,43,46]","",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
11,135,8,"",[],"[37,6,7,8,9,11,12,13,14,15,16,17,32,57,26]",[],"",[],"[2,5,37,40,43,46]","",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
12,136,9,"",[],"[37,6,7,8,9,11,12,13,14,15,16,17,32,57,26]",[],"",[],"[2,5,37,40,43,46]","",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
13,137,10,"",[],"[37,6,7,8,9,11,12,13,14,15,16,17,32,57,26]",[],"",[],"[2,5,37,40,43,46]","",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
14,138,15,"",[],"[7,8,9,15,37]",[],"",[],"[2,5,37,40,43,46]","",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
15,139,15,"",[],"[7,8,9,15,37]",[],"",[],"[2,5,37,40,43,46]","",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
16,140,15,"",[],"[7,8,9,15,37]",[],"",[],"[2,5,37,40,43,46]","",[],"",[],[],[],[],"","","","","",-33554432,-16843010,-16843010,-16843010,16711422
