"rownum","Id","XOffset","YOffset","FirstSlotIndex","Width","Height","bool_28","Tab","SlotSize","HideIfEmpty","Subtab","StoredItems","bool_58","string_59","i32_67"
0,"Metadata/Items/Pinnacle/PinnacleKey1",0,0,0,0,0,"",0,70,"",0,[3153],"","",0
1,"Metadata/Items/Pinnacle/PinnacleKey2",0,0,0,0,0,"",0,70,"",0,[3154],"","",0
2,"Metadata/Items/Pinnacle/PinnacleKey3",0,0,0,0,0,"",0,70,"",0,[3155],"","",0
3,"Metadata/Items/Currency/CurrencyBreachShard",0,0,0,0,0,"",0,70,"",0,[93],"","",0
4,"Metadata/Items/MapFragments/CurrencyBreachFragment",0,0,0,0,0,"",0,70,"",0,[689],"","",0
5,"Metadata/Items/Currency/CurrencyAfflictionShard",0,0,0,0,0,"",0,70,"",0,[109],"","",0
6,"Metadata/Items/MapFragments/CurrencyAfflictionFragment",0,0,0,0,0,"",0,70,"",0,[725],"","",0
7,"Metadata/Items/MapFragments/CurrencyRitualBossFragment",0,0,0,0,0,"",0,70,"",0,[730],"","",0
8,"Metadata/Items/Ultimatum/TrialmasterKey1",0,0,0,0,0,"",0,70,"",0,[3159],"","",0
9,"Metadata/Items/Ultimatum/TrialmasterKey2",0,0,0,0,0,"",0,70,"",0,[3160],"","",0
10,"Metadata/Items/Ultimatum/TrialmasterKey3",0,0,0,0,0,"",0,70,"",0,[3161],"","",0
11,"Metadata/Items/UltimatumKey",0,0,0,0,0,"",0,70,"",0,[3156],"","",0
12,"Metadata/Items/Ultimatum/UltimatumKeySpecial",0,0,0,0,0,"",0,70,"",0,[3328],"","",0
13,"Metadata/Items/Sanctum/SanctumKey",0,0,0,0,0,"",0,70,"",0,[1772],"","",0
14,"Metadata/Items/TowerAugment/BreachAugment",0,0,0,0,0,"",0,70,"",0,[3249],"","",0
15,"Metadata/Items/TowerAugment/ExpeditionAugment",0,0,0,0,0,"",0,70,"",0,[3250],"","",0
16,"Metadata/Items/TowerAugment/DeliriumAugment",0,0,0,0,0,"",0,70,"",0,[3251],"","",0
17,"Metadata/Items/TowerAugment/RitualAugment",0,0,0,0,0,"",0,70,"",0,[3252],"","",0
18,"Metadata/Items/TowerAugment/GenericAugment",0,0,0,0,0,"",0,70,"",0,[3253],"","",0
19,"Metadata/Items/TowerAugment/MapBossAugment",0,0,0,0,0,"",0,70,"",0,[3254],"","",0
20,"Metadata/Items/Ultimatum/UltimatumKeyNew",0,0,0,0,0,"",0,70,"",0,[3157],"","",0
21,"Metadata/Items/Ultimatum/UltimatumKeySpecialNew",0,0,0,0,0,"",0,70,"",0,[3329],"","",0
