"rownum","Id","Name","GrantedEffect","SupportText","SupportText (French)","SupportText (German)","SupportText (Japanese)","SupportText (Korean)","SupportText (Portuguese)","SupportText (Russian)","SupportText (Spanish)","SupportText (Thai)","SupportText (Traditional Chinese)","SupportName","GemTags","Consumed_Mod","ItemColor","[rid]_84","AdditionalGrantedEffects","bool_116","bool_117","[i32]_118","i32_134"
0,"Firebolt","",27,"","","","","","","","","","","","[11,24,60,4,14,5,0]","",3,[],[],"","",[],-1
1,"IceNova","",28,"","","","","","","","","","","","[11,24,60,4,14,1,33]","",3,[],[],"","",[],-1
2,"LeapSlam","",29,"","","","","","","","","","","","[9,24,13,14,7,35,31,52]","",3,[],[],"","",[],-1
3,"ShieldCharge","",30,"","","","","","","","","","","","[9,24,13,14,7,30,28,31]","",3,[],[],"","",[],-1
4,"DetonateDead","",31,"","","","","","","","","","","","[11,24,60,4,14,30,0,47]","",3,[],[],"","",[],-1
5,"VolatileDead","",90,"","","","","","","","","","","","[11,24,60,4,14,0]","",3,[],[],"","",[],-1
6,"AddedFireDamageSupport","",401,"Supports [Attack|Attacks], causing them to [Gain] [Fire] Damage but deal less [Cold] and [Lightning] Damage.","Modifie les [Attack|Attaques], leur permettant de bénéficier de Dégâts de [Fire|Feu] [Gain|Rajoutés]. En contrepartie, elles perdent une partie de leurs Dégâts de [Cold|Froid] et de [Lightning|Foudre].","Unterstützt [Attack|Angriffe], wodurch sie [Fire|Feuer]schaden [Gain|erhalten], aber weniger [Cold|Kälte]- und [Lightning|Blitz]schaden verursachen.","[Attack|アタック]をサポートし、[Fire|火]ダメージを上げる[Gain|獲得]するようにするが、[Cold|冷気]ダメージと[Lightning|雷]ダメージを低下させる。","[Attack|공격]에 적용됩니다. 공격이 [Fire|화염] 피해를 [Gain|획득]하지만 [Cold|냉기] 피해와 [Lightning|번개] 피해는 줄어듭니다.","Suporta [Attack|Ataques], fazendo com que ganhem Dano de [Fire|Fogo], mas causem menos Dano de [Cold|Gelo] e [Lightning|Raio].","Усиливает [Attack|атаки]. Усиленные умения [Gain|приобретают] урон от [Fire|огня], но наносят меньше урона от [Cold|холода] и [Lightning|молнии].","Asiste [Attack|ataques] para que [Gain|ganen] daño de [Fire|fuego], pero infligirán menos daño de [Cold|hielo] y [Lightning|rayo].","ใช้เสริมการ[Attack|โจมตี] เพื่อให้สกิลนี้มีการ[Gain|เสริม]ความเสียหาย [Fire|ไฟ]\r\nแต่สร้างความเสียหาย [Cold|น้ำแข็ง]และ[Lightning|สายฟ้า] ลดลง อีก","輔助[Attack|攻擊]，使其[Gain|獲得][Fire|火焰]傷害，但造成更少[Cold|冰冷]和[Lightning|閃電]傷害。","","[16,13,0]","",3,[],[],"","",[],-1
7,"FasterAttackSupport","",402,"Supports [Attack|Attacks], causing them to [Attack] faster.","Modifie les [Attack|Attaques], leur permettant d'[Attack|Attaquer] plus rapidement.","Unterstützt [Attack|Angriffe], wodurch sie schneller [Attack|angreifen].","[Attack|アタック]をサポートし、[Attack|アタック]スピードをより速くする。","[Attack|공격]에 적용됩니다. [Attack|공격] 속도가 빨라집니다.","Suporta [Attack|Ataques], fazendo com que eles [Attack|Ataquem] mais rápido.","Усиливает [Attack|атаки]. Усиленные умения [Attack|атакуют] быстрее.","Asiste [Attack|ataques] y les otorga mayor velocidad de [Attack|ataque].","ใช้เสริมการ[Attack|โจมตี] เพื่อให้สกิลนี้[Attack|โจมตี]ได้เร็วขึ้น","輔助[Attack|攻擊]，使[Attack|攻擊]加快。","","[16,13]","",3,[],[],"","",[],-1
8,"MultipleProjectilesSupport","",403,"Supports [Projectile|Projectile] skills, making them fire extra [Projectile|Projectiles]. Also lowers [Attack] and Cast speed of supported skills, as well as lessening their damage.","Modifie les aptitudes à [Projectile|Projectiles], leur permettant de tirer des [Projectile|Projectiles] supplémentaires. En contrepartie, les Vitesses d'[Attack|Attaque] et d'incantation des aptitudes modifiées sont diminuées et elles subissent également une perte de dégâts.","Unterstützt [Projectile|Projektil]fertigkeiten und lässt sie zusätzliche [Projectile|Projektile] feuern. Verringert außerdem die [Attack|Angriffs]- und Zaubergeschwindigkeit von unterstützten Fertigkeiten und verringert ihren Schaden.","[Projectile|投射物]スキルをサポートし、追加の[Projectile|投射物]を放つようにする。またサポートされたスキルの[Attack|アタック]スピードおよびキャストスピードを下げると共にそのダメージも下げる。 ","[Projectile|투사체] 스킬에 적용됩니다. 보조 대상 스킬이 추가 [Projectile|투사체]를 발사합니다. 또한 스킬의 [Attack|공격] 속도와 시전 속도가 느려지고, 피해도 줄어듭니다.","Suporta habilidades de [Projectile|Projéteis], fazendo com que disparem [Projectile|Projéteis] extras. Também reduz a velocidade de [Attack|Ataque] e conjuração das habilidades suportadas, além de diminuir o dano delas.","Усиливает умения [Projectile|снарядов]. Усиленные умения выпускают дополнительные [Projectile|снаряды]. Также снижает скорость атаки и сотворения чар усиленных умений, и уменьшает их урон.","Asiste habilidades de [Projectile|proyectiles] para que disparen [Projectile|proyectiles] adicionales, pero disminuye las velocidades de [Attack|ataque] y lanzamiento de hechizos de las habilidades asistidas y su daño.","ใช้เสริมสกิล[Projectile|โพรเจกไทล์] เพื่อให้สกิลนี้ยิง[Projectile|โพรเจกไทล์]เพิ่มเติม\r\nแต่มีความเร็วในการ[Attack|โจมตี]และร่ายลดลง อีก และมีความเสียหายลดลง อีก","輔助[Projectile|投射物]技能，使其發射額外的[Projectile|投射物]，同時降低被輔助技能的[Attack|攻擊]和施法速度，並減少其傷害。","","[16,5]","",3,[],[],"","",[],-1
9,"FasterProjectilesSupport","",404,"Supports [Projectile|Projectile] skills, making those [Projectile|Projectiles] travel faster.","Modifie les aptitudes à [Projectile|Projectiles], permettant à ces [Projectile|Projectiles] de se déplacer plus rapidement.","Unterstützt [Projectile|Projektil]fertigkeiten, wodurch sich diese [Projectile|Projektile] schneller bewegen.","[Projectile|投射物]スキルをサポートし、そのスキルによる[Projectile|投射物]の飛行速度を上げる。","[Projectile|투사체] 스킬에 적용됩니다. [Projectile|투사체]의 이동 속도가 빨라집니다.","Suporta habilidades de [Projectile|Projétil], fazendo com que esses [Projectile|Projéteis] viajem mais rápido.","Усиливает умения [Projectile|снарядов]. [Projectile|Снаряды] усиленных умений летят быстрее.","Asiste habilidades de [Projectile|proyectiles] para que sus [Projectile|proyectiles] viajen más rápido.","ใช้เสริมสกิล[Projectile|โพรเจกไทล์] เพื่อให้[Projectile|โพรเจกไทล์]ของสกิลนี้เดินทางเร็วขึ้น","輔助[Projectile|投射物]技能，使[Projectile|投射物]的行進更為快速。","","[16,5]","",3,[],[],"","",[],-1
