"rownum","BaseItemType","Regular_WorldArea","MonsterPacks","AchievementItem","string_64","Tier","MapSeries","bool_80","bool_81","bool_82"
0,620,"",[],"","",1,0,"","",""
1,621,"",[],"","",2,0,"","",""
2,622,"",[],"","",3,0,"","",""
3,623,"",[],"","",4,0,"","",""
4,624,"",[],"","",5,0,"","",""
5,625,"",[],"","",6,0,"","",""
6,626,"",[],"","",7,0,"","",""
7,627,"",[],"","",8,0,"","",""
8,628,"",[],"","",9,0,"","",""
9,629,"",[],"","",10,0,"","",""
10,630,"",[],"","",11,0,"","",""
11,631,"",[],"","",12,0,"","",""
12,632,"",[],"","",13,0,"","",""
13,633,"",[],"","",14,0,"","",""
14,634,"",[],"","",15,0,"","",""
15,635,"",[],"","",16,0,1,"",""
