"rownum","IntId","StringId","[i32]_12","[f32]_28","[rid]_44","i32_60","i32_64","bool_68"
0,0,"Default","[25,30,35,40]","[0,0.2,0.2,0.2]","[2001,2002,2003,2004]",3,0,""
1,1,"Powerball1","[20,26,32]","[0,0.5,0.5]","[2848,2849,2850]",4,0,""
2,2,"Powerball2","[20,26,32,38]","[0,0.33,0.33,0.33]","[2848,2849,2850,2851]",4,0,""
3,3,"Powerball3","[20,26,32,38,44]","[0,0.25,0.25,0.25,0.25]","[2848,2849,2850,2851,2852]",4,0,""
4,4,"Powerball4","[20,26,32,38,44,50]","[0,0.2,0.2,0.2,0.2,0.2]","[2848,2849,2850,2851,2852,2853]",4,0,""
5,5,"Powerball5","[20,26,32,38,44,50,56]","[0,0.17,0.17,0.17,0.17,0.16,0.16]","[2848,2849,2850,2851,2852,2853,2854]",4,0,""
6,6,"Powerball6","[20,26,32,38,44,50,56,62]","[0,0.14,0.14,0.14,0.14,0.14,0.15,0.15]","[2848,2849,2850,2851,2852,2853,2854,2855]",4,0,""
7,7,"Powerball7","[20,26,32,38,44,50,56,62,68]","[0,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.13]","[2848,2849,2850,2851,2852,2853,2854,2855,2856]",4,0,""
8,8,"Powerball8","[20,26,32,38,44,50,56,62,68,74]","[0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11]","[2848,2849,2850,2851,2852,2853,2854,2855,2856,2857]",4,0,""
9,9,"ViperNaputzi","[40,33,26,19,0]","[0,0.6,0.6,3]","[3114,3115,3116,3117]",4,0,1
10,10,"MetamorphShockNova","[10,15,20,25,30,35,40]","[0,0.2,0.2,0.2,0.2,0.2]","[3158,3158,3158,3158,3158,3158]",2,0,1
11,11,"AfflictionExplosion1","[9,18,28]","[0,0.25,0.25]","[3726,3727,3728]",4,0,""
12,12,"AfflictionExplosion2","[9,18,28,37]","[0,0.25,0.25,0.25]","[3726,3727,3728,3729]",4,0,""
13,13,"AfflictionExplosion3","[9,18,28,37,46]","[0,0.25,0.25,0.25,0.25]","[3726,3727,3728,3729,3730]",4,0,""
14,14,"AfflictionExplosion4","[9,18,28,37,46,55]","[0,0.25,0.25,0.25,0.25,0.25]","[3726,3727,3728,3729,3730,3731]",4,0,""
15,15,"AfflictionExplosion5","[9,18,28,37,46,55,64]","[0,0.25,0.25,0.25,0.25,0.25,0.25]","[3726,3727,3728,3729,3730,3731,3732]",4,0,""
16,16,"AfflictionExplosion6","[9,18,28,37,46,55,64,74]","[0,0.25,0.25,0.25,0.25,0.25,0.25,0.25]","[3726,3727,3728,3729,3730,3731,3732,3733]",4,0,""
17,17,"AfflictionExplosion7","[9,18,28,37,46,55,64,74,83]","[0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25]","[3726,3727,3728,3729,3730,3731,3732,3733,3734]",4,0,""
18,18,"AfflictionExplosion8","[9,18,28,37,46,55,64,74,83,92]","[0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25]","[3726,3727,3728,3729,3730,3731,3732,3733,3734,3735]",4,0,""
19,19,"SudokuTotemShocknova","[12,24,36,48,60,72,84,96,108,120,132]","[0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2]","[7629,7629,7629,7630,7630,7630,7631,7631,7631,7631]",2,0,1
