"rownum","Level","bool_4","i32_5","i32_9","i32_13","i32_17","i32_21","i32_25","i32_29","i32_33","i32_37","i32_41","i32_45","i32_49","i32_53"
0,65,"",11,10,5,7,7,78,0,0,0,0,0,100,20
1,66,"",11,10,5,7,7,78,0,0,0,0,0,100,20
2,67,"",11,10,5,7,7,78,0,0,0,0,0,100,20
3,68,"",11,10,5,7,7,78,0,0,0,0,0,100,20
4,69,"",11,10,5,7,7,78,0,0,0,0,0,100,20
5,70,"",11,10,5,7,7,78,0,0,0,0,0,100,20
6,71,"",11,10,5,7,7,78,0,0,0,0,0,100,20
7,72,"",11,10,5,7,7,78,0,0,0,0,0,100,20
8,73,"",11,10,5,7,7,78,0,0,0,0,0,100,20
9,74,"",11,10,5,7,7,78,0,0,0,0,0,100,20
10,75,"",11,10,5,7,7,78,0,0,0,0,0,100,20
11,76,"",11,10,5,7,7,78,0,0,0,0,0,100,20
12,77,"",11,10,5,7,7,78,0,0,0,0,0,100,20
13,78,"",11,10,5,7,7,78,0,0,0,0,0,100,20
14,79,"",11,10,5,7,7,78,0,0,0,0,0,100,20
15,80,"",11,10,5,7,7,78,0,0,0,0,0,100,20
16,81,"",11,10,5,7,7,78,0,0,0,0,0,100,20
17,82,"",11,10,5,7,7,78,0,0,0,0,0,100,20
18,83,"",11,10,5,7,7,78,0,0,0,0,0,100,20
19,65,1,35,11,18,25,25,135,0,1,2,0,4,100,30
20,66,1,35,11,18,25,25,135,0,1,2,0,8,100,30
21,67,1,35,11,18,25,25,135,0,1,2,0,12,100,30
22,68,1,35,11,18,25,25,135,0,1,2,0,16,100,30
23,69,1,35,11,18,25,25,135,0,1,2,0,20,100,30
24,70,1,35,11,18,25,25,135,0,1,2,0,24,100,30
25,71,1,35,11,18,25,25,135,0,1,2,0,28,100,30
26,72,1,35,11,18,25,25,135,0,1,2,0,32,100,30
27,73,1,36,11,19,25,25,135,0,1,2,0,36,100,30
28,74,1,36,12,19,25,25,135,0,1,2,0,40,100,40
29,75,1,36,12,19,25,25,135,0,1,2,0,44,100,40
30,76,1,36,12,19,25,25,135,0,1,2,0,48,100,40
31,77,1,36,12,19,25,25,135,0,1,2,0,52,100,40
32,78,1,37,12,20,25,25,135,0,1,2,0,56,100,40
33,79,1,37,12,20,25,25,135,4000,1,2,0,60,100,40
34,80,1,37,12,20,25,25,135,4000,1,2,0,64,100,40
35,81,1,37,12,20,25,25,135,4000,1,2,0,68,100,40
36,82,1,37,12,20,25,25,135,4000,1,2,0,72,100,40
37,83,1,37,12,20,25,25,135,4000,1,2,0,76,100,40
