"rownum","BaseType","Type","Charges","Duration","EnemyLimit","Visual","Empowerment","UseAchievement","CreatedViaPowerCore"
0,1720,0,8,30,15,1813,5,8497,""
1,1721,0,10,30,25,1803,10,8498,""
2,1722,0,8,40,30,1801,16,8499,""
3,1723,0,8,40,50,1809,22,8500,""
4,1724,0,10,50,75,1802,28,8501,""
5,1725,0,8,50,85,1814,34,8502,""
6,1726,0,12,100,100,1804,40,8503,1
7,1727,0,18,60,100,1807,45,8504,1
8,1728,0,12,60,150,1808,50,8505,1
9,1729,1,8,10,30,1803,18,8506,""
10,1730,1,10,10,30,1801,20,8507,""
11,1731,1,8,10,50,1809,22,8508,""
12,1732,1,10,10,80,1802,24,8509,""
13,1733,1,8,10,100,1814,26,8510,""
14,1734,1,12,10,200,1804,20,8511,1
15,1735,1,18,10,120,1807,30,8512,1
16,1736,1,12,10,70,1808,35,8513,1
17,1737,2,12,20,2,1803,30,8514,""
18,1738,2,8,30,2,1817,35,8515,""
19,1739,2,8,50,3,1809,40,8516,""
20,1740,2,10,30,3,1802,45,8517,""
21,1741,2,8,40,4,1814,42,8518,""
22,1742,2,12,50,4,1804,45,8519,1
23,1743,2,18,30,4,1807,50,8520,1
24,1744,2,12,30,4,1808,55,8521,1
25,1745,2,5,20,1,1805,100,8522,""
