"rownum","Id","Image","BackgroundImage","[rid]_24","[f32]_40","rid_56","rid_72","i32_88","i32_92"
0,"Generic","Art/2DArt/UIImages/InGame/MissionTimer","Art/2DArt/UIImages/InGame/Console/TimerBackground",[],[],"","",80,80
1,"Incursion","Art/2DArt/UIImages/InGame/MissionTimerIncursion","Art/2DArt/UIImages/InGame/Console/TimerIncursionBackground",[],[],"","",80,80
2,"Zana","Art/2DArt/UIImages/InGame/MissionTimerZana","Art/2DArt/UIImages/InGame/Console/TimerZanaBackground",[],[],"","",80,80
3,"Legion","Art/2DArt/UIImages/InGame/MissionTimerLegion","Art/2DArt/UIImages/InGame/Console/TimerLegionBackground",[],[],"","",80,80
4,"Breach","Art/2DArt/UIImages/InGame/MissionTimerBreach","Art/2DArt/UIImages/InGame/Console/TimerBreachBackground",[],[],"","",80,80
5,"Abyss","Art/2DArt/UIImages/InGame/MissionTimerAbyss","Art/2DArt/UIImages/InGame/Console/TimerAbyssBackground",[],[],"","",80,80
6,"Affliction","Art/2DArt/UIImages/InGame/MissionTimer","Art/2DArt/UIImages/InGame/Console/TimerBackground",[],[],"","",80,80
7,"Heist","Art/2DArt/UIImages/InGame/MissionTimer","Art/2DArt/UIImages/InGame/Console/TimerBackground",[],[],"","",80,80
8,"Ultimatum","Art/2DArt/UIImages/InGame/MissionTimerUltimatum","Art/2DArt/UIImages/InGame/Console/TimerUltimatumBackground","[261,262,263]","[3,2,1]",260,"",80,80
9,"Royale","Art/2DArt/UIImages/InGame/MissionTimer","Art/2DArt/UIImages/InGame/Console/TimerBackground","[264,265,266,267,268]","[5,4,3,2,1]","",270,80,80
10,"Hellscape","Art/2DArt/UIImages/InGame/Hellscape/HellscapeTimer","Art/2DArt/UIImages/InGame/Console/TimerHellscapeBackground",[],[],"","",80,80
11,"Kirac","Art/2DArt/UIImages/InGame/MissionTimerKirac","Art/2DArt/UIImages/InGame/Console/TimerKiracBackground",[],[],"","",80,80
12,"HideoutPvp","Art/2DArt/UIImages/InGame/MissionTimer","Art/2DArt/UIImages/InGame/Console/TimerBackground","[266,267,268,269]","[3,2,1,0]","",270,80,80
13,"Clock","","",[],[],"","",80,80
14,"POE2_Ultimatum","Art/2DArt/UIImages/InGame/Ultimatum/UltimatumTimer","Art/2DArt/UIImages/InGame/Console/TimerUltimatumBackground",[],[],"","",60,80
15,"POE2_Sanctum","Art/2DArt/UIImages/InGame/Sanctum/SanctumTimer","Art/2DArt/UIImages/InGame/Console/TimerBackground",[],[],"","",62,80
16,"ActionFreeze","Art/2DArt/UIImages/InGame/MissionTimer","Art/2DArt/UIImages/InGame/Console/TimerBackground",[],[],"","",80,80
