"rownum","Id","DGRFile","i32_16","i32_20","i32_24","[i32]_28","[i32]_44"
0,"TerrainInstanceTest1","Metadata/Terrain/TestAreas/TerrainInstanceTest/Graphs/greybox_1.dgr",100,50,50,[],[0]
1,"TerrainInstanceTest2","Metadata/Terrain/TestAreas/TerrainInstanceTest/Graphs/greybox_2.dgr",100,50,50,[],[0]
2,"HideoutSpace","Metadata/Terrain/Missions/Hideouts/Space/Graphs/hideout.dgr",100,50,0,[],[0]
3,"HideoutArenaGraveyardTrio","Metadata/Terrain/Missions/Hideouts/ArenaGraveyardTrio/Graphs/hideout.dgr",100,50,0,[],[0]
4,"HideoutTencentApocalypse","Metadata/Terrain/Missions/Hideouts/TencentApocalypse/Graphs/mine_hideout.dgr",100,50,0,[],[0]
5,"HideoutCave","Metadata/Terrain/Missions/Hideouts/Cave/Graphs/hideout_cave.dgr",100,50,0,[],[0]
6,"HideoutDoomguard","Metadata/Terrain/Missions/Hideouts/Doomguard/Graphs/hideout_doomguard.dgr",100,50,0,[],[0]
7,"HideoutSunspire","Metadata/Terrain/Missions/Hideouts/Sunspire/Graphs/hideout_sunspire.dgr",100,50,0,[],[0]
8,"HideoutDarkwood","Metadata/Terrain/Missions/Hideouts/Darkwood/Graphs/hideout_darkwood.dgr",100,50,0,[],[0]
9,"HideoutCaveShipwreck","Metadata/Terrain/Missions/Hideouts/CaveShipwreck/Graphs/hideout.dgr",100,50,0,[],[0]
10,"HideoutPillarsOfArun","Metadata/Terrain/Missions/Hideouts/PillarsOfArun/Graphs/hideout.dgr",100,50,0,[],[0]
11,"HideoutAtziriArena","Metadata/Terrain/Missions/Hideouts/ArenaAtziri/Graphs/hideout.dgr",100,50,0,[],[0]
12,"HideoutInnocenceArena","Metadata/Terrain/Missions/Hideouts/ArenaInnocence/Graphs/hideout.dgr",100,50,0,[],[0]
13,"HideoutShaperArena","Metadata/Terrain/Missions/Hideouts/ArenaShaper/Graphs/hideout.dgr",100,50,0,[],[0]
14,"HideoutKaomArena","Metadata/Terrain/Missions/Hideouts/ArenaKaom/Graphs/hideout.dgr",100,50,0,[],[0]
15,"HideoutDaressoArena","Metadata/Terrain/Missions/Hideouts/ArenaDaresso/Graphs/hideout.dgr",100,50,0,[],[0]
16,"HideoutDominusArena","Metadata/Terrain/Missions/Hideouts/ArenaDominus/Graphs/hideout.dgr",100,50,0,[],[0]
17,"HideoutPietyArena","Metadata/Terrain/Missions/Hideouts/ArenaPiety/Graphs/hideout.dgr",100,50,0,[],[0]
18,"HideoutLunarisSolarisArena","Metadata/Terrain/Missions/Hideouts/ArenaSolarisLunaris/Graphs/hideout.dgr",100,50,0,[],[0]
19,"HideoutKitavaArenaAct10","Metadata/Terrain/Missions/Hideouts/ArenaKitavaAct10/Graphs/hideout.dgr",100,50,0,[],[0]
20,"HideoutElderArena","Metadata/Terrain/Missions/Hideouts/ArenaElder/Graphs/hideout.dgr",100,50,0,[],[0]
21,"HideoutChiyou","Metadata/Terrain/Missions/Hideouts/Sunspire/Graphs/hideout_sunspire.dgr",100,50,0,[],[0]
22,"HideoutBlankAbyss","Metadata/Terrain/Missions/Hideouts/BlankAbyss/Graphs/hideout.dgr",100,50,0,[],[0]
23,"HideoutBlankCity","Metadata/Terrain/Missions/Hideouts/BlankCity/Graphs/hideout.dgr",100,50,0,[],[0]
24,"HideoutBlankClouds","Metadata/Terrain/Missions/Hideouts/BlankClouds/Graphs/hideout.dgr",100,50,0,[],[0]
25,"HideoutBlankDesert","Metadata/Terrain/Missions/Hideouts/BlankDesert/Graphs/hideout.dgr",100,50,0,[],[0]
26,"HideoutBlankDirt","Metadata/Terrain/Missions/Hideouts/BlankDirt/Graphs/hideout.dgr",100,50,0,[],[0]
27,"HideoutBlankGrass","Metadata/Terrain/Missions/Hideouts/BlankGrass/Graphs/hideout.dgr",100,50,0,[],[0]
28,"HideoutBlankSea","Metadata/Terrain/Missions/Hideouts/BlankSea/Graphs/hideout.dgr",100,50,0,[],[0]
29,"HideoutBlankSnow","Metadata/Terrain/Missions/Hideouts/BlankSnow/Graphs/hideout.dgr",100,50,0,[],[0]
30,"HideoutThaumaturgy","Metadata/Terrain/Missions/Hideouts/Thaumaturgy/Graphs/hideout.dgr",100,50,0,[],[0]
31,"HideoutYaochi","Metadata/Terrain/Missions/Hideouts/Darkwood/Graphs/hideout_darkwood.dgr",100,50,0,[],[0]
32,"HideoutHumanoidPet","Metadata/Terrain/Missions/Hideouts/Sunspire/Graphs/hideout_sunspire.dgr",100,50,0,[],[0]
33,"HideoutRitualLeague","Metadata/Terrain/Missions/Hideouts/RitualLeague/Graphs/hideout.dgr",100,50,0,[],[0]
34,"HideoutArenaMaven","Metadata/Terrain/Missions/Hideouts/ArenaMaven/Graphs/hideout.dgr",100,50,0,[],[0]
35,"HideoutHasina","Metadata/Terrain/Missions/Hideouts/Hasina/hideout.dgr",100,50,0,[],[0]
36,"HideoutAzuriteCave","Metadata/Terrain/Missions/Hideouts/AzuriteCave/Graphs/hideout.dgr",100,50,0,[],[0]
37,"HideoutSynthesisHub","Metadata/Terrain/Missions/Hideouts/SynthesisHub/Graphs/hideout.dgr",100,50,0,[],[0]
38,"HideoutVeritaniaArena","Metadata/Terrain/Missions/Hideouts/ArenaVeritania/Graphs/hideout.dgr",100,50,0,[],[0]
39,"HideoutBlankBlack","Metadata/Terrain/Missions/Hideouts/BlankBlack/Graphs/hideout.dgr",100,50,100,[],[0]
40,"HideoutOlrothArena","Metadata/Terrain/Missions/Hideouts/ArenaOlroth/hideout.dgr",100,50,0,[],[0]
41,"HideoutLight","Metadata/Terrain/Missions/Hideouts/Light/Graphs/hideout.dgr",100,50,0,[],[0]
42,"HideoutDark","Metadata/Terrain/Missions/Hideouts/Dark/Graphs/hideout.dgr",100,50,0,[],[0]
43,"HideoutArenaBlackStar","Metadata/Terrain/Missions/Hideouts/ArenaBlackStar/Graphs/hideout.dgr",100,50,100,[],[0]
44,"HideoutArenaInfiniteHunger","Metadata/Terrain/Missions/Hideouts/ArenaInfiniteHunger/Graphs/hideout.dgr",100,50,100,[],[0]
45,"HideoutCosmicAtlas","Metadata/Terrain/Missions/Hideouts/AtlasHideout/Graphs/hideout.dgr",100,50,100,[],[0]
46,"HideoutArenaEaterOfWorlds","Metadata/Terrain/Missions/Hideouts/ArenaEaterOfWorlds/Graphs/EaterHideout.dgr",100,50,100,[],[0]
47,"HideoutArenaSearingExarch","Metadata/Terrain/Missions/Hideouts/ArenaSearingExarch/Graphs/HideoutSearing.dgr",100,50,100,[],[0]
48,"HideoutBeaconOfSalvation","Metadata/Terrain/Hideouts/BeaconOfSalvation/Graphs/HideoutBeaconOfSalvation.dgr",100,50,100,[],[0]
49,"HideoutCanopy","Metadata/Terrain/Hideouts/Canopy/Graphs/CanopyHideout.dgr",100,50,100,[],[0]
50,"HideoutDreadnought","Metadata/Terrain/Hideouts/Dreadnought/Graphs/HideoutDreadnought.dgr",100,50,100,[],[0]
51,"HideoutFelled","Metadata/Terrain/Hideouts/FelledGrove/Graphs/HideoutFelledGrove.dgr",100,50,100,[],[0]
52,"HideoutShrine","Metadata/Terrain/Hideouts/Shrine/Graphs/HideoutShrine.dgr",100,50,100,[],[0]
53,"HideoutLimestone","Metadata/Terrain/Hideouts/Limestone/Graphs/HideoutLimestone.dgr",100,50,100,[],[0]
54,"HideoutCanal","Metadata/Terrain/Hideouts/Canal/Graphs/Hideout_Canal.dgr",100,50,100,[],[0]
55,"HideoutMonolith","Metadata/Terrain/Hideouts/Monolith/Graphs/Monolith_Hideout.dgr",100,50,100,[],[0]
56,"HideoutTwisted","Metadata/Terrain/Hideouts/Twisted/Graphs/Twisted_Hideout.dgr",100,50,100,[],[0]
57,"HideoutTranscendent","Metadata/Terrain/Hideouts/Transcendent/Graphs/Transcendent_Hideout.dgr",100,50,100,[],[0]
58,"HideoutHourglass","Metadata/Terrain/Hideouts/Hourglass/Graphs/hourglass_hideout.dgr",100,50,100,[],[0]
59,"HideoutChaos","Metadata/Terrain/Hideouts/Chaos/Graphs/Chaos_Hideout.dgr",100,50,100,[],[0]
60,"HideoutSummit","Metadata/Terrain/Hideouts/Summit/Graphs/HideoutSummit.dgr",100,50,100,[],[0]
61,"HideoutRacetrack","Metadata/Terrain/Missions/Hideouts/Racetrack/Graphs/hideout_baths.dgr",100,50,100,[],[0]
62,"TestTown_1","Metadata/Terrain/TestAreas/TownTest/Graph/testtown1.dgr",100,50,100,[],[0]
63,"RoomTest","",100,50,100,[],[0]
64,"AnimationTest","Metadata/Terrain/TestAreas/Animation/Graphs/anim_test.dgr",100,50,100,[],[0]
65,"MaterialsTest","Metadata/Terrain/TestAreas/MaterialsTest/Graphs/mat_test.dgr",100,50,100,[],[0]
66,"AllBlackTest","Metadata/Terrain/TestAreas/AllBlack/Graphs/black_test.dgr",100,50,100,[],[0]
67,"PhysicsTest","Metadata/Terrain/TestAreas/Physics/Graphs/physics_test.dgr",100,50,100,[],[0]
68,"AssetShow","Metadata/Terrain/TestAreas/AssetShowcase/Graphs/asset_showcase.dgr",100,50,100,[],[0]
69,"Designer1","Metadata/Terrain/TestAreas/DesignerTestArea/Graphs/designergraph1.tgr",100,50,0,[],[0]
70,"DesignerLite","Metadata/Terrain/TestAreas/DesignLite/Graphs/designlite.dgr",100,50,100,[],[0]
71,"NewLoginTest","Metadata/Terrain/TestAreas/NewLoginTest/Graphs/CharacterSelection.dgr",100,50,100,[],[0]
72,"CinematicKitava1","Metadata/Terrain/TestAreas/KitavaFilming/Graphs/KitavaFilming.dgr",100,50,100,[],[0]
73,"Programmer1","Metadata/Terrain/TestAreas/Programming/Graphs/programming.dgr",100,50,100,[],[0]
