"rownum","string_0","[rid]_8","[rid]_24"
0,"AllGround","[4,2,3,4]",[]
1,"Water",[0],[]
2,"Mountain",[1],[]
3,"Grass",[2],[]
4,"Forest",[3],[]
5,"Swamp",[4],[]
6,"Desert",[5],[]
7,"EzomyteCity",[6],[]
8,"FaridunCity",[7],[]
9,"VaalCity",[8],[]
10,"GrassForest","[2,3]",[]
11,"GrassDesert","[2,5]",[]
12,"ForestSwamp","[3,4]",[]
13,"ForestSwampNextToWater","[3,4]",[0]
14,"SwampNextToWater",[4],[0]
15,"EzomyteCityMountain","[6,1]",[]
16,"FaridunCityDesert","[7,5]",[]
17,"FaridunCityNextToWater",[7],[0]
18,"VaalCitySwamp","[8,4]",[]
19,"VaalCityMountain","[8,1]",[]
20,"VaalCityGrass","[8,2]",[]
21,"MountainDesert","[1,5]",[]
22,"MountainNextToForest",[1],[3]
23,"MountainGrassDesert","[1,2,5]",[]
24,"MountainGrassForest","[1,2,3]",[]
25,"MountainSwampDesert","[1,4,5]",[]
26,"GrassForestSwamp","[2,3,4]",[]
27,"GrassForestDesert","[2,3,5]",[]
28,"MountainGrassForestSwamp","[1,2,3,4]",[]
29,"WaterNextToMountain",[0],[1]
30,"WaterNextToDesert",[0],[5]
31,"WaterNextToGrassForest",[0],"[2,3]"
32,"WaterNextToGrassDesert",[0],"[2,5]"
33,"WaterNextToGrassForestDesertMountain",[0],"[2,3,5,1]"
34,"EzomyteCityGrass","[6,2]",[]
35,"FaridunCityMountain","[7,1]",[]
36,"EzomyteCityForest","[6,3]",[]
37,"FaridunCityDesertMountain","[7,5,1]",[]
38,"SwampDesert","[4,5]",[]
39,"MountainForest","[1,3]",[]
40,"MountainForestNextToMountain","[1,3]",[1]
41,"MountainSwamp","[1,4]",[]
42,"VaalCityMountainGrass","[8,1,2]",[]
43,"VaalCityMountainDesert","[8,1,5]",[]
