"rownum","Id","BuffDefinition","Buff_StatValues","AuraRadius","[i32]_44","[i32]_60","BuffVisual","f32_92","bool_96","Stats","i32_113","i32_117","bool_121","rid_122","bool_138"
0,"UltimatumRecoveryDebuff1",1680,"[-40,-40,-40]",0,[],[],"",0,1,[],1,0,"","",""
1,"UltimatumAreaAndProjectileSpeedDebuff",1685,"[-50,-50]",0,[],[],"",0,1,[],1,0,"","",""
2,"UltimatumBuffsExpireFaster",1686,"[200,-66]",0,[],[],"",0,1,[],1,0,"","",""
3,"UltimatumCooldownSpeedDebuff",1687,[-80],0,[],[],"",0,1,[],1,0,"","",""
4,"UltimatumVulnerabilityDebuff",1676,[100],0,[],"[-100,1,-50]","",0,1,[],1,0,"","",""
5,"UltimatumMonsterSpeedBuff",1691,[25],0,[],"[-100,5,0]","",0,1,[],1,0,"","",""
6,"UltimatumResistancesDebuff1",1681,"[-15,-10]",0,[],[],"",0,1,[],1,0,"","",""
7,"UltimatumResistancesDebuff2",1681,"[-30,-20]",0,[],[],"",0,1,[],1,0,"","",""
8,"UltimatumDefencesDebuff1",1682,[-40],0,[],[],"",0,1,[],1,0,"","",""
9,"UltimatumDefencesDebuff2",1682,[-80],0,[],[],"",0,1,[],1,0,"","",""
10,"UltimatumBossEnrage",1684,"[25,25]",0,[],[],"",0,1,[],1,0,"","",""
11,"UltimatumBloodFog",2560,[],0,[],[],"",0,1,[],1,0,"","",""
12,"Unhinged",1599,[],0,[],[],"",0,1,[],1,0,"","",""
13,"PainSuppression",1696,"[0,0,0]",0,[],[],"",0,1,"[13238,13172,13327]",1,0,"","",""
14,"PlayerDebuffExtraCriticalRolls",1710,[-1],0,[],[],"",0,1,[],1,0,"","",""
15,"PlayerDebuffHinderedMsOnFlaskUse",1711,[4000],0,[],[],"",0,1,[],1,0,"","",""
16,"PlayerDebuffCancelFlaskEffectOnFlaskUse",1712,[1],0,[],[],"",0,1,[],1,0,"","",""
17,"PlayerDebuffCursesandNonDamagingAilmentsReflectedToSelf",1713,"[1,1]",0,[],[],"",0,1,[],1,0,"","",""
18,"PlayerDebuffRandomProjectileDirection",1714,[1],0,[],[],"",0,1,[],1,0,"","",""
19,"UltimatumFrostInfection",359,[],1,[9],[],1562,0,1,[],1,0,"","",""
20,"PlayerDebuffAurasAlsoAffectEnemies",1716,[1],0,[],[],"",0,1,[],1,0,"","",""
21,"ScionMovementSpeed",496,[8],60,"[1,2,10]",[],"",0,1,[],1,0,"","",""
22,"OccultistWitherNearbyEnemies",1156,[15000],0,[],[],"",0,1,[],1,0,"","",""
23,"ScionAuguryOfPenitence",550,[10],60,[3],[],"",0,1,[],1,0,"","",""
24,"OccultistPowerChargeOnManaSpent",858,[],0,[],[],"",0,1,[],1,0,"","",""
25,"OccultistNearbyEnemiesColdChaosResistLifeRegen",596,"[-20,-100,-20]",60,[3],[],"",0,1,[],1,0,"","",""
26,"OccultistNearbyEnemiesColdChaosResistLifeRegenHardMode",596,"[-8,-100,-8]",60,[3],[],"",0,1,[],1,0,"","",""
27,"ChampionMovementSpeed",495,[12],60,"[1,2,10]",[],"",0,1,[],1,0,"","",""
