"rownum","Id","BuffDefinitionsKeys","bool_24","BuffStacks","CharactersKey","StatsKeys","bool_61","StatValue","[rid]_66","bool_82"
0,"HasFority",[1830],"",1,"",[],"",1,[],""
1,"IsBurning",[],"",1,"",[3461],"",1,[],""
2,"IsCoveredInSpiders",[703],"",1,"",[],"",1,[],""
3,"HasWebbedX5",[764],"",5,"",[],"",1,[],""
4,"IsWebbed",[764],"",1,"",[],"",1,[],""
5,"HasGoddessBeam",[647],"",1,"",[],"",1,[],""
6,"IsFirebombed",[662],"",1,"",[],"",1,[],""
7,"HasGraspingVinesX10",[899],"",10,"",[],"",1,[],""
8,"HasCorruptedBloodX5",[],"",1,"",[1812],"",5,[],""
9,"HasPietysRage",[419],"",1,"",[],"",1,[],""
10,"IsJudged","[503,504]","",1,"",[],"",1,[],""
11,"HasEffluentX10","[754,755,756]","",10,"",[],"",1,[],""
12,"HasRampage",[],"",1,"",[2291],"",1,[],""
13,"HasShrineBuff",[],"",1,"",[5512],"",1,[],""
14,"IsCursed",[],"",1,"",[738],"",1,[],""
15,"IsNotCursed",[],"",1,"",[738],"",0,[],""
16,"IsVulnerable",[93],"",1,"",[],"",1,[],""
17,"InSeaWitchBeam",[289],"",1,"",[],"",1,[],""
18,"HasTempleTempestBuff","[444,445,437,439,460,455,443]","",1,"",[],"",1,[],""
19,"HasTempleExposure",[1069],"",1,"",[],"",1,[],""
20,"AffectedByHereticalFlare",[25],"",1,"",[],"",1,[],""
21,"AffectedByDarkVortex",[809],"",1,"",[],"",1,[],""
22,"AffectedByMonsterConsecratedGround",[1174],"",1,"",[],"",1,[],""
23,"Rampage300",[330],"",299,"",[],"",1,[],""
24,"IsBleeding",[],"",1,"",[2025],"",1,[],""
25,"HasQuicksandX10",[868],"",10,"",[],"",1,[],""
26,"HasMortalCall",[127],"",1,"",[],"",1,[],""
27,"HasSapphireRingEquipped",[],"",1,"",[],"",1,[],""
28,"HasTopazRingEquipped",[],"",1,"",[],"",1,[],""
29,"HasSapphireRingAndTopazRingEquipped",[],"",1,"",[],"",1,[],1
30,"IsBlinded",[],"",1,"",[974],"",1,[],""
31,"IsTaunted",[],"",1,"",[3314],"",1,[],""
32,"HasEmberstorm",[1531],"",1,"",[],"",1,[],""
33,"HasBoneRoil",[562],"",1,"",[],"",1,[],""
34,"HasDoedresTorment",[829],"",5,"",[],"",1,[],""
35,"HasDoedresWithering",[830],"",5,"",[],"",1,[],""
36,"HasDoedresSuffering",[831],"",5,"",[],"",1,[],""
37,"HasDivineShrine",[269],"",1,"",[],"",1,[],""
38,"HasCovetousShrine",[1898],"",1,"",[],"",1,[],""
39,"HasTemporalChains",[83],"",1,"",[],"",1,[],""
40,"HasConductivity",[87],"",1,"",[],"",1,[],""
41,"HasMoltenShell",[131],"",1,"",[],"",1,[],""
42,"HasTrialmasterTether",[1678],"",1,"",[],"",1,[],""
43,"AffectedByBearTrap",[179],"",1,"",[],"",1,[],""
44,"AffectedByToxicSwamp",[1642],"",1,"",[],"",1,[],""
45,"AffectedByScreechX4",[300],"",1,"",[],"",1,[],""
46,"HasRighteousFire",[16],"",1,"",[],"",1,[],""
47,"HasGlimpseOfInfinity",[1778],"",1,"",[],"",1,[],""
48,"HasIndifferenceOfTheCosmos",[1777],"",1,"",[],"",1,[],""
49,"IsPoisoned",[],"",1,"",[3550],"",1,[],""
50,"AffectedByTheBlackReaping",[1788],"",1,"",[],"",1,[],""
51,"AffectedByEnervation",[1798],"",1,"",[],"",1,[],""
52,"ActivatedEldritchAltarsWithWrathOfTheCosmosAllocatedX6",[1947],"",6,"",[],"",1,[],""
53,"IsChilled",[],"",1,"",[1797],"",1,[],""
54,"HasAnnihilatingLightX30",[1876],"",30,"",[],"",1,[],""
55,"HasCrushingDarknessX30",[1877],"",30,"",[],"",1,[],""
56,"HasCorrosiveHungerX50",[1949],"",50,"",[],"",1,[],""
57,"HasMavensPunishment","[1660,1661]","",1,"",[],"",1,[],""
58,"HasSearingRune",[1941],"",1,"",[],"",1,[],""
59,"HasDesolationoftheAwakener",[1353],"",1,"",[],"",1,[],""
60,"HasDecayandVortex","[637,927]",1,1,"",[],"",1,[],""
61,"PlayerinBreach",[],"",1,"",[7949],"",1,[],""
62,"HasShrineBuffX4",[],"",1,"",[5512],"",4,[],""
63,"IsPoe2Witch",[],"",1,1,[],"",1,[],""
64,"IsPoe2Ranger",[],"",1,2,[],"",1,[],""
65,"IsPoe2Marauder",[],"",1,0,[],"",1,[],""
66,"IsPoe2Templar",[],"",1,5,[],"",1,[],""
67,"IsPoe2Gladiator",[],"",1,3,[],"",1,[],""
68,"IsPoe2Assassin",[],"",1,4,[],"",1,[],""
