"rownum","Id","Function","Arguments","TextAudio","i32_36","i32_40","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","rid_44","i32_60","i32_64"
0,0,"reroll_affixes_highest_of_X","prefix count 1",1,0,150,158,172,138,138,170,156,182,140,112,0,0,1
1,1,"reroll_affixes_highest_of_X","suffix count 1",2,0,234,250,278,208,210,272,246,296,212,158,0,0,2
2,2,"reroll_mods_lucky","prefix suffix single ignore_max count 1",12,0,446,474,526,364,382,482,460,542,404,302,0,0,3
3,3,"reroll_mods_lucky","prefix ignore_max count 1",13,0,574,612,664,464,484,620,590,710,528,376,0,0,4
4,4,"reroll_mods_lucky","suffix ignore_max count 1",14,0,702,750,802,562,586,756,720,876,652,450,0,0,5
5,5,"add_mod_to_rare_highest_of_X","prefix 1",4,0,830,870,958,678,698,904,856,1026,790,552,0,0,10
6,6,"add_mod_to_rare_highest_of_X","suffix 1",5,0,898,930,1054,732,750,990,932,1114,868,594,0,0,11
7,7,"remove_X_lowest_level_mods","1",6,0,1076,1114,1272,842,868,1178,1080,1306,1036,688,0,0,9
8,8,"remove_affixes_of_type","prefix",15,0,1200,1232,1410,948,970,1324,1208,1460,1152,770,0,0,21
9,9,"remove_affixes_of_type","suffix",16,0,1276,1302,1500,1004,1024,1420,1288,1564,1220,804,0,0,22
10,10,"upgrade_X_mods_to_max_tier","1 only_one_tier",17,0,1454,1494,1696,1140,1172,1604,1444,1748,1394,926,0,0,8
11,11,"fill_mods_on_rare","",9,0,1560,1648,1818,1226,1258,1750,1574,1896,1520,994,0,0,12
12,12,"add_mod_to_magic_making_rare","1",18,0,1682,1800,1996,1322,1370,1888,1724,2038,1660,1088,0,0,10
13,13,"reroll_affixes_highest_of_X","prefix count 1",1,0,1682,1800,1996,1322,1370,1954,1724,2038,1660,1088,0,0,1
14,14,"reroll_affixes_highest_of_X","suffix count 1",2,0,1682,1800,1996,1322,1370,2018,1724,2038,1660,1088,0,0,2
15,15,"reroll_mods_lucky","prefix suffix single ignore_max count 1",12,0,1682,1926,1996,1364,1370,2108,1724,2038,1660,1088,0,0,3
16,16,"reroll_mods_lucky","prefix ignore_max count 1",13,0,1682,1926,1996,1364,1370,2204,1724,2038,1660,1088,0,0,4
17,17,"reroll_mods_lucky","suffix ignore_max count 1",14,0,1682,1926,1996,1364,1370,2298,1724,2038,1660,1088,0,0,5
18,18,"add_mod_to_rare_highest_of_X","prefix 1",4,0,1682,1926,1996,1364,1370,2298,1724,2038,1660,1088,0,0,10
19,19,"add_mod_to_rare_highest_of_X","suffix 1",5,0,1682,1926,1996,1364,1370,2298,1724,2038,1660,1088,0,0,11
20,20,"remove_X_lowest_level_mods","1",6,0,1682,1926,1996,1412,1370,2298,1724,2038,1660,1088,0,0,9
21,21,"remove_affixes_of_type","prefix",15,0,1682,1926,1996,1456,1370,2298,1724,2038,1660,1088,0,0,21
22,22,"remove_affixes_of_type","suffix",16,0,1682,1926,1996,1498,1370,2384,1724,2038,1660,1088,0,0,22
23,23,"upgrade_X_mods_to_max_tier","1 only_one_tier",8,0,1682,1926,1996,1550,1422,2476,1724,2038,1660,1088,0,0,8
24,24,"fill_mods_on_rare","",9,0,1682,1926,1996,1596,1460,2580,1724,2038,1660,1088,0,0,12
25,25,"add_mod_to_magic_making_rare","1",18,0,1682,1926,1996,1626,1460,2662,1724,2038,1660,1124,0,0,10
26,26,"reroll_affixes_highest_of_X","prefix count 1",1,0,1682,1926,1996,1626,1460,2662,1724,2038,1660,1124,0,0,1
27,27,"reroll_affixes_highest_of_X","suffix count 1",2,0,1682,1926,1996,1626,1460,2662,1724,2038,1660,1124,0,0,2
28,28,"reroll_mods_lucky","prefix suffix single ignore_max count 1",12,0,1682,1926,1996,1626,1460,2662,1724,2038,1660,1124,0,0,3
29,29,"reroll_mods_lucky","prefix ignore_max count 1",13,0,1682,1926,1996,1626,1460,2662,1724,2038,1660,1124,0,0,4
30,30,"reroll_mods_lucky","suffix ignore_max count 1",14,0,1682,1926,1996,1626,1460,2662,1724,2038,1660,1124,0,0,5
31,31,"add_mod_to_rare_highest_of_X","prefix 1",4,0,1682,1926,1996,1626,1460,2662,1724,2038,1660,1124,0,0,10
32,32,"add_mod_to_rare_highest_of_X","suffix 1",5,0,1682,1926,1996,1626,1460,2662,1724,2038,1660,1124,0,0,11
33,33,"remove_X_lowest_level_mods","1",6,0,1682,1926,1996,1672,1460,2662,1724,2038,1660,1124,0,0,9
34,34,"remove_affixes_of_type","prefix",15,0,1682,1926,1996,1672,1460,2662,1724,2038,1660,1124,0,0,21
35,35,"remove_affixes_of_type","suffix",16,0,1682,1926,1996,1672,1460,2662,1724,2038,1660,1124,0,0,22
36,36,"upgrade_X_mods_to_max_tier","1 only_one_tier",17,0,1682,1926,1996,1672,1460,2662,1724,2038,1660,1124,0,0,8
37,37,"fill_mods_on_rare","",9,0,1682,1926,1996,1672,1460,2662,1724,2038,1660,1124,0,0,12
38,38,"add_mod_to_magic_making_rare","1",18,0,1682,1926,1996,1672,1460,2662,1724,2038,1660,1124,0,0,10
