"rownum","RewardOffer","i32_16","bool_20","i32_21","i32_25","i32_29","i32_33","rid_37","i32_53","i32_57","i32_61","i32_65","i32_69","rid_73","i32_89","i32_93","i32_97","i32_101","i32_105","bool_109","[rid]_110","rid_126","i32_142","i32_146","i32_150","rid_154","i32_170","[rid]_174","i32_190","bool_194"
0,0,0,"",0,0,134217728,0,285212672,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,1
1,1,0,"",0,0,201326592,0,301989888,67108864,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,1
2,3,0,"",0,0,201326592,0,3036676096,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
3,4,0,"",0,0,201326592,0,3254779904,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
4,5,0,"",0,0,201326592,0,301989888,134217728,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,1
5,6,0,"",0,0,201326592,0,1023410176,184549376,0,0,0,0,0,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
6,6,1,"",0,0,201326592,0,1040187392,184549376,0,0,0,0,0,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
7,6,2,"",0,0,201326592,0,1056964608,184549376,0,0,0,0,0,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
8,78,0,"",0,0,201326592,0,50331648,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
9,78,1,"",0,0,201326592,0,67108864,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
10,78,2,"",0,0,201326592,0,83886080,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
11,78,3,"",0,0,201326592,0,100663296,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
12,7,0,"",0,0,201326592,0,268435456,251658240,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,1
13,8,0,"",0,0,201326592,0,301989888,251658240,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,1
14,12,0,"",0,0,201326592,0,268435456,268435456,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,1
15,13,0,"",0,0,201326592,0,268435456,385875968,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,1
16,17,0,"",0,0,201326592,0,3355443200,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
17,9,0,"",0,0,201326592,0,3623878656,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
18,10,0,"",0,0,201326592,0,3640655872,369098752,16777216,0,0,0,0,0,201326592,0,16777216,0,1,[],4205,12,0,0,"",0,[],0,""
19,11,0,"",0,0,201326592,0,3976200192,16777216,0,0,0,0,0,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
20,14,0,"",0,0,201326592,0,301989888,352321536,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,1
21,15,0,"",0,0,201326592,0,301989888,335544320,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,1
22,16,0,"",0,0,201326592,0,301989888,335544320,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,1
23,18,0,"",0,0,201326592,0,419430400,570425344,33554432,0,0,0,0,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
24,18,1,"",0,0,201326592,0,436207616,570425344,33554432,0,0,0,0,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
25,19,0,"",0,0,201326592,0,3741319168,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
26,19,1,"",0,0,201326592,0,3758096384,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
27,19,2,"",0,0,201326592,0,3774873600,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
28,20,0,"",0,0,201326592,0,419430400,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
29,21,0,"",0,0,201326592,0,268435456,687865856,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,1
30,22,0,"",0,0,201326592,0,419430400,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
31,23,0,"",0,0,201326592,0,905969664,637534208,16777216,0,0,0,0,0,201326592,0,16777216,0,1,[],4205,12,0,0,"",0,[],0,""
32,23,1,"",0,0,201326592,0,922746880,637534208,16777216,0,0,0,0,0,201326592,0,16777216,0,1,[],4205,12,0,0,"",0,[],0,""
33,23,2,"",0,0,201326592,0,939524096,637534208,16777216,0,0,0,0,0,201326592,0,16777216,0,1,[],4205,12,0,0,"",0,[],0,""
