"rownum","rid_0","[rid]_16","[rid]_32","[rid]_48","[rid]_64","i32_80","[rid]_84"
0,17428,[],[],[1961],[],3,[]
1,9399,[],[],[1144],[],3,[]
2,9398,[],[],[1143],[],3,[]
3,3986,[],[],[575],[],3,[]
4,4024,[],[],[577],[],3,[]
5,12593,[],[],[1458],[],3,[]
6,10183,[],[],[872],[],3,[]
7,17028,[2551],[],[],[],3,[]
8,17492,[],[],[],"[563,564]",3,[]
9,17650,[3547],[],[],[],3,[]
10,17832,[],[],[1984],[],3,[]
11,18587,[8195],[],[],[],3,[]
12,18909,[],[],[],[],3,[173]
13,20070,[8750],[],[],[],3,[]
14,20337,[8788],[],[],[],3,[]
15,20626,[],[],[2248],[],3,[]
16,20765,[8789],[],[],[],3,[]
17,12725,[],[],[1479],[],3,[]
18,21948,[],[],[],"[1013,1014]",3,[]
19,22498,[9281],[],[],[],3,[]
20,22649,[],[],[],[1037],1,[]
21,22660,[9342],[],[],"[1038,1039]",1,[]
22,22667,[9343],[],[],[1040],1,[]
23,21690,[],[],[],[1041],1,[]
