"rownum","MonsterVarietiesKey","rid_16","rid_32","rid_48","rid_64","rid_80","rid_96","rid_112","rid_128","[i32]_144","rid_160","rid_176","rid_192","rid_208","rid_224"
0,1774,"","","","","","","","",[1],9,"","","",""
1,1775,"","","","","","","","",[1],9,"","","",""
2,1776,"","","","","","","","",[2],12,"","","",""
3,1777,"","","","","","","","",[2],12,"","","",""
4,1780,"","","","","","","","",[3],10,"","","",""
5,1781,"","","","","","","","",[3],10,"","","",""
6,1782,"","","","","","","","",[3],11,"","","",""
7,1783,"","","","","","","","",[3],11,"","","",""
8,1785,"","","","","","","","","[1,2]",17,"","","",""
9,1786,"","","","","","","","","[1,2]",17,"","","",""
10,1789,"","","","","","","","","[2,3]",19,"","","",""
11,1790,"","","","","","","","","[2,3]",19,"","","",""
