"rownum","rid_0","rid_16","rid_32","rid_48"
0,31,6876,806,8342
1,31,15993,1879,8342
2,30,15664,1830,8343
3,30,6876,807,8343
4,30,11377,1341,8343
5,30,15993,1881,8343
6,32,15574,1827,8344
7,32,6876,805,8344
8,32,3136,484,8344
9,32,15993,1880,8344
10,32,16433,1915,8344
11,31,16435,1914,8342
12,30,16434,1916,8343
13,31,17488,1966,8342
14,32,17489,1967,8344
15,30,17490,1968,8343
16,30,17491,1969,8343
17,32,20066,2210,""
18,30,20067,2211,""
19,31,20068,2212,""
20,32,20271,2234,""
21,30,20270,2233,""
22,31,20269,2232,""
