"rownum","WordsKey","ItemVisualIdentityKey","UniqueStashTypesKey","i32_48","i32_52","OverrideWidth","OverrideHeight","ShowIfEmptyChallengeLeague","ShowIfEmptyStandard","RenamedVersion","BaseVersion","IsAlternateArt"
0,138,14566,15,0,0,0,0,1,1,"","",""
1,1470,14567,15,2,0,0,0,1,1,"","",""
2,1506,14568,15,4,0,0,0,1,1,"","",""
3,1508,14569,15,6,0,0,0,1,1,"","",""
4,1539,14570,15,8,0,0,0,1,1,"","",""
5,1493,14571,15,10,0,0,0,1,1,"","",""
6,555,14572,15,12,0,0,0,1,1,"","",""
7,441,14573,15,14,0,0,0,1,1,"","",""
8,781,14577,15,16,0,0,0,1,1,"","",""
9,64,14579,15,18,0,0,0,1,1,"","",""
10,1475,14581,15,20,0,0,0,1,1,"","",""
11,147,14582,15,22,0,0,0,1,1,"","",""
12,140,14583,15,24,0,0,0,1,1,"","",""
13,277,14585,15,26,0,0,0,1,1,"","",""
14,1494,14586,15,28,0,0,0,1,1,"","",""
15,437,14587,15,30,0,0,0,1,1,"","",""
16,1496,14588,15,32,0,0,0,1,1,"","",""
17,248,14590,15,34,0,0,0,1,1,"","",""
18,1406,14596,15,36,0,0,0,1,1,"","",""
19,1500,14597,15,38,0,0,0,1,1,"","",""
20,1463,14598,15,40,0,0,0,1,1,"","",""
21,1512,14599,15,42,0,0,0,1,1,"","",""
22,141,14600,15,44,0,0,0,1,1,"","",""
23,1507,14601,15,46,0,0,0,1,1,"","",""
24,1545,14602,15,48,0,0,0,1,1,"","",""
25,152,14603,15,50,0,0,0,1,1,"","",""
26,1486,14611,15,52,0,0,0,1,1,"","",""
27,1468,14612,15,54,0,0,0,1,1,"","",""
28,1538,14613,15,56,0,0,0,1,1,"","",""
29,1495,14614,15,58,0,0,0,1,1,"","",""
30,256,14615,15,60,0,0,0,1,1,"","",""
31,1252,14616,15,62,0,0,0,1,1,"","",""
32,1541,14624,15,64,0,0,0,1,1,"","",""
33,182,14626,15,66,0,0,0,1,1,"","",""
34,1542,14627,15,68,0,0,0,1,1,"","",""
35,42,14628,15,70,0,0,0,1,1,"","",""
36,1599,14632,15,72,0,0,0,1,1,"","",""
37,1509,14638,15,74,0,0,0,1,1,"","",""
38,1489,14639,15,76,0,0,0,1,1,"","",""
39,1502,14640,15,78,0,0,0,1,1,"","",""
40,1498,14641,15,80,0,0,0,1,1,"","",""
41,1590,14642,15,82,0,0,0,1,1,"","",""
42,1520,14652,16,0,0,0,0,1,1,"","",""
43,1521,14653,16,2,0,0,0,1,1,"","",""
44,47,14654,16,4,0,0,0,1,1,"","",""
45,444,14655,16,6,0,0,0,1,1,"","",""
46,1407,14656,16,8,0,0,0,1,1,"","",""
47,201,14657,16,10,0,0,0,1,1,"","",""
48,1531,14658,16,12,0,0,0,1,1,"","",""
49,1491,14664,16,14,0,0,0,1,1,"","",""
50,149,14665,16,16,0,0,0,1,1,"","",""
51,1499,14666,16,18,0,0,0,1,1,"","",""
52,1408,14668,16,20,0,0,0,1,1,"","",""
53,1535,14673,16,22,0,0,0,1,1,"","",""
54,173,14674,16,24,0,0,0,1,1,"","",""
55,68,14675,16,26,0,0,0,1,1,"","",""
56,1144,14676,16,28,0,0,0,1,1,"","",""
57,1511,14677,16,30,0,0,0,1,1,"","",""
58,1516,14678,16,32,0,0,0,1,1,"","",""
