"rownum","MonsterVarietiesKey","Spirit_ModsKeys","Touched_ModsKeys","Possessed_ModsKeys","MinZoneLevel","MaxZoneLevel","SpawnWeight","SummonedMonster_MonsterVarietiesKey","i32_92","ModsKeys0","ModsKeys1","rid_128","i32_144","i32_148","[rid]_152","[rid]_168","rid_184","[rid]_200","[i32]_216","rid_232","rid_248","[rid]_264","i32_280","i32_284","[i32]_288"
0,1792,[],"[13390,13377]","[13383,13381]",4,100,100,"",158,[],[],22052,2,0,"[13460,13387]",[],22363,"[1066,1068,0]","[1500,1500,1000]","",13391,"[611,575]",100,15,"[7,1]"
1,1793,[],"[13392,13377]","[13383,13381]",4,100,100,"",158,[],[],22052,2,0,"[13461,13387]",[],22364,"[1069,1067,0]","[1500,1500,1000]","",13393,"[609,573]",100,15,"[7,1]"
2,1794,[],"[13394,13377]","[13383,13381]",4,100,100,"",158,[],[],22052,2,0,"[13462,13387]",[],22365,"[1068,1069,0]","[1500,1500,1000]","",13395,"[610,578]",100,15,"[7,1]"
3,1795,[],"[13396,13378]","[13384,13381]",4,100,100,"",158,[],[],22053,2,1,"[13463,13388]",[],22366,"[1068,1066,0]","[1500,1500,1000]","",13397,"[616,574]",100,15,"[7,1]"
4,1796,[],"[13398,13378]","[13384,13381]",4,100,100,"",158,[],[],22053,2,1,"[13464,13388]",[],22367,"[1067,1069,0]","[1500,1500,1000]","",13399,[615],100,15,[]
5,1797,[],"[13400,13378]","[13384,13381]",4,100,100,"",158,[],[],22053,2,1,"[13465,13388]",[],22368,"[1074,1067,1065,0]","[0,1500,1500,1000]","",13401,[617],100,15,[]
6,1798,[],"[13402,13379]","[13385,13381]",4,100,100,"",158,[],[],22054,2,2,"[13466,13389]",[],22369,"[1066,1068,0]","[1500,1500,1000]","",13403,"[613,572]",100,15,"[7,1]"
7,1799,[],"[13404,13379]","[13385,13381]",4,100,100,"",158,[],[],22054,2,2,"[13467,13389]",[],22370,"[1068,1065,0]","[1500,1500,1000]","",13405,"[614,577]",100,15,"[7,1]"
8,1801,[],"[13406,13379]","[13385,13381]",4,100,100,"",158,[],[],22054,2,2,"[13468,13389]",[],22371,"[1070,1067,0]","[1500,1500,1000]","",13407,"[612,576]",100,15,"[7,1]"
9,1802,[],"[13408,13380]","[13386,13381]",33,100,27,"",158,[13409],[13410],22055,1,3,"[13469,13386]",[5125],"",[],[],"",13411,[618],100,100,[]
10,1803,[],"[13412,13380]","[13386,13381]",66,100,27,"",158,[],[],22055,0,3,"[13470,13386]",[5124],"",[],[],"",13413,[619],100,100,[]
11,1800,[],"[13404,13379]","[13385,13382]",0,100,0,"",158,[],[],22054,2,2,"[13467,13389]",[],"",[],[],"",13474,[],0,0,[]
