"rownum","HideoutArea","HASH16","HideoutFile","rid_26","string_42","bool_50","bool_51","string_52","[i32]_60","bool_76","rid_77","string_93"
0,8,-492,"Metadata/Terrain/Missions/Hideouts/PillarsOfArun/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ToweringHideout","",1,"Towering Hideout",[],"",6969,""
1,9,-31184,"Metadata/Terrain/Missions/Hideouts/ArenaAtziri/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CorruptedHideout","",1,"Corrupted Hideout",[],"",6970,""
2,10,-19926,"Metadata/Terrain/Missions/Hideouts/ArenaInnocence/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/InnocentHideout","",1,"Innocent Hideout",[],"",6971,""
3,11,-24046,"Metadata/Terrain/Missions/Hideouts/ArenaShaper/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ShaperHideout","",1,"Shaped Hideout",[],"",6972,""
4,12,26625,"Metadata/Terrain/Missions/Hideouts/ArenaKaom/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/FuriousHideout","",1,"Furious Hideout",[],"",6973,""
5,13,-15628,"Metadata/Terrain/Missions/Hideouts/ArenaDaresso/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ChampionsHideout","",1,"Champion's Hideout",[],"",6974,""
6,14,-13455,"Metadata/Terrain/Missions/Hideouts/ArenaDominus/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/IndomitableHideout","",1,"Indomitable Hideout",[],"",6975,""
7,15,-23555,"Metadata/Terrain/Missions/Hideouts/ArenaPiety/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/MorbidHideout","",1,"Morbid Hideout",[],"",6976,""
8,16,-28508,"Metadata/Terrain/Missions/Hideouts/ArenaSolarisLunaris/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/EclipsedHideout","",1,"Eclipsed Hideout","[0,1]","",6977,""
9,17,-29158,"Metadata/Terrain/Missions/Hideouts/ArenaKitavaAct10/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/RavenousHideout","",1,"Ravenous Hideout",[],"",6978,""
