"rownum","Buff","Visuals","i32_24"
0,"global_auras",[497],-1
1,"global_auras",[491],-2
2,"global_auras",[493],-3
3,"global_auras",[495],-4
4,"global_auras",[174],-5
5,"global_auras",[155],-6
6,"global_auras",[161],-7
7,"global_auras",[165],-8
8,"global_auras",[157],-9
9,"global_auras",[987],-10
10,"global_auras",[993],-11
11,"global_auras",[998],-12
12,"global_auras",[1015],-13
13,"global_auras",[1022],-14
14,"global_auras",[1027],-15
15,"global_auras",[1039],-16
16,"global_auras",[1040],-17
17,"global_auras",[1041],-18
18,"global_auras",[1049],-19
19,"global_auras",[1048],-20
20,"global_auras",[1086],-21
21,"global_auras",[1087],-22
22,"global_auras",[1088],-23
23,"global_auras",[1106],-24
24,"global_auras",[1108],-25
25,"global_auras",[1109],-26
26,"global_auras",[1110],-27
27,"global_auras",[1177],-28
28,"global_auras",[1182],-29
29,"global_auras",[1180],-30
30,"global_auras",[1183],-31
31,"global_auras",[1187],-32
32,"global_auras",[1188],-33
33,"global_auras",[1227],-34
34,"global_auras",[1230],-35
35,"global_auras",[1233],-36
36,"global_auras",[1257],-37
37,"global_auras",[1258],-38
38,"global_auras",[1324],-39
39,"global_auras",[1325],-40
40,"global_auras",[1349],-41
41,"global_auras",[1368],-42
42,"global_auras",[1369],-43
43,"global_auras",[1389],-44
44,"global_auras",[1392],-45
45,"global_auras",[1393],-46
46,"global_auras",[1394],-47
47,"global_auras",[1395],-48
48,"global_auras",[1439],-49
49,"global_auras",[1445],-50
50,"global_auras",[1446],-51
51,"global_auras",[1534],-52
52,"global_auras",[1535],-53
53,"global_auras",[1536],-54
54,"global_auras",[1537],-55
55,"global_auras",[1538],-56
56,"global_auras",[1539],-57
57,"global_auras",[1662],-58
58,"global_auras",[1663],-59
59,"global_auras",[1717],-60
60,"global_auras",[1718],-61
61,"global_auras",[1773],-62
62,"global_auras",[1785],-63
63,"global_auras",[1786],-64
64,"global_auras",[1787],-65
65,"global_auras",[1841],-66
66,"global_auras",[1842],-67
67,"global_auras",[1843],-68
68,"global_auras",[1844],-69
69,"global_auras",[1845],-70
70,"global_auras",[1962],-71
71,"global_auras",[1963],-72
72,"global_auras",[1964],-73
73,"anger",[156],0
74,"anger",[157],1
75,"anger",[158],2
76,"anger",[159],3
77,"hatred",[160],0
78,"hatred",[161],1
79,"hatred",[162],2
80,"hatred",[744],3
81,"hatred",[163],4
82,"wrath",[164],0
83,"wrath",[165],1
84,"wrath",[166],2
85,"wrath",[167],3
86,"haste",[169],0
87,"haste",[491],1
88,"haste",[170],2
89,"steelskin",[1066],0
90,"steelskin",[1508],1
91,"steelskin",[1067],2
92,"ignite",[2],0
93,"ignite",[393],1
94,"ignite",[490],2
95,"ignite",[394],3
96,"ignite",[395],4
97,"ignite",[396],5
98,"ignite",[397],6
99,"ignite",[1046],7
100,"ignite",[1126],8
101,"ignite",[1195],9
102,"ignite",[1376],10
103,"ignite",[1335],11
104,"ignite",[1377],12
105,"ignite",[1374],13
106,"ignite",[1479],14
107,"ignite",[1613],15
108,"ignite",[1621],16
109,"ignite",[1629],17
110,"ignite",[1630],18
111,"ignite",[1653],19
112,"ignite",[1707],20
113,"ignite",[1712],21
114,"ignite",[1713],22
115,"ignite",[1728],23
116,"ignite",[1778],24
117,"ignite",[1783],25
118,"ignite",[1837],26
119,"ignite",[1850],27
120,"ignite",[1864],28
121,"ignite",[1956],29
122,"ignite",[2133],30
123,"ignite",[2291],31
124,"ignite",[2300],32
125,"ignite",[2299],33
126,"scorch",[1005],0
127,"scorch",[1864],1
128,"shock",[5],0
129,"shock",[226],1
130,"shock",[227],2
131,"shock",[228],3
132,"shock",[1127],4
133,"shock",[229],5
134,"shock",[1614],6
135,"shock",[1622],7
136,"shock",[1724],8
137,"shock",[1727],9
138,"shock",[1836],10
139,"shock",[1866],11
140,"shock",[1902],12
141,"shock",[1903],13
142,"shock",[1926],14
143,"shock",[1927],15
144,"shock",[1957],16
145,"shock",[1978],17
146,"shock",[1993],18
147,"shock",[2135],19
148,"shock",[2304],20
149,"shock",[2305],21
150,"shock",[2302],22
151,"shock",[2161],1001
152,"shock",[2162],1002
153,"shock",[2375],23
154,"shock",[2379],25
155,"sap",[1007],0
156,"sap",[1866],1
157,"chill",[3],0
158,"chill",[1660],1
159,"chill",[1829],2
160,"chill",[1838],3
161,"chill",[1868],4
162,"chill",[1954],5
163,"freeze",[4],0
164,"freeze",[1661],1
165,"freeze",[1840],2
166,"freeze",[1865],3
167,"freeze",[1955],4
168,"freeze",[2134],5
169,"freeze",[2301],6
170,"brittle",[1006],0
171,"brittle",[1868],1
172,"poison",[14],0
173,"poison",[1789],1
174,"poison",[1861],2
175,"poison",[1895],3
176,"poison",[1905],4
177,"poison",[1906],5
178,"poison",[1862],1001
179,"poison",[1863],1002
180,"bleed",[145],1
181,"bleed",[1567],2
182,"bleed",[1867],3
183,"bleed_moving",[144],0
184,"bleed_moving",[146],1
185,"bleed_moving",[1568],2
186,"bleed_moving",[1867],3
187,"poison",[2009],100
188,"fire_exposure",[1032],0
189,"cold_exposure",[1033],0
190,"lightning_exposure",[1034],0
191,"fire_exposure",[1615],1
192,"cold_exposure",[1616],1
193,"lightning_exposure",[1617],1
194,"fire_exposure",[1618],2
195,"cold_exposure",[1619],2
196,"lightning_exposure",[1620],2
197,"fire_exposure",[1958],3
198,"cold_exposure",[1959],3
199,"lightning_exposure",[1960],3
200,"fire_exposure",[2349],4
201,"cold_exposure",[1033],4
202,"lightning_exposure",[1034],4
203,"infernal_blow_debuff",[907],0
204,"infernal_blow_debuff",[1631],1
205,"infernal_blow_debuff2",[908],0
206,"infernal_blow_debuff2",[1632],1
207,"infernal_blow_debuff3",[909],0
208,"infernal_blow_debuff3",[1633],1
209,"arcane_cloak",[1221],0
210,"arcane_cloak",[1634],1
211,"exsanguinate",[1524],0
212,"exsanguinate",[1635],1
213,"exsanguinate",[1756],2
214,"exsanguinate",[2030],1000
215,"void_burst",[1636],0
216,"ambush_stealth",[1638],0
217,"cold_snap",[1641],4
218,"cold_snap",[1949],5
219,"cold_snap",[1951],6
220,"blood_rage",[16],0
221,"blood_rage",[1642],1
222,"lightning_strike_vaal_debuff",[892],0
223,"lightning_strike_vaal_debuff",[892],1
224,"lightning_strike_vaal_debuff",[1646],2
225,"lightning_strike_vaal_debuff",[1750],3
226,"lightning_strike_vaal_debuff",[1900],4
