"rownum","rid_0","rid_16","[rid]_32","bool_48"
0,0,0,[412],""
1,16,0,[413],""
2,20,0,[414],""
3,3,0,[415],""
4,0,3,[415],""
5,3,3,[416],""
6,8,0,[417],""
7,4,0,[418],""
8,0,4,[418],""
9,4,4,[419],""
10,9,0,[420],""
11,5,0,[421],""
12,0,5,[421],""
13,5,5,[422],""
14,10,0,[423],""
15,14,0,[424],""
16,0,14,[424],""
17,14,14,[425],""
18,1,0,[426],""
19,0,1,[426],""
20,1,1,[427],""
21,17,21,"[429,430]",1
22,17,0,"[428,430]",""
23,6,0,[431],""
24,18,0,[432],""
25,10,10,[422],""
26,10,5,[422],""
27,5,10,[422],""
28,0,10,[421],""
29,8,8,[416],""
30,8,3,[416],""
31,3,8,[416],""
32,0,8,[415],""
33,9,9,[419],""
34,9,4,[419],""
35,4,9,[419],""
36,0,9,[418],""
