"rownum","rid_0","i32_16"
0,2,25
1,17,25
2,11,273
3,16,273
4,8,273
5,7,273
6,3,273
7,42,273
8,27,273
9,15,273
10,14,273
11,26,273
12,110,273
13,6,273
14,20,273
15,22,273
16,23,273
17,24,273
18,5,273
19,0,273
20,1,273
21,18,273
22,19,273
23,117,273
24,505,273
25,506,273
26,507,273
27,508,273
28,509,273
29,510,273
30,511,273
31,512,273
32,513,273
33,514,273
34,515,204
35,516,204
36,517,204
37,518,204
38,519,204
39,520,204
40,521,204
41,522,204
42,523,204
43,524,204
44,525,341
45,526,341
46,527,341
47,528,341
48,529,341
49,530,341
50,531,341
51,532,341
52,533,341
53,534,341
54,547,341
55,548,341
56,549,341
57,550,341
58,551,341
59,552,341
60,553,341
61,554,341
62,555,341
63,556,341
64,557,341
65,558,341
66,559,341
67,560,341
68,561,341
69,562,341
70,563,341
71,564,341
72,565,341
73,566,341
74,567,341
75,568,341
76,569,341
77,570,341
78,571,341
79,594,341
80,595,341
81,596,341
82,597,341
83,598,341
84,599,341
85,600,341
86,601,341
87,602,341
88,603,341
89,604,341
90,605,341
91,606,341
92,607,341
93,608,341
94,579,341
95,580,341
96,581,341
97,582,341
98,583,341
99,584,341
100,585,341
101,586,341
102,587,341
103,588,341
104,590,341
105,593,341
106,535,204
107,536,273
108,537,341
109,538,204
110,539,273
111,540,341
112,541,204
113,542,273
114,543,341
115,544,204
116,545,273
117,546,341
118,609,341
119,610,341
120,611,341
121,612,341
122,613,341
123,614,341
124,615,341
125,616,341
126,617,341
127,618,341
128,619,341
129,572,341
130,573,341
131,574,341
132,575,341
133,576,341
134,577,341
135,578,341
136,1784,33
137,1785,86
138,1786,191
139,1787,341
140,1788,409
141,1789,540
142,1790,727
143,1791,953
144,1792,1325
145,1793,1490
146,1794,1798
147,1795,1934
148,1796,2478
149,1797,48
150,1798,124
151,1799,278
152,1800,496
153,1801,596
154,1802,786
155,1803,1058
156,1804,1447
157,1805,1928
158,1806,2339
159,1807,2615
160,1808,2814
161,1809,3605
162,1810,33
163,1811,61
164,1812,169
165,1813,341
166,1814,459
167,1815,540
168,1816,727
169,1817,995
170,1818,1325
171,1819,1669
172,1820,1798
173,1821,2006
174,1822,2478
175,1823,48
176,1824,89
177,1825,246
178,1826,496
179,1827,596
180,1828,827
181,1829,1058
182,1830,1386
183,1831,1928
184,1832,2167
185,1833,2615
186,1834,3246
187,1835,3605
188,1836,33
189,1837,61
190,1838,169
191,1839,341
192,1840,459
193,1841,540
194,1842,727
195,1843,912
196,1844,1325
197,1845,1433
198,1846,1798
199,1847,2006
200,1848,2478
201,1849,48
202,1850,89
203,1851,278
204,1852,496
205,1853,596
206,1854,786
207,1855,1058
208,1856,1447
209,1857,1928
210,1858,2167
211,1859,2615
212,1860,2814
213,1861,3605
214,1862,33
215,1863,73
216,1864,169
217,1865,341
218,1866,459
219,1867,569
220,1868,727
221,1869,953
222,1870,1325
223,1871,1548
224,1872,1798
225,1873,2232
226,1874,2478
227,1875,33
228,1876,86
229,1877,215
230,1878,341
231,1879,409
232,1880,569
233,1881,727
234,1882,1038
235,1883,1325
236,1884,1608
237,1885,1798
238,1886,1934
239,1887,2478
240,1888,33
241,1889,86
242,1890,215
243,1891,341
244,1892,459
245,1893,512
246,1894,727
247,1895,953
248,1896,1325
249,1897,1548
250,1898,1798
251,1899,2006
252,1900,2478
253,1901,48
254,1902,89
255,1903,278
256,1904,496
257,1905,596
258,1906,745
259,1907,1058
260,1908,1270
261,1909,1928
262,1910,2252
263,1911,2615
264,1912,2917
265,1913,3605
266,1914,33
267,1915,86
268,1916,191
269,1917,341
270,1918,409
271,1919,540
272,1920,727
273,1921,912
274,1922,1325
275,1923,1490
276,1924,1798
277,1925,2006
278,1926,2478
279,1927,10
280,1928,10
281,1929,10
282,1930,10
283,1931,10
284,1932,10
285,1933,10
286,1934,10
287,1935,10
288,1936,10
289,1937,10
290,1938,10
291,1939,10
292,1940,15
293,1941,15
294,1942,15
295,1943,15
296,1944,15
297,1945,15
298,1946,15
299,1947,15
300,1948,15
301,1949,15
302,1950,15
303,1951,15
304,1952,15
305,1953,15
306,1954,33
307,1955,73
308,1956,191
309,1957,341
310,1958,409
311,1959,540
312,1960,727
313,1961,1038
314,1962,1325
315,1963,1669
316,1964,1798
317,1965,2079
318,1966,2478
319,1967,48
320,1968,89
321,1969,246
322,1970,497
323,1971,633
324,1972,873
325,1973,1217
326,1974,1513
327,1975,2011
328,1976,2258
329,1977,2623
330,1978,3032
331,1979,3615
332,1980,10
333,1981,10
334,1982,10
335,1983,10
336,1984,10
337,1985,10
338,1986,10
339,1987,10
340,1988,10
341,1989,10
342,1990,10
343,1991,10
344,1992,10
345,1993,10
346,1994,10
347,1995,10
348,1996,175
349,1997,175
350,1998,175
351,1999,175
352,2000,175
353,2001,175
354,2002,175
355,2003,175
356,2004,175
357,2005,175
358,2006,175
359,2007,175
360,2008,175
361,2009,50
362,2010,93
363,2011,289
364,2012,516
365,2013,657
366,2014,862
367,2015,1102
368,2016,1507
369,2017,2008
370,2018,2257
371,2019,2724
372,2020,3264
373,2021,3755
374,2022,4162
375,2023,4604
376,2024,50
377,2025,93
378,2026,289
379,2027,516
380,2028,620
381,2029,818
382,2030,1102
383,2031,1507
384,2032,2008
385,2033,2529
386,2034,2724
387,2035,3264
388,2036,3755
389,2037,4305
390,2038,4920
391,2039,50
392,2040,111
393,2041,289
394,2042,516
395,2043,696
396,2044,862
397,2045,1102
398,2046,1572
399,2047,2008
400,2048,2257
401,2049,2724
402,2050,3039
403,2051,3755
404,2052,4452
405,2053,5084
406,2054,93
407,2055,289
408,2056,516
409,2057,776
410,2058,1102
411,2059,1507
412,2060,2008
413,2061,2529
414,2062,2724
415,2063,2931
416,2064,3755
417,2065,4452
418,2066,4452
419,2067,4452
420,2068,5084
421,2069,111
422,2070,256
423,2071,516
424,2072,776
425,2073,1102
426,2074,1444
427,2075,2008
428,2076,2436
429,2077,2724
430,2078,3039
431,2079,3755
432,2080,4162
433,2081,4760
434,2082,93
435,2083,289
436,2084,516
437,2085,862
438,2086,1102
439,2087,1323
440,2088,2008
441,2089,2529
442,2090,2724
443,2091,2931
444,2092,3755
445,2093,4305
446,2094,4920
447,2095,30
448,2096,195
449,2097,310
450,2098,466
451,2099,661
452,2100,794
453,2101,1205
454,2102,1354
455,2103,1635
456,2104,1959
457,2105,2253
458,2106,30
459,2107,153
460,2108,310
461,2109,491
462,2110,661
463,2111,829
464,2112,1205
465,2113,1354
466,2114,1635
467,2115,1890
468,2116,2253
469,2117,30
470,2118,153
471,2119,310
472,2120,517
473,2121,661
474,2122,829
475,2123,1205
476,2124,1462
477,2125,1635
478,2126,1823
479,2127,2253
480,2128,78
481,2129,174
482,2130,310
483,2131,491
484,2132,661
485,2133,1205
486,2134,1635
487,2135,2253
488,2136,67
489,2137,153
490,2138,310
491,2139,517
492,2140,661
493,2141,1205
494,2142,1635
495,2143,2253
496,2144,67
