"rownum","Key","SpawnWeight_TagsKeys","SpawnWeight_Values","ModsKey","MinLevel","MaxLevel","IsPrefix"
0,"ProxyKey1",[0],[45],8794,2,39,1
1,"ProxyKey2",[0],[45],8793,40,100,1
2,"ProxyKey3",[0],[45],8795,40,100,1
3,"ProxyKey4","[158,0]","[0,94]",8796,2,100,1
4,"ProxyKey5","[162,0]","[0,0]",8797,40,100,1
5,"ProxyKey6","[152,0]","[0,45]",8798,56,100,1
6,"ProxyKey7","[57,0]","[45,0]",8799,68,100,1
7,"ProxyKey8","[57,0]","[1,0]",8800,68,100,1
8,"ProxyKey9",[0],[94],8802,2,39,1
9,"ProxyKey10",[0],[94],8801,40,100,1
10,"ProxyKey11","[158,0]","[0,94]",8804,2,39,1
11,"ProxyKey12","[158,0]","[0,94]",8803,40,100,1
12,"ProxyKey13",[0],[94],8806,2,39,1
13,"ProxyKey14",[0],[94],8805,40,100,1
14,"ProxyKey15",[0],[94],8808,2,39,1
15,"ProxyKey16",[0],[94],8807,40,100,1
16,"ProxyKey17",[0],[45],8809,2,100,1
17,"ProxyKey18",[0],[94],8811,2,39,1
18,"ProxyKey19",[0],[94],8810,40,100,1
19,"ProxyKey20",[0],[94],8812,40,100,1
20,"ProxyKey21",[0],[45],8813,56,100,1
21,"ProxyKey22",[0],[94],8814,40,100,1
22,"ProxyKey23","[57,0]","[9,0]",8815,68,100,1
23,"ProxyKey24",[0],[94],8816,40,100,1
24,"ProxyKey25",[0],[45],8817,56,100,1
25,"ProxyKey26",[0],[45],8818,40,100,1
26,"ProxyKey27",[0],[45],8819,40,100,1
27,"ProxyKey28",[0],[9],8821,23,39,1
28,"ProxyKey29",[0],[9],8820,40,100,1
29,"ProxyKey30","[61,0]","[9,0]",8822,40,100,1
30,"ProxyKey31",[0],[45],8823,40,100,1
31,"ProxyKey32",[0],[45],8824,40,100,1
32,"ProxyKey33",[0],[94],8825,2,100,1
33,"ProxyKey34",[0],[94],8826,40,100,1
34,"ProxyKey35",[0],[94],8827,2,100,1
35,"ProxyKey36",[0],[94],8828,40,100,1
36,"ProxyKey37",[0],[94],8829,2,100,1
37,"ProxyKey38",[0],[94],8830,40,100,1
38,"ProxyKey39",[0],[0],8831,2,100,1
39,"ProxyKey40",[0],[0],8832,40,100,1
40,"ProxyKey41",[0],[94],8833,2,100,1
41,"ProxyKey42",[0],[94],8834,40,100,1
42,"ProxyKey43",[0],[94],8835,40,100,1
43,"ProxyKey44","[57,0]","[4,0]",8836,68,100,1
44,"ProxyKey45",[0],[45],8837,2,100,1
45,"ProxyKey46",[0],[9],8839,2,39,1
46,"ProxyKey47",[0],[9],8838,40,100,1
47,"ProxyKey48",[0],[94],8840,2,100,1
48,"ProxyKey49",[0],[45],8841,2,100,1
49,"ProxyKey50",[0],[94],8842,2,100,1
50,"ProxyKey51",[0],[94],8843,2,100,1
51,"ProxyKey52",[0],[45],8844,2,100,1
52,"ProxyKey53",[0],[5000],8175,40,100,""
53,"ProxyKey54","[164,0]","[0,2500]",8847,40,100,""
54,"ProxyKey55",[0],[5000],8848,40,100,""
55,"ProxyKey56",[0],[5000],8849,40,100,""
56,"ProxyKey57",[0],[5000],8850,40,100,""
57,"ProxyKey58",[0],[5000],8851,40,100,""
58,"ProxyKey59",[0],[2500],8856,56,100,""
59,"ProxyKey60",[0],[500],8857,56,100,""
60,"ProxyKey61","[57,0]","[500,0]",8858,68,100,""
61,"ProxyKey62","[164,57,0]","[0,250,0]",8859,68,100,""
62,"ProxyKey63","[164,57,0]","[0,250,0]",8860,68,100,""
63,"ProxyKey64",[0],[2500],8861,40,100,""
64,"ProxyKey65",[0],[5000],8862,40,100,""
65,"ProxyKey66",[0],[5000],8863,40,100,""
66,"ProxyKey67",[0],[5000],8864,40,100,""
67,"ProxyKey68",[0],[2500],8865,56,100,""
68,"ProxyKey69","[164,57,0]","[0,500,0]",8866,40,100,""
69,"ProxyKey70","[164,57,0]","[0,500,0]",8867,68,100,""
70,"ProxyKey71","[164,57,0]","[0,500,0]",8868,68,100,""
71,"ProxyKey72","[57,0]","[3,0]",8869,68,100,""
72,"ProxyKey73","[57,0]","[5000,0]",8852,68,100,""
73,"ProxyKey74","[57,0]","[5000,0]",8853,68,100,""
74,"ProxyKey75","[57,0]","[5000,0]",8854,68,100,""
75,"ProxyKey76","[57,0]","[5000,0]",8855,68,100,""
76,"ProxyKey77","[164,57,0]","[0,250,0]",8870,68,100,""
