"rownum","Id"
0,"PoE2GemProgressionRegular"
1,"PoE2GemProgressionTruncated"
2,"PoE2GemProgressionExceptional"
3,"PoE2GemProgressionPlus"
4,"PoE2GemProgressionExceptionalPlus"
5,"GemProgression1"
6,"GemProgression4"
7,"GemProgression8"
8,"GemProgression10"
9,"GemProgression12"
10,"GemProgression16"
11,"GemProgression18"
12,"GemProgression24"
13,"GemProgression28"
14,"GemProgression31"
15,"GemProgression34"
16,"GemProgression38"
17,"GemProgressionSingleLevel"
18,"GemProgressionExceptional"
19,"GemProgressionBrandRecall"
20,"GemProgressionBloodAndSand"
21,"GemProgressionPlus1"
22,"GemProgressionPlus2"
23,"GemProgressionPlus3"
24,"GemProgressionPlus4"
25,"GemProgressionPlus5"
26,"GemProgressionPlus6"
27,"GemProgressionPlus7"
28,"GemProgressionExceptionalPlus"
29,"GemProgressionRoyale1"
30,"GemProgressionRoyale4"
31,"FixedLevel1"
32,"FixedLevel2"
33,"FixedLevel3"
34,"FixedLevel4"
35,"FixedLevel5"
36,"FixedLevel6"
37,"FixedLevel7"
38,"FixedLevel8"
39,"FixedLevel9"
40,"FixedLevel10"
41,"FixedLevel11"
42,"FixedLevel12"
43,"FixedLevel13"
44,"FixedLevel14"
45,"FixedLevel15"
46,"FixedLevel20"
47,"GemProgresssionPlaytest"
