"rownum","SkillGem","i32_16","Icon"
0,210,50,"Art/2DArt/SkillIcons/Support/IgnitionSupport.dds"
1,46,50,"Art/2DArt/SkillIcons/Support/FirePenetrationSupport.dds"
2,211,50,"Art/2DArt/SkillIcons/Support/SearingFlameSupport.dds"
3,168,50,"Art/2DArt/SkillIcons/Support/MoreDurationSupport.dds"
4,165,50,"Art/2DArt/SkillIcons/Support/LessDurationSupport.dds"
5,167,50,"Art/2DArt/SkillIcons/Support/UnbreakableSupport.dds"
6,95,50,"Art/2DArt/SkillIcons/Support/ChanceToBleedSupport.dds"
7,16,50,"Art/2DArt/SkillIcons/Support/KnockbackSupport.dds"
8,352,50,"Art/2DArt/SkillIcons/Support/OverpowerSupport.dds"
9,164,50,"Art/2DArt/SkillIcons/Support/RuthlessSupport.dds"
10,108,50,"Art/2DArt/SkillIcons/Support/RageSupport.dds"
11,162,50,"Art/2DArt/SkillIcons/Support/JaggedGroundSupport.dds"
12,225,50,"Art/2DArt/SkillIcons/Support/ExploitWeaknessSupport.dds"
13,276,50,"Art/2DArt/SkillIcons/Support/EnragedWarcrySupport.dds"
14,166,50,"Art/2DArt/SkillIcons/Support/FistOfWarSupport.dds"
15,169,50,"Art/2DArt/SkillIcons/Support/ImpactShockwaveSupport.dds"
16,226,50,"Art/2DArt/SkillIcons/Support/DevastateSupport.dds"
17,123,50,"Art/2DArt/SkillIcons/Support/BloodMagicSupport.dds"
18,124,50,"Art/2DArt/SkillIcons/Support/BeheadSupport.dds"
19,125,50,"Art/2DArt/SkillIcons/Support/ExecuteSupport.dds"
20,73,50,"Art/2DArt/SkillIcons/Support/ConductionSupport.dds"
21,48,50,"Art/2DArt/SkillIcons/Support/LightningPenetrationSupport.dds"
22,129,50,"Art/2DArt/SkillIcons/Support/OverchargeSupport.dds"
23,8,50,"Art/2DArt/SkillIcons/Support/FasterProjectilesSupport.dds"
24,57,50,"Art/2DArt/SkillIcons/Support/SlowerProjectilesSupport.dds"
25,336,50,"Art/2DArt/SkillIcons/Support/KnockbackWaveSupport.dds"
26,96,50,"Art/2DArt/SkillIcons/Support/ChanceToPoisonSupport.dds"
27,97,50,"Art/2DArt/SkillIcons/Support/MaimSupport.dds"
28,43,50,"Art/2DArt/SkillIcons/Support/BlindSupport.dds"
29,7,50,"Art/2DArt/SkillIcons/Support/MultipleProjectilesSupport.dds"
30,22,50,"Art/2DArt/SkillIcons/Support/PierceSupport.dds"
31,49,50,"Art/2DArt/SkillIcons/Support/ChainSupport.dds"
32,114,50,"Art/2DArt/SkillIcons/Support/SecondWindSupport.dds"
33,304,50,"Art/2DArt/SkillIcons/Support/PerpetualChargeSupport.dds"
34,327,50,"Art/2DArt/SkillIcons/Support/BurstingPlagueSupport.dds"
35,305,50,"Art/2DArt/SkillIcons/Support/CorrosionSupport.dds"
36,333,50,"Art/2DArt/SkillIcons/Support/ElectrocuteSupport.dds"
37,302,50,"Art/2DArt/SkillIcons/Support/NeuralOverloadSupport.dds"
38,332,50,"Art/2DArt/SkillIcons/Support/IncreaseLimitSupport.dds"
39,351,50,"Art/2DArt/SkillIcons/Support/LockdownSupport.dds"
40,354,50,"Art/2DArt/SkillIcons/Support/PinSupport.dds"
41,353,50,"Art/2DArt/SkillIcons/Support/MobilitySupport.dds"
42,72,50,"Art/2DArt/SkillIcons/Support/HypothermiaSupport.dds"
43,47,50,"Art/2DArt/SkillIcons/Support/ColdPenetrationSupport.dds"
44,104,50,"Art/2DArt/SkillIcons/Support/WitheringTouchSupport.dds"
45,11,50,"Art/2DArt/SkillIcons/Support/IncreasedAreaOfEffectSupport.dds"
46,35,50,"Art/2DArt/SkillIcons/Support/ConcentratedEffectSupport.dds"
47,335,50,"Art/2DArt/SkillIcons/Support/EnergyBarrierSupport.dds"
48,94,50,"Art/2DArt/SkillIcons/Support/IgniteProliferationSupport.dds"
49,188,50,"Art/2DArt/SkillIcons/Support/FrozenNexusSupport.dds"
50,206,50,"Art/2DArt/SkillIcons/Support/ShockingProliferationSupport.dds"
51,55,50,"Art/2DArt/SkillIcons/Support/SpellEchoSupport.dds"
52,106,50,"Art/2DArt/SkillIcons/Support/UnleashSupport.dds"
53,340,50,"Art/2DArt/SkillIcons/Support/FieryDeathSupport.dds"
54,189,50,"Art/2DArt/SkillIcons/Support/FrozenVortexSupport.dds"
55,204,50,"Art/2DArt/SkillIcons/Support/ShockSiphonSupport.dds"
56,330,50,"Art/2DArt/SkillIcons/Support/FrostfireSupport.dds"
57,331,50,"Art/2DArt/SkillIcons/Support/StormfireSupport.dds"
58,337,50,"Art/2DArt/SkillIcons/Support/BitingFrostSupport.dds"
59,163,50,"Art/2DArt/SkillIcons/Support/InevitableCriticalsSupport.dds"
60,329,50,"Art/2DArt/SkillIcons/Support/WallFortressSupport.dds"
61,355,50,"Art/2DArt/SkillIcons/Support/AmbushSupport.dds"
62,338,50,"Art/2DArt/SkillIcons/Support/ElementalDischargeSupport.dds"
63,350,50,"Art/2DArt/SkillIcons/Support/ManaFlareSupport.dds"
64,339,50,"Art/2DArt/SkillIcons/Support/HourglassSupport.dds"
65,359,50,"Art/2DArt/SkillIcons/Support/ManaFlaskSupport.dds"
66,360,50,"Art/2DArt/SkillIcons/Support/LifeFlaskSupport.dds"
67,17,50,"Art/2DArt/SkillIcons/Support/LifeLeechSupport.dds"
68,26,50,"Art/2DArt/SkillIcons/Support/MeleePhysicalDamageSupport.dds"
69,36,50,"Art/2DArt/SkillIcons/Support/BloodlustSupport.dds"
70,100,50,"Art/2DArt/SkillIcons/Support/BrutalitySupport.dds"
71,111,50,"Art/2DArt/SkillIcons/Support/MeatShield.dds"
72,363,50,"Art/2DArt/SkillIcons/Support/BreakEndurance.dds"
73,50,50,"Art/2DArt/SkillIcons/Support/ForkSupport.dds"
74,170,50,"Art/2DArt/SkillIcons/Support/HexBloomSupport.dds"
75,18,50,"Art/2DArt/SkillIcons/Support/ManaLeechSupport.dds"
76,84,50,"Art/2DArt/SkillIcons/Support/ElementalFocusSupport.dds"
77,56,50,"Art/2DArt/SkillIcons/Support/ElementalArmySupport.dds"
78,362,50,"Art/2DArt/SkillIcons/Support/MinionInstabilitySupport.dds"
79,212,50,"Art/2DArt/SkillIcons/Support/EternalFlameSupport.dds"
80,99,50,"Art/2DArt/SkillIcons/Support/LastingShockSupport.dds"
81,207,50,"Art/2DArt/SkillIcons/Support/DeepFreezeSupport.dds"
82,112,50,"Art/2DArt/SkillIcons/Support/InfernalLegionSupport.dds"
83,110,50,"Art/2DArt/SkillIcons/Support/FeedingFrenzySupport.dds"
84,102,50,"Art/2DArt/SkillIcons/Support/ArcaneSurgeSupport.dds"
85,365,50,"Art/2DArt/SkillIcons/Support/CorpseConservationSupport.dds"
86,364,50,"Art/2DArt/SkillIcons/Support/CurseEffectSupport.dds"
87,5,50,"Art/2DArt/SkillIcons/Support/AddedFireDamageSupport.dds"
88,9,50,"Art/2DArt/SkillIcons/Support/AddedColdDamageSupport.dds"
89,12,50,"Art/2DArt/SkillIcons/Support/AddedLightningDamageSupport.dds"
90,19,50,"Art/2DArt/SkillIcons/Support/AddedChaosDamageSupport.dds"
91,14,50,"Art/2DArt/SkillIcons/Support/Inspiration.dds"
92,371,50,"Art/2DArt/SkillIcons/Support/LifeOnCull.dds"
93,372,50,"Art/2DArt/SkillIcons/Support/ManaOnCull.dds"
94,6,50,"Art/2DArt/SkillIcons/Support/FasterAttack.dds"
95,10,50,"Art/2DArt/SkillIcons/Support/AdditionalAccuracy.dds"
96,27,50,"Art/2DArt/SkillIcons/Support/FasterCastSupport.dds"
97,366,50,"Art/2DArt/SkillIcons/Support/DecayingHexSupport.dds"
98,367,50,"Art/2DArt/SkillIcons/Support/FocusedHexSupport.dds"
99,368,50,"Art/2DArt/SkillIcons/Support/RitualisticCurseSupport.dds"
