"rownum","rid_0","rid_16","i32_32"
0,15633,15633,3
1,15634,15634,3
2,15630,15630,0
3,15631,15631,0
4,15632,15632,0
5,15635,15635,0
6,15636,210,0
7,15638,5881,0
8,15641,210,1
9,15642,210,2
10,15643,210,3
11,15644,11185,1
12,15562,11185,2
13,15645,166,1
14,15646,166,2
15,15647,15398,1
16,15648,15398,2
17,15660,15557,3
18,15658,15658,1
19,15659,15659,3
20,15620,15620,4
21,15621,15621,4
22,15622,15622,4
23,15651,15651,0
24,15652,15651,1
25,15653,15651,3
26,15655,15654,1
27,15656,15654,2
28,15657,15657,3
29,15649,15649,0
30,15650,15649,3
31,15637,15637,0
32,15639,15637,2
33,15640,15637,3
34,15563,15563,4
35,15661,15682,1
36,15662,15662,0
37,15663,15683,3
38,15671,15671,3
39,15672,15672,2
40,15673,15673,1
41,15674,15674,2
42,15675,15675,2
43,15703,15651,2
44,15710,15710,4
45,15709,15709,4
