"rownum","rid","i32","i32","rid","bool","string","bool","rid","bool","i32"
0,0,0,0,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingRing/TrackingRingFootstepsIcon","","","",0
1,1,0,1,12,1,"","","","",0
2,1,1,2,18,1,"","","","",0
3,1,2,6,8,1,"","","","",0
4,1,3,4,17,1,"","","","",0
5,1,4,7,3,1,"","","","",0
6,1,5,16,43,1,"","","","",0
7,1,6,8,16,1,"","","","",0
8,1,7,9,37,1,"","","","",0
9,1,8,34,102,1,"","","","",0
10,1,9,5,9,1,"","","","",0
11,1,10,19,7,1,"","","","",0
12,1,11,35,33,1,"","","","",16777216
13,1,12,36,34,1,"","","","",0
14,1,13,37,35,1,"","","","",0
15,1,14,38,21,1,"","","","",0
16,1,15,39,20,1,"","","","",0
17,2,0,40,"",1,"","","","",0
18,2,1,41,"",1,"","","","",0
19,2,2,42,"",1,"","","","",0
20,2,4,40,"",1,"","","",1,0
21,2,5,41,"",1,"","","",1,0
22,2,6,42,"",1,"","","",1,0
23,3,0,40,"",1,"","","","",0
24,3,1,41,"",1,"","","","",0
25,3,2,42,"",1,"","","","",0
26,3,4,40,"",1,"","","",1,0
27,3,5,41,"",1,"","","",1,0
28,3,6,42,"",1,"","","",1,0
29,4,0,40,"",1,"","","","",0
30,4,1,41,"",1,"","","","",0
31,4,2,42,"",1,"","","","",0
32,4,4,40,"",1,"","","",1,0
33,4,5,41,"",1,"","","",1,0
34,4,6,42,"",1,"","","",1,0
