"rownum","BaseItemType","AddedMods","NegativeWeight_Tags","NegativeWeight_Values","ForcedAddMods","ForbiddenDelveCraftingTags","AllowedDelveCraftingTags","CanMirrorItem","CorruptedEssenceChance","CanImproveQuality","HasLuckyRolls","bool","SellPrice_Mods","CanRollWhiteSockets","Weight_Tags","Weight_Values","DelveCraftingModifierDescriptions","BlockedDelveCraftingModifierDescriptions","bool","bool","[i32]","[i32]"
0,142,[],[310],[0],[],[],[],"",0,"","","",[],"",[309],[1000],"[11,29]","[12,57]","","",[200],[0]
1,143,[],[309],[0],[],[],[],"",0,"","","",[],"",[310],[1000],"[12,28]","[11,51]","","",[200],[0]
2,144,[],[313],[0],[],[],[],"",0,"","","",[],"",[311],[1000],"[13,27]","[10,45]","","",[200],[0]
3,145,[],[312],[0],[],[],[],"",0,"","","",[],"",[313],[1000],"[10,31]","[14,58]","","",[200],[0]
4,146,[],[311],[0],[],[],[],"",0,"","","",[],"",[312],[1000],"[14,30]","[13,48]","","",[200],[0]
5,147,[],[317],[0],[],[],[],"",0,"","","",[],"",[316],[1000],"[17,33]","[18,53]","","",[200],[0]
6,148,[],[316],[0],[],[],[],"",0,"","","",[],"",[317],[1000],"[18,32]","[17,49]","","",[200],[0]
7,149,[],[318],[0],[],[],[],"",0,"","","",[],"","[315,314]","[1000,1000]","[16,34]","[15,52]","","","[200,200]",[0]
8,150,[],"[315,314]","[0,0]",[],[],[],"",0,"","","",[],"",[318],[600],"[15,35]","[16,63]","","",[150],"[0,0]"
9,151,[],[319],[15],[],[],[],"",0,"","","",[],"",[34],[1000],"[19,26]",[25],"","",[200],[15]
10,152,[],[34],[15],[],[],[],"",0,"","","",[],"",[319],[1000],"[20,25]",[26],"","",[200],[15]
11,153,[],[324],[0],[],[],[],"",0,"","","",[],"",[323],[1000],"[21,37]","[22,43]","","",[200],[0]
12,154,[],[323],[0],[],[],[],"",0,"","","",[],"",[324],[1000],"[22,36]","[21,47]","","",[200],[0]
13,155,[],[],[],[],[],[],"",0,"","","",[],"","[320,321,587]","[1000,1000,1000]",[23],[],"","","[200,200,200]",[]
14,156,[],[],[],[],[],"[0,2,5,6,4,3,7]","",0,1,"","",[],"",[],[],[9],[],"","",[],[]
15,157,[],[581],[0],[],[],[],"",0,"","","",[],"",[572],[1000],"[39,42]","[41,61]","","",[200],[0]
16,158,[],[572],[0],[],[],[],"",0,"","","",[],"",[581],[1000],"[41,40]","[39,56]","","",[200],[0]
17,159,[],[],[],[],[],[],"",0,"","","",[],"",[27],[1000],[24],[],"","",[200],[]
18,160,[],[],[],[],"[13,14,15]",[],"",0,"","","",[],"",[],[],[38],[],1,"",[],[]
19,161,[],[],[],[],[],"[0,4,6,5,2]","",0,"","","",[],"",[],[],[5],[],"","",[],[]
20,162,[],[],[],[],[],[],1,0,"","","",[],"",[],[],[4],[],"","",[],[]
21,163,[],[],[],[],[],"[0,2,5,6,4,3,8,9,10,11]","",100,"","","",[],"",[],[],[3],[],"","",[],[]
22,164,[],[],[],[],[],[],"",10,"","","",[],"",[],[],[2],[],"",1,[],[]
23,165,[],[],[],[],[],[],"",0,"","",1,[],"",[],[],[1],[],"","",[],[]
24,166,[],[],[],[],[],[],"",0,"","","",[],"",[],[],[0],[],"","",[],[]
25,1161,[],[580],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,64]","[44,73]","","",[1000],[0]
26,1162,[],[313],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,27]","[45,10]","","",[1000],[0]
27,1163,[],[320],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,65]","[46,74]","","",[1000],[0]
28,1164,[],[323],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,36]","[47,21]","","",[1000],[0]
29,1165,[],[311],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,30]","[48,13]","","",[1000],[0]
30,1166,[],[316],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,32]","[49,17]","","",[1000],[0]
31,1167,[],[27],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,66]","[50,75]","","",[1000],[0]
32,1168,[],[309],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,28]","[51,11]","","",[1000],[0]
33,1169,[],[318],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,34]","[52,15]","","",[1000],[0]
34,1170,[],[317],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,33]","[53,18]","","",[1000],[0]
35,1171,[],[579],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,67]","[54,76]","","",[1000],[0]
36,1172,[],[587],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,68]","[55,77]","","",[1000],[0]
37,1173,[],[572],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,40]","[56,39]","","",[1000],[0]
38,1174,[],[310],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,29]","[57,12]","","",[1000],[0]
39,1175,[],[312],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,31]","[58,14]","","",[1000],[0]
40,1176,[],[34],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,69]","[59,19,25]","","",[1000],[0]
41,1177,[],[321],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,70]","[60,78]","","",[1000],[0]
42,1178,[],[581],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,42]","[61,41]","","",[1000],[0]
43,1179,[],[319],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,71]","[62,20,26]","","",[1000],[0]
44,1180,[],[583],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,72]","[63,79,16]","","",[1000],[0]
45,1181,[],[324],[0],[],[],[],"",0,"","","",[],"",[580],[3000],"[44,37]","[43,22]","","",[1000],[0]
46,1182,[],[313],[0],[],[],[],"",0,"","","",[],"",[580],[3000],"[44,27]","[45,10]","","",[1000],[0]
47,1183,[],[320],[0],[],[],[],"",0,"","","",[],"",[580],[3000],"[44,65]","[46,74]","","",[1000],[0]
48,1184,[],[323],[0],[],[],[],"",0,"","","",[],"",[580],[3000],"[44,36]","[47,21]","","",[1000],[0]
49,1185,[],[311],[0],[],[],[],"",0,"","","",[],"",[580],[3000],"[44,30]","[48,13]","","",[1000],[0]
50,1186,[],[316],[0],[],[],[],"",0,"","","",[],"",[580],[3000],"[44,32]","[49,17]","","",[1000],[0]
51,1187,[],[27],[0],[],[],[],"",0,"","","",[],"",[580],[3000],"[44,66]","[50,75]","","",[1000],[0]
52,1188,[],[309],[0],[],[],[],"",0,"","","",[],"",[580],[3000],"[44,28]","[51,11]","","",[1000],[0]
53,1189,[],[318],[0],[],[],[],"",0,"","","",[],"",[580],[3000],"[44,34]","[52,15]","","",[1000],[0]
54,1190,[],[317],[0],[],[],[],"",0,"","","",[],"",[580],[3000],"[44,33]","[53,18]","","",[1000],[0]
55,1191,[],[579],[0],[],[],[],"",0,"","","",[],"",[580],[3000],"[44,67]","[54,76]","","",[1000],[0]
56,1192,[],[587],[0],[],[],[],"",0,"","","",[],"",[580],[3000],"[44,68]","[55,77]","","",[1000],[0]
57,1193,[],[572],[0],[],[],[],"",0,"","","",[],"",[580],[3000],"[44,40]","[56,39]","","",[1000],[0]
58,1194,[],[310],[0],[],[],[],"",0,"","","",[],"",[580],[3000],"[44,29]","[57,12]","","",[1000],[0]
59,1195,[],[312],[0],[],[],[],"",0,"","","",[],"",[580],[3000],"[44,31]","[58,14]","","",[1000],[0]
60,1196,[],[34],[0],[],[],[],"",0,"","","",[],"",[580],[3000],"[44,69]","[59,19,25]","","",[1000],[0]
61,1197,[],[321],[0],[],[],[],"",0,"","","",[],"",[580],[3000],"[44,70]","[60,78]","","",[1000],[0]
62,1198,[],[581],[0],[],[],[],"",0,"","","",[],"",[580],[3000],"[44,42]","[61,41]","","",[1000],[0]
63,1199,[],[319],[0],[],[],[],"",0,"","","",[],"",[580],[3000],"[44,71]","[62,20,26]","","",[1000],[0]
64,1200,[],[583],[0],[],[],[],"",0,"","","",[],"",[580],[3000],"[44,72]","[63,79,16]","","",[1000],[0]
65,1201,[],[324],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,37]","[43,22]","","",[1000],[0]
66,1202,[],[580],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,64]","[44,73]","","",[1000],[0]
67,1203,[],[320],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,65]","[46,74]","","",[1000],[0]
68,1204,[],[323],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,36]","[47,21]","","",[1000],[0]
69,1205,[],[311],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,30]","[48,13]","","",[1000],[0]
70,1206,[],[316],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,32]","[49,17]","","",[1000],[0]
71,1207,[],[27],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,66]","[50,75]","","",[1000],[0]
72,1208,[],[309],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,28]","[51,11]","","",[1000],[0]
73,1209,[],[318],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,34]","[52,15]","","",[1000],[0]
74,1210,[],[317],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,33]","[53,18]","","",[1000],[0]
75,1211,[],[579],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,67]","[54,76]","","",[1000],[0]
76,1212,[],[587],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,68]","[55,77]","","",[1000],[0]
77,1213,[],[572],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,40]","[56,39]","","",[1000],[0]
78,1214,[],[310],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,29]","[57,12]","","",[1000],[0]
79,1215,[],[312],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,31]","[58,14]","","",[1000],[0]
80,1216,[],[34],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,69]","[59,19,25]","","",[1000],[0]
81,1217,[],[321],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,70]","[60,78]","","",[1000],[0]
82,1218,[],[581],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,42]","[61,41]","","",[1000],[0]
83,1219,[],[319],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,71]","[62,20,26]","","",[1000],[0]
84,1220,[],[583],[0],[],[],[],"",0,"","","",[],"",[313],[3000],"[45,72]","[63,79,16]","","",[1000],[0]
85,1221,[],[324],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,37]","[43,22]","","",[1000],[0]
86,1222,[],[580],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,64]","[44,73]","","",[1000],[0]
87,1223,[],[313],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,27]","[45,10]","","",[1000],[0]
88,1224,[],[323],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,36]","[47,21]","","",[1000],[0]
89,1225,[],[311],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,30]","[48,13]","","",[1000],[0]
90,1226,[],[316],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,32]","[49,17]","","",[1000],[0]
91,1227,[],[27],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,66]","[50,75]","","",[1000],[0]
92,1228,[],[309],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,28]","[51,11]","","",[1000],[0]
93,1229,[],[318],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,34]","[52,15]","","",[1000],[0]
94,1230,[],[317],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,33]","[53,18]","","",[1000],[0]
95,1231,[],[579],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,67]","[54,76]","","",[1000],[0]
96,1232,[],[587],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,68]","[55,77]","","",[1000],[0]
97,1233,[],[572],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,40]","[56,39]","","",[1000],[0]
98,1234,[],[310],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,29]","[57,12]","","",[1000],[0]
99,1235,[],[312],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,31]","[58,14]","","",[1000],[0]
100,1236,[],[34],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,69]","[59,19,25]","","",[1000],[0]
101,1237,[],[321],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,70]","[60,78]","","",[1000],[0]
102,1238,[],[581],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,42]","[61,41]","","",[1000],[0]
103,1239,[],[319],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,71]","[62,20,26]","","",[1000],[0]
104,1240,[],[583],[0],[],[],[],"",0,"","","",[],"",[320],[3000],"[46,72]","[63,79,16]","","",[1000],[0]
105,1241,[],[324],[0],[],[],[],"",0,"","","",[],"",[323],[3000],"[47,37]","[43,22]","","",[1000],[0]
106,1242,[],[580],[0],[],[],[],"",0,"","","",[],"",[323],[3000],"[47,64]","[44,73]","","",[1000],[0]
107,1243,[],[313],[0],[],[],[],"",0,"","","",[],"",[323],[3000],"[47,27]","[45,10]","","",[1000],[0]
108,1244,[],[320],[0],[],[],[],"",0,"","","",[],"",[323],[3000],"[47,65]","[46,74]","","",[1000],[0]
109,1245,[],[311],[0],[],[],[],"",0,"","","",[],"",[323],[3000],"[47,30]","[48,13]","","",[1000],[0]
110,1246,[],[316],[0],[],[],[],"",0,"","","",[],"",[323],[3000],"[47,32]","[49,17]","","",[1000],[0]
111,1247,[],[27],[0],[],[],[],"",0,"","","",[],"",[323],[3000],"[47,66]","[50,75]","","",[1000],[0]
112,1248,[],[309],[0],[],[],[],"",0,"","","",[],"",[323],[3000],"[47,28]","[51,11]","","",[1000],[0]
113,1249,[],[318],[0],[],[],[],"",0,"","","",[],"",[323],[3000],"[47,34]","[52,15]","","",[1000],[0]
114,1250,[],[317],[0],[],[],[],"",0,"","","",[],"",[323],[3000],"[47,33]","[53,18]","","",[1000],[0]
115,1251,[],[579],[0],[],[],[],"",0,"","","",[],"",[323],[3000],"[47,67]","[54,76]","","",[1000],[0]
116,1252,[],[587],[0],[],[],[],"",0,"","","",[],"",[323],[3000],"[47,68]","[55,77]","","",[1000],[0]
117,1253,[],[572],[0],[],[],[],"",0,"","","",[],"",[323],[3000],"[47,40]","[56,39]","","",[1000],[0]
118,1254,[],[310],[0],[],[],[],"",0,"","","",[],"",[323],[3000],"[47,29]","[57,12]","","",[1000],[0]
119,1255,[],[312],[0],[],[],[],"",0,"","","",[],"",[323],[3000],"[47,31]","[58,14]","","",[1000],[0]
120,1256,[],[34],[0],[],[],[],"",0,"","","",[],"",[323],[3000],"[47,69]","[59,19,25]","","",[1000],[0]
121,1257,[],[321],[0],[],[],[],"",0,"","","",[],"",[323],[3000],"[47,70]","[60,78]","","",[1000],[0]
122,1258,[],[581],[0],[],[],[],"",0,"","","",[],"",[323],[3000],"[47,42]","[61,41]","","",[1000],[0]
123,1259,[],[319],[0],[],[],[],"",0,"","","",[],"",[323],[3000],"[47,71]","[62,20,26]","","",[1000],[0]
124,1260,[],[583],[0],[],[],[],"",0,"","","",[],"",[323],[3000],"[47,72]","[63,79,16]","","",[1000],[0]
125,1261,[],[324],[0],[],[],[],"",0,"","","",[],"",[311],[3000],"[48,37]","[43,22]","","",[1000],[0]
126,1262,[],[580],[0],[],[],[],"",0,"","","",[],"",[311],[3000],"[48,64]","[44,73]","","",[1000],[0]
127,1263,[],[313],[0],[],[],[],"",0,"","","",[],"",[311],[3000],"[48,27]","[45,10]","","",[1000],[0]
128,1264,[],[320],[0],[],[],[],"",0,"","","",[],"",[311],[3000],"[48,65]","[46,74]","","",[1000],[0]
129,1265,[],[323],[0],[],[],[],"",0,"","","",[],"",[311],[3000],"[48,36]","[47,21]","","",[1000],[0]
130,1266,[],[316],[0],[],[],[],"",0,"","","",[],"",[311],[3000],"[48,32]","[49,17]","","",[1000],[0]
131,1267,[],[27],[0],[],[],[],"",0,"","","",[],"",[311],[3000],"[48,66]","[50,75]","","",[1000],[0]
