"rownum","rid","i32","i32","rid","bool","i32","i32","rid","rid","i32","i32"
0,2,0,1017370378,8555,1,7,3,"","",500,1500
1,3,0,1050253722,8594,1,7,3,"","",500,1500
2,6,0,1045220557,8604,1,7,3,"","",500,1500
3,4,0,1056964608,8571,1,7,3,"","",500,1500
4,5,0,1028443341,8580,1,7,3,"","",500,1500
5,1,0,1017370378,8534,1,7,3,"","",500,1500
6,7,0,1028443341,8624,1,7,3,"","",500,1500
7,8,0,1045220557,8612,1,7,3,"","",500,1500
8,9,0,1045220557,8622,1,7,3,"","",500,1500
9,2,0,1017370378,8660,1,7,3,"","",500,1500
10,3,0,1050253722,8699,1,7,3,"","",500,1500
11,6,0,1045220557,8709,1,7,3,"","",500,1500
12,4,0,1056964608,8676,1,7,3,"","",500,1500
13,5,0,1028443341,8685,1,7,3,"","",500,1500
14,1,0,1017370378,8632,1,7,3,"","",500,1500
15,7,0,1028443341,8736,1,7,3,"","",500,1500
16,8,0,1045220557,8717,1,7,3,"","",500,1500
17,9,0,1045220557,8727,1,7,3,"","",500,1500
18,2,0,1017370378,8767,1,7,3,"","",500,1500
19,3,0,1050253722,8804,1,7,3,"","",500,1500
20,6,0,1045220557,8813,1,7,3,"","",500,1500
21,4,0,1056964608,8783,1,7,3,"","",500,1500
22,5,0,1028443341,8792,1,7,3,"","",500,1500
23,1,0,1017370378,8745,1,7,3,"","",500,1500
24,7,0,1028443341,8833,1,7,3,"","",500,1500
25,8,0,1045220557,8821,1,7,3,"","",500,1500
26,9,0,1045220557,8830,1,7,3,"","",500,1500
27,2,0,1017370378,8862,1,7,3,"","",500,1500
28,3,0,1050253722,8901,1,7,3,"","",500,1500
29,6,0,1045220557,8910,1,7,3,"","",500,1500
30,4,0,1056964608,8878,1,7,3,"","",500,1500
31,5,0,1028443341,8888,1,7,3,"","",500,1500
32,1,0,1017370378,8841,1,7,3,"","",500,1500
33,7,0,1028443341,8930,1,7,3,"","",500,1500
34,8,0,1045220557,8918,1,7,3,"","",500,1500
35,9,0,1045220557,8927,1,7,3,"","",500,1500
36,11,0,1065353216,"","",5,3,"","",0,0
37,12,0,1065353216,"","",2,3,"","",0,0
38,13,0,1065353216,"","",2,3,"","",0,0
39,14,0,1065353216,"","",2,3,"","",0,0
40,15,0,1065353216,"","",7,3,"","",0,0
41,17,0,1065353216,"","",7,3,"","",0,0
42,16,0,1065353216,"","",7,3,"","",0,0
