"rownum","rid","[rid]"
0,2264,"[13769,13772,13775,13777,13779]"
1,2265,"[13782,13785,13788,13790,13792]"
2,2266,"[13795,13798,13801,13803,13805]"
3,2267,"[13808,13811,13814,13816,13818]"
4,2268,"[13821,13824,13827,13829,13831]"
5,2269,"[13834,13837,13840,13842,13844]"
6,2270,"[13847,13850,13853,13855,13857]"
7,2271,"[13860,13863,13866,13868,13870]"
8,2272,"[13873,13876,13879,13881,13883]"
9,2273,"[13886,13889,13892,13894,13896]"
10,2274,"[13899,13902,13905,13907,13909]"
11,2275,[13912]
12,2276,[13925]
13,2277,"[13938,13941,13944,13946,13948]"
14,2278,"[13951,13954,13957,13959,13961]"
15,2279,"[13964,13967,13972,13974,13976]"
16,2280,[13979]
17,2281,"[13995,13998,14001,14003,14005]"
18,2282,"[14010,14013,14016,14018,14020]"
19,2283,"[14025,14028,14031,14033,14035]"
20,2284,"[14040,14042,14044,14046,14048]"
21,2285,"[14053,14055,14057,14059,14061]"
22,2286,"[14066,14068,14070,14072,14074]"
23,2287,"[14079,14081,14083,14085,14087]"
24,2288,"[14090,14092,14094,14096,14098]"
25,2289,"[14101,14103,14105,14107,14109]"
26,2290,"[14112,14114,14116,14117,14118]"
27,2291,"[14120,14122,14124,14125,14126]"
28,2292,"[14128,14130,14132,14133,14134]"
29,2293,"[14136,14138,14140,14141,14142]"
30,2294,"[14144,14146,14148,14149,14150]"
31,2295,"[14152,14154,14156,14157,14158]"
32,2296,"[14160,14161,14162,14163,14164]"
33,2297,"[14166,14167,14168,14169,14170]"
34,2298,"[14172,14173,14174,14175,14176]"
35,2299,"[14178,14180,14182,14183,14184]"
36,2300,"[14186,14188,14190,14191,14192]"
37,2301,"[14194,14196,14198,14199,14200]"
38,2302,"[14202,14203,14204,14205,14206]"
39,2303,"[14208,14209,14210,14211,14212]"
40,2304,"[14214,14215,14216,14217,14218]"
41,2305,"[14220,14223,14226,14228,14230]"
42,2306,"[14233,14235,14237,14239,14241]"
43,2307,"[14244,14246,14248,14250,14252]"
44,2308,"[14255,14258,14261,14263,14265]"
45,2309,"[14268,14271,14274,14276,14278]"
46,2310,[14281]
47,2311,[14303]
48,2312,[14313]
49,2313,[14324]
