"rownum","Id","rid","Name","rid","i32","bool","i32","i32","bool","[i32]"
0,1,41,"Weapon Skin",2,0,"",0,0,1,[3]
1,2,43,"Weapon Effect",2,0,"",0,0,1,[4]
2,3,45,"Weapon Added Effect",2,0,"",0,17,"",[5]
3,4,41,"Weapon Skin",3,0,"",0,1,1,[]
4,5,43,"Weapon Effect",3,0,"",0,1,1,[]
5,6,45,"Weapon Added Effect",3,0,"",0,17,"",[]
6,7,47,"Helmet Skin",4,0,"",0,4,"",[]
7,8,48,"Helmet Attachment",4,0,"",0,14,"",[]
8,9,49,"Armour Skin",1,0,"",0,2,"",[]
9,10,5,"Armour Attachment",1,0,"",0,3,"",[]
10,11,51,"Gloves Skin",8,0,"",0,5,"",[]
11,12,52,"Boots Skin",9,0,"",0,6,"",[]
12,13,53,"Footprints",9,0,"",0,13,"",[]
13,14,55,"Apparition",5,0,"",0,17,"",[]
14,15,56,"Character Effect",10,0,"",0,12,"",[]
15,16,59,"Portrait","",0,"",0,17,"",[]
16,17,58,"Social Frame","",0,"",0,17,"",[]
17,18,57,"Pet","",0,"",0,17,"",[]
18,19,57,"Pet","",0,"",0,17,"",[]
19,20,60,"Portal","",0,"",0,17,"",[]
20,21,48,"Helmet Attachment",4,0,"",0,15,"",[]
21,22,36,"HUD","",0,"",0,17,"",[]
22,23,35,"Cursor","",0,"",0,17,"",[]
23,24,39,"Belt Skin",10,0,"",0,10,"",[]
24,25,40,"Amulet Skin",5,0,"",0,11,"",[]
25,26,38,"Flask Skin",11,0,"",0,17,1,[]
26,27,38,"Flask Skin",11,1,"",0,17,1,[]
27,28,38,"Flask Skin",11,2,"",0,17,1,[]
28,29,38,"Flask Skin",11,3,"",0,17,1,[]
29,30,38,"Flask Skin",11,4,"",0,17,1,[]
30,31,61,"Ring Skin",6,0,"",0,8,"",[]
31,32,61,"Ring Skin",7,0,"",0,9,"",[]
32,33,62,"Hip Attachment",10,0,"",0,16,"",[]
33,34,64,"Alternate Charge Skin","",0,"",0,17,"",[]
34,35,63,"Extra Effect","",0,"",0,17,"",[]
35,36,37,"Passive Jewel Skin",23,0,1,0,17,"",[]
36,37,9,"Skill Gem Effect","",0,1,0,17,"",[]
