"rownum","ItemVisualIdentityKey","WorldAreasKey","WordsKey","FlavourTextKey","HasGuildCharacter","GuildCharacter","Name","IsDropDisabled"
0,8036,1164,120,79,"","g","Vaults of Atziri",""
1,9092,1142,171,149,"","Ç","Maelstrom of Chaos",""
2,9111,1199,175,153,"","Å","The Coward's Trial",""
3,9154,1216,177,159,"","Ô","Acton's Nightmare",""
4,9187,1184,207,191,"","ß","Poorjoy's Asylum",""
5,9204,1171,230,209,"","À","Mao Kun",""
6,9208,1221,234,213,"","#","Oba's Cursed Trove",""
7,9268,1154,237,216,"","$","Olmec's Sanctum",""
8,9269,1173,238,217,1,"","Untainted Paradise",""
9,9422,1223,324,303,"","¿","Death and Taxes",""
10,9589,1114,386,394,"","È","Whakawairua Tuahu",""
11,10334,1202,409,417,1,"Ù","Hall of Grandmasters",""
12,10335,1168,610,577,1,"²","The Vinktar Square",""
13,11652,1156,666,806,"","æ","Caer Blaidd, Wolfpack's Den",""
14,11721,1116,723,893,1,"™","The Perandus Manor",1
15,12038,1187,807,1049,"","Õ","The Putrid Cloister",""
16,12039,1144,809,1051,"","Ð","Hallowed Ground",""
17,12274,1253,959,1506,1,"","The Beachhead",""
18,12275,1254,959,1506,1,"","The Beachhead",""
19,12276,1255,959,1506,1,"","The Beachhead",""
20,12278,1176,961,1527,"","^","The Twilight Temple",""
21,12279,1126,965,1528,1,"‹","Doryani's Machinarium",""
22,12280,1152,969,1529,"","›","Pillars of Arun",""
23,12836,454,1189,2129,1,"","Altered Distant Memory",""
24,12837,455,1190,2130,1,"","Augmented Distant Memory",""
25,12838,456,1191,2131,1,"","Twisted Distant Memory",""
26,12839,457,1192,2132,1,"","Rewritten Distant Memory",""
27,12840,453,1193,2133,1,"","Cortex",""
28,12277,1256,1280,1506,1,"","Infused Beachhead",""
29,12841,453,1194,2133,1,"","Cortex",""
30,12281,1152,970,1529,1,"","Pillars of Arun",""
31,9188,1184,208,191,1,"","Poorjoy's Asylum",""
32,13519,1749,1408,1784,1,"","The Tower of Ordeals",1
