"rownum","Id","Description","DDSFile","i32"
0,"Default_Foil","","",0
1,"TealPurple","Amethyst","Art/2DArt/Lookup/Gradients/TealPurple.dds",1
2,"Green","Verdant","Art/2DArt/Lookup/Gradients/Emerald.dds",1
3,"Pink","Ruby","Art/2DArt/Lookup/Gradients/Pink.dds",1
4,"OceanBlue","Cobalt","Art/2DArt/Lookup/Gradients/OceanBlue.dds",1
5,"Sunset","Sunset","Art/2DArt/Lookup/Gradients/Sunrise.dds",1
6,"Gold","Aureate","Art/2DArt/Lookup/Gradients/Golden.dds",1
7,"Galaxy_1","Celestial Quartz","Art/2DArt/Lookup/Gradients/Two_01.dds",2
8,"Galaxy_2","Celestial Ruby","Art/2DArt/Lookup/Gradients/Two_02.dds",2
9,"Galaxy_3","Celestial Emerald","Art/2DArt/Lookup/Gradients/Two_03.dds",2
10,"Galaxy_4","Celestial Aureate","Art/2DArt/Lookup/Gradients/Two_04.dds",2
11,"Galaxy_5","Celestial Pearl","Art/2DArt/Lookup/Gradients/Two_05.dds",2
12,"Galaxy_6","Celestial Amethyst","Art/2DArt/Lookup/Gradients/Two_06.dds",2
