"rownum","Id","HASH16","Stats","Stat1Value","Stat2Value","Stat3Value","AchievementItem","rid_54"
0,"Accuracy1",-7939,[15276],40,0,0,8881,""
1,"Accuracy2",-14389,[18219],1,0,0,8881,""
2,"Accuracy3",-761,[15264],1,0,0,8881,""
3,"Accuracy4",9632,[17651],1,0,0,8881,""
4,"Accuracy5",-26358,[18119],50,0,0,8881,""
5,"Accuracy6",9755,"[83,568]",500,-2,0,8881,""
6,"Armour1",-19356,[17749],1,0,0,8881,""
7,"Armour2",-16816,[97],30,0,0,8881,""
8,"Armour3",-5782,[8246],20,0,0,8881,""
9,"Armour4",7137,[17754],1,0,0,8881,""
10,"Armour5",-5600,[17756],20,0,0,8881,""
11,"Armour6",10680,[17750],100,0,0,8881,""
12,"ArmourEvasion1",-16014,"[17855,17856]",120,5,0,8881,""
13,"ArmourEvasion2",-3251,"[8205,122]",8,8,0,8881,""
14,"ArmourEvasion3",5108,[221],80,0,0,8881,""
15,"ArmourEvasion4",23955,[17858],1,0,0,8881,""
16,"ArmourEvasion5",-6660,"[17857,4635]",40,40,0,8881,""
17,"ArmourEvasion6",-22278,"[17859,17860]",1,1,0,8881,""
18,"ArmourEnergyShield1",-24958,[17784],2,0,0,8881,""
19,"ArmourEnergyShield2",-27922,[17785],5,0,0,8881,""
20,"ArmourEnergyShield3",16215,[97],20,0,0,8881,""
21,"ArmourEnergyShield4",18301,[14923],20,0,0,8881,""
22,"ArmourEnergyShield5",8653,[17787],100,0,0,8881,""
23,"ArmourEnergyShield6",-32,[1276],-20,0,0,8881,""
24,"Attack1",28524,[1229],3,0,0,8881,""
25,"Attack2",-26382,[6879],1,0,0,8881,""
26,"Attack3",-27135,"[18421,18422]",1,6000,0,8881,""
27,"Attack4",-1025,[17888],1,0,0,8881,""
28,"Attack5",11938,[17889],5,0,0,8881,""
29,"Attack6",19500,[20704],20,0,0,8881,""
30,"Attributes1",5356,[3334],5,0,0,8881,""
31,"Attributes2",-24053,[6870],1,0,0,8881,""
32,"Attributes3",26621,[15108],5,0,0,8881,""
33,"Attributes4",-12932,[15109],5,0,0,8881,""
34,"Attributes5",15826,[15110],5,0,0,8881,""
35,"Axe1",28354,[5217],1,0,0,8881,""
36,"Axe2",11049,[9054],15,0,0,8881,""
37,"Axe3",9088,[3485],40,0,0,8881,""
38,"Axe4",-15361,"[11965,11900]",30,15,0,8881,""
39,"Axe5",-1308,[15113],10,0,0,8881,""
40,"Axe6",233,[20629],2,0,0,8881,""
41,"Banner1",-25499,[20470],1,0,0,8881,""
42,"Banner2",16991,[20469],5,0,0,8881,""
43,"Banner3",-28602,[20467],10,0,0,8881,""
44,"Banner4",10268,[20471],3,0,0,8881,""
45,"Bleeding1",-5910,[3381],1,0,0,8881,""
46,"Bleeding2",10546,[20639],50,0,0,8881,""
47,"Bleeding3",3449,[20710],4000,0,0,8881,""
48,"Bleeding4",23936,[4721],80,0,0,8881,""
49,"Bleeding5",-26833,[15114],3,0,0,8881,""
50,"Bleeding6",-6255,[20707],25,0,0,8881,""
51,"Blind1",-22012,[14769],40,0,0,8881,""
52,"Blind2",7831,[976],100,0,0,8881,""
53,"Blind3",-8073,[3659],60,0,0,8881,""
54,"Blind4",12100,[3481],100,0,0,8881,""
55,"Block1",-10523,[490],2,0,0,8881,""
56,"Block2",-20696,[8184],2,0,0,8881,""
57,"Block3",23442,"[1362,1363]",20,20,0,8881,""
58,"Block4",4500,[20705],1,0,0,8881,""
59,"Bow1",-5902,[7474],100,0,0,8881,""
60,"Bow2",-20024,[9836],20,0,0,8881,""
61,"Bow3",-22584,[11069],100,0,0,8881,""
62,"Bow4",26894,[13239],100,0,0,8881,""
63,"Bow5",-28569,[15501],100,0,0,8881,""
64,"Bow6",-8585,[15502],1,0,0,8881,""
65,"Brand1",-28350,[14869],10,0,0,8881,""
66,"Brand2",5907,[14927],30,0,0,8881,""
67,"Brand3",20630,[12057],1,0,0,8881,""
68,"Brand4",-25673,[8597],50,0,0,8881,""
69,"Brand5",-32659,[8427],2,0,0,8881,""
70,"Brand6",-18864,[8575],40,0,0,8881,""
71,"Caster1",-17178,[14896],30,0,0,8881,""
72,"Caster2",-32447,[17666],25,0,0,8881,""
73,"Caster3",-4465,[17667],6,0,0,8881,""
74,"Caster4",-14630,[11412],1,0,0,8881,""
75,"Caster5",27401,[8964],1,0,0,8881,""
76,"Caster6",23471,[17668],25,0,0,8881,""
77,"Chaos1",-14603,[17817],1,0,0,8881,""
78,"Chaos2",-5962,"[10658,14871]",1,10,0,8881,""
79,"Chaos3",1727,[944],1,0,0,8881,""
80,"Chaos4",21652,[484],40,0,0,8881,""
81,"Chaos5",28678,[17816],10,0,0,8881,""
82,"Chaos6",-521,[18128],5,0,0,8881,""
83,"Charges1",28720,[14872],1,0,0,8881,""
84,"Charges2",-16875,[14873],1,0,0,8881,""
85,"Charges3",14100,[14874],1,0,0,8881,""
86,"Charges4",29652,[14902],100,0,0,8881,""
87,"Charges5",-25229,[9513],3,0,0,8881,""
88,"Charges6",19142,[4132],1,0,0,8881,""
89,"Claw1",-25495,"[18350,18351]",25,25,0,8881,""
90,"Claw2",7389,[18354],1,0,0,8881,""
91,"Claw3",-29061,[18352],60,0,0,8881,""
92,"Claw4",4516,[18353],10,0,0,8881,""
93,"Claw5",2823,[18367],50,0,0,8881,""
94,"Claw6",22056,[15283],40,0,0,8881,""
95,"Cold1",4116,[482],40,0,0,8881,""
96,"Cold2",13267,[18109],10,0,0,8881,""
97,"Cold3",-26722,[17742],20,0,0,8881,""
98,"Cold4",-32407,[942],1,0,0,8881,""
99,"Cold5",19495,[17743],10,0,0,8881,""
100,"Cold6",26782,[17737],5,0,0,8881,""
101,"Criticals1",9986,[12535],50,0,0,8881,""
102,"Criticals2",2987,[14897],25,0,0,8881,""
103,"Criticals3",-5802,[14913],100,0,0,8881,""
104,"Criticals4",-27466,[14925],3,0,0,8881,""
105,"Criticals5",-4002,[97],30,0,0,8881,""
106,"Criticals6",-12852,[4115],150,0,0,8881,""
107,"Curse1",13382,[14875],20,0,0,8881,""
108,"Curse2",-22286,[17271],-40,0,0,8881,""
109,"Curse3",-19845,[12032],1,0,0,8881,""
110,"Curse4",-30110,[12166],20,0,0,8881,""
111,"Curse5",-30873,[11456],1,0,0,8881,""
112,"Curse6",18130,"[17317,17316]",1,1,0,8881,""
113,"Dagger1",-2313,[3609],100,0,0,8881,""
114,"Dagger2",-32221,[2038],1,0,0,8881,""
115,"Dagger3",20515,[15248],10,0,0,8881,""
116,"Dagger4",-22977,[15250],8,0,0,8881,""
117,"Dagger5",-7227,[18275],50,0,0,8881,""
118,"Dagger6",-20667,[10298],40,0,0,8881,""
119,"DamageOverTime1",2459,[13877],30,0,0,8881,""
120,"DamageOverTime2",1251,[15118],10,0,0,8881,""
121,"DamageOverTime3",-31116,"[215,6067]",15,15,0,8881,""
122,"DamageOverTime4",11521,[15251],-10,0,0,8881,""
123,"DualWield1",14796,"[14876,2850]",1,20,0,8881,""
124,"DualWield2",6090,[14877],100,0,0,8881,""
125,"DualWield3",-19043,[14878],60,0,0,8881,""
126,"DualWield4",7972,[14901],20,0,0,8881,""
127,"DualWield5",-5096,[14903],15,0,0,8881,""
128,"DualWield6",-31577,"[14908,14909]",20,20,0,8881,""
129,"Duration1",17852,[14911],10,0,0,8881,""
130,"Duration2",21730,[14912],-10,0,0,8881,""
131,"Duration3",24352,[6331],15,0,0,8881,""
132,"Duration4",14881,[620],20,0,0,8881,""
133,"Elemental1",-17151,[14929],-18,0,0,8881,""
134,"Elemental2",4119,[1667],-60,0,0,8881,""
135,"Elemental3",-6193,[17764],-50,0,0,8881,""
136,"Elemental4",17942,[17765],25,0,0,8881,""
137,"Elemental5",30502,[17766],1,0,0,8881,""
138,"Elemental6",25681,[17767],3,0,0,8881,""
139,"EnergyShield1",-14112,"[1733,1209]",1,30,0,8881,""
140,"EnergyShield2",30520,[18279],-10,0,0,8881,""
141,"EnergyShield3",571,[20156],50,0,0,8881,""
142,"EnergyShield4",-29726,[1408],120,0,0,8881,""
143,"EnergyShield5",29586,[15121],30,0,0,8881,""
144,"EnergyShield6",31556,[18303],100,0,0,8881,""
145,"Evasion1",25487,[7664],1,0,0,8881,""
146,"Evasion2",-28346,[4635],40,0,0,8881,""
147,"Evasion3",6462,[6756],10,0,0,8881,""
148,"Evasion4",-3795,"[4428,5266,12017]",30,30,30,8881,""
149,"Evasion5",-8462,[15271],15,0,0,8881,""
150,"Evasion6",28676,[15268],100,0,0,8881,""
151,"EvasionEnergyShield1",11541,[15119],30,0,0,8881,""
152,"EvasionEnergyShield2",-19437,[15120],20,0,0,8881,""
153,"EvasionEnergyShield3",-18385,"[18357,18358]",20,40,0,8881,""
154,"EvasionEnergyShield4",-27113,[18360],100,0,0,8881,""
155,"EvasionEnergyShield5",4606,"[18362,18359]",1,1,0,8881,""
156,"EvasionEnergyShield6",27103,[18361],1,0,0,8881,""
157,"Fire1",24180,[14881],-5,0,0,8881,""
158,"Fire2",-516,[481],40,0,0,8881,""
159,"Fire3",37,[18212],3,0,0,8881,""
