"rownum","RewardOffer","i32_16","Characters","Reward","RewardLevel","rid_56","i32_72","string_76","[rid]_84","RewardStack","bool_104","bool_105","[rid]_106","i32_122","i32_126","[rid]_130","i32_146","rid_150","i32_166","[rid]_170"
0,0,0,[1],1620,1,"",0,"",[],1,"","",[],1470,0,[],0,"",0,[]
1,0,1,[1],1839,1,"",0,"",[],1,"","",[],1470,0,[],0,"",0,[]
2,0,2,[1],1813,1,"",0,"",[],1,"","",[],1470,0,[],0,"",0,[]
3,0,3,[1],1574,1,"",0,"",[],1,"","",[],1470,0,[],0,"",0,[]
4,0,4,[1],1859,1,"",0,"",[],1,"","",[],1470,0,[],0,"",0,[]
5,0,5,[1],2031,1,"",0,"",[],1,"","",[],1470,0,[],0,"",0,[]
6,0,6,[6],1920,1,"",0,"",[],1,"","",[],1470,0,[],0,"",0,[]
7,0,7,[6],1867,1,"",0,"",[],1,"","",[],1470,0,[],0,"",0,[]
8,0,8,[6],1839,1,"",0,"",[],1,"","",[],1470,0,[],0,"",0,[]
9,0,9,[6],1813,1,"",0,"",[],1,"","",[],1470,0,[],0,"",0,[]
10,0,10,[6],1792,1,"",0,"",[],1,"","",[],1470,0,[],0,"",0,[]
11,0,11,[6],1936,1,"",0,"",[],1,"","",[],1470,0,[],0,"",0,[]
12,0,12,[0],1562,1,"",0,"",[],1,"","",[],1470,0,[],0,"",0,[]
13,0,13,[0],1792,1,"",0,"",[],1,"","",[],1470,0,[],0,"",0,[]
14,0,14,[0],2084,1,"",0,"",[],1,"","",[],1470,0,[],0,"",0,[]
15,0,15,[4],1563,1,"",0,"",[],1,"","",[],1470,0,[],0,"",0,[]
16,0,16,[4],1792,1,"",0,"",[],1,"","",[],1470,0,[],0,"",0,[]
17,0,17,[4],1843,1,"",0,"",[],1,"","",[],1470,0,[],0,"",0,[]
18,0,18,[4],1956,1,"",0,"",[],1,"","",[],1470,0,[],0,"",0,[]
19,0,19,[4],2052,1,"",0,"",[],1,"","",[],1470,0,[],0,"",0,[]
20,0,20,[3],1582,1,"",0,"",[],1,"","",[],1470,0,[],0,"",0,[]
21,0,21,[3],1580,1,"",0,"",[],1,"","",[],1470,0,[],0,"",0,[]
