"rownum","rid_0","i32_16","i32_20","rid_24","bool_40","i32_41","i32_45","rid_49","rid_65","i32_81","i32_85"
0,2,0,1017370378,13288,1,7,3,"","",500,1500
1,3,0,1050253722,13327,1,7,3,"","",500,1500
2,6,0,1045220557,13337,1,7,3,"","",500,1500
3,4,0,1056964608,13304,1,7,3,"","",500,1500
4,5,0,1028443341,13313,1,7,3,"","",500,1500
5,1,0,1017370378,13267,1,7,3,"","",500,1500
6,7,0,1028443341,13357,1,7,3,"","",500,1500
7,8,0,1045220557,13345,1,7,3,"","",500,1500
8,9,0,1045220557,13355,1,7,3,"","",500,1500
9,2,0,1017370378,13393,1,7,3,"","",500,1500
10,3,0,1050253722,13432,1,7,3,"","",500,1500
11,6,0,1045220557,13442,1,7,3,"","",500,1500
12,4,0,1056964608,13409,1,7,3,"","",500,1500
13,5,0,1028443341,13418,1,7,3,"","",500,1500
14,1,0,1017370378,13365,1,7,3,"","",500,1500
15,7,0,1028443341,13469,1,7,3,"","",500,1500
16,8,0,1045220557,13450,1,7,3,"","",500,1500
17,9,0,1045220557,13460,1,7,3,"","",500,1500
18,2,0,1017370378,13500,1,7,3,"","",500,1500
19,3,0,1050253722,13537,1,7,3,"","",500,1500
20,6,0,1045220557,13546,1,7,3,"","",500,1500
21,4,0,1056964608,13516,1,7,3,"","",500,1500
22,5,0,1028443341,13525,1,7,3,"","",500,1500
23,1,0,1017370378,13478,1,7,3,"","",500,1500
24,7,0,1028443341,13566,1,7,3,"","",500,1500
25,8,0,1045220557,13554,1,7,3,"","",500,1500
26,9,0,1045220557,13563,1,7,3,"","",500,1500
27,2,0,1017370378,13595,1,7,3,"","",500,1500
28,3,0,1050253722,13634,1,7,3,"","",500,1500
29,6,0,1045220557,13643,1,7,3,"","",500,1500
30,4,0,1056964608,13611,1,7,3,"","",500,1500
31,5,0,1028443341,13621,1,7,3,"","",500,1500
32,1,0,1017370378,13574,1,7,3,"","",500,1500
33,7,0,1028443341,13663,1,7,3,"","",500,1500
34,8,0,1045220557,13651,1,7,3,"","",500,1500
35,9,0,1045220557,13660,1,7,3,"","",500,1500
36,11,0,1065353216,"","",5,3,"","",0,0
37,12,0,1065353216,"","",2,3,"","",0,0
38,13,0,1065353216,"","",2,3,"","",0,0
39,14,0,1065353216,"","",2,3,"","",0,0
40,15,0,1065353216,"","",7,3,"","",0,0
41,17,0,1065353216,"","",7,3,"","",0,0
42,16,0,1065353216,"","",7,3,"","",0,0
