"rownum","i32_0","rid_4","bool_20","i32_21","bool_25","i32_26","i32_30","bool_34","i32_35","i32_39","i32_43","bool_47","i32_48","i32_52","i32_56","bool_60","bool_61","bool_62","rid_63","bool_79","rid_80","i32_96"
0,0,598,1,9,1,4,7,1,1000,5,10,1,0,0,0,"","","","","","",0
1,1,599,1,19,"",2,4,1,0,20,60,1,0,0,0,"","","","","","",0
2,2,609,1,6,"",2,4,1,0,15,45,1,0,0,0,"","","","","","",0
3,3,610,1,4,"",2,4,1,0,20,60,1,0,0,0,"","","","","","",0
4,4,622,1,3,1,2,7,1,0,20,60,1,0,0,0,"","","","","","",0
5,5,648,1,2,1,2,7,1,0,20,60,1,0,0,0,"","","","","","",0
6,6,649,"",4,"",4,2,"",0,0,0,"",0,0,0,"","","","","","",0
7,7,649,"",0,"",4,2,"",0,0,0,"",0,0,0,"","","","","","",0
8,8,649,"",3,"",4,2,"",0,0,0,"",0,0,0,"","","","","","",0
9,9,655,"",0,"",4,6,"",0,0,0,"",0,0,0,"","","","","","",0
10,10,681,"",14,"",4,7,"",2600,0,0,"",0,0,0,"","","","","","",0
11,11,683,"",0,"",4,7,"",0,0,0,"",0,220,0,"","","","","","",0
12,14,712,1,6,1,2,7,1,0,30,60,1,0,0,0,"","","","","","",0
13,15,698,"",1,1,4,2,1,0,0,0,"",90,0,0,"","","","","","",0
14,16,699,"",1,1,4,2,1,0,0,0,"",0,0,0,"","","","","","",0
15,17,700,"",1,1,4,2,1,0,0,0,"",0,0,0,"","","","","","",0
16,18,686,1,0,"",3,7,1,0,5,30,1,0,0,0,"","","","","","",0
17,19,720,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
18,20,720,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
19,21,720,"",0,"",3,4,"",0,0,0,"",20,0,0,"","","","","","",0
20,22,720,"",0,"",3,4,"",0,0,0,"",-20,0,0,"","","","","","",0
21,23,710,"",7,1,2,7,"",200,0,0,"",0,0,0,"","","","","","",0
22,24,735,"",5,1,3,7,1,0,0,0,"",0,0,0,"","","","","","",0
23,25,761,1,9,"",2,4,1,0,20,60,1,0,45,0,"","","","","","",0
24,26,771,"",10,1,4,7,"",0,0,0,"",0,0,0,"","","","","","",0
25,27,789,1,16,1,4,7,1,1000,5,20,1,0,0,0,"","","","","","",0
26,28,283,"",5,"",2,6,"",500,0,0,"",0,15,0,"","","","","","",0
27,29,797,"",0,"",2,7,"",0,0,0,"",0,15,0,"","","","","","",0
28,30,834,"",10,"",4,2,"",0,0,0,"",180,220,0,"","","","","","",0
29,31,836,"",7,1,4,7,"",0,0,0,"",0,0,0,"","","","","","",0
30,32,798,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
31,33,799,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
32,34,800,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
33,35,801,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
34,36,802,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
35,37,803,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
36,38,804,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
37,39,805,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
38,40,806,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
39,41,807,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
